,id,agrupacion_ganadora,Alianza Compromiso Federal                                                                          _perc,Alianza Frente Amplio Progresista                                                                   _perc,Alianza Frente Popular                                                                              _perc,Alianza Frente de Izquierda y de los Trabajadores                                                   _perc,Alianza Frente para la Victoria                                                                     _perc,Alianza Unión para el Desarrollo Social                                                             _perc,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _perc,Alianza Compromiso Federal                                                                          _votos,Alianza Frente Amplio Progresista                                                                   _votos,Alianza Frente Popular                                                                              _votos,Alianza Frente de Izquierda y de los Trabajadores                                                   _votos,Alianza Frente para la Victoria                                                                     _votos,Alianza Unión para el Desarrollo Social                                                             _votos,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,Alianza Frente para la Victoria                                                                     ,7.36,14.97,7.17,2.76,56.28,9.7,1.76,614742,1251277,599068,230721,4704016,810882,147010,82.42,10574461,8715437,3.43,0.05,0.63,298768,4448,54505
1,CATAMARCA,Alianza Frente para la Victoria                                                                     ,1.79,5.11,2.68,1.54,69.77,17.92,1.19,3353,9591,5031,2891,130983,33649,2240,75.52,254265,192009,1.46,0.05,0.71,2804,95,1372
2,CHACO,Alianza Frente para la Victoria                                                                     ,3.03,7.17,4.16,0.81,65.18,17.68,1.97,17050,40362,23428,4564,367176,99612,11095,75.12,760518,571273,0.85,0.03,0.52,4835,185,2966
3,CHUBUT,Alianza Frente para la Victoria                                                                     ,3.03,7.73,16.48,1.89,59.76,9.58,1.53,8236,21028,44810,5138,162499,26053,4171,78.55,357116,280500,1.36,0.07,1.63,3807,193,4565
4,CIUDAD AUTONOMA DE BUENOS AIRES,Alianza Frente para la Victoria                                                                     ,9.87,27.78,10.25,3.27,35.05,9.44,4.32,184116,518069,191211,61055,653520,176026,80580,77.32,2479219,1916965,1.77,0.04,0.92,34002,774,17612
5,CORDOBA,Alianza Frente para la Victoria                                                                     ,12.3,23.41,4.57,2.83,37.34,17.97,1.57,224648,427669,83518,51766,682234,328339,28722,75.29,2477842,1865592,1.06,0.03,0.98,19812,621,18263
6,CORRIENTES,Alianza Frente para la Victoria                                                                     ,4.03,7.2,4.64,0.85,68.0,12.89,2.39,20122,35926,23186,4238,339420,64359,11915,74.04,695349,514861,2.13,0.04,0.88,10974,214,4507
7,ENTRE RIOS,Alianza Frente para la Victoria                                                                     ,4.12,20.46,4.37,1.05,54.56,14.43,1.0,26919,133525,28536,6864,356040,94191,6537,79.06,834445,659694,7.99,0.17,0.84,57330,1211,5991
8,FORMOSA,Alianza Frente para la Victoria                                                                     ,0.9,2.74,1.93,0.51,78.16,14.89,0.88,2090,6375,4489,1186,181966,34659,2039,73.3,337474,247374,5.11,0.15,0.62,12646,383,1541
9,JUJUY,Alianza Frente para la Victoria                                                                     ,3.67,8.24,1.97,2.03,63.96,18.97,1.16,11232,25205,6028,6219,195652,58025,3555,78.38,423404,331864,6.64,0.24,0.94,22030,805,3113
