id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.08,22.15,12.1,3.15,37.39,9.66,5.47,12872,28278,15448,4027,47732,12328,6989,70.85,185279,131278,1.83,0.06,0.86,2396,76,1132,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.85,27.83,9.45,3.62,35.76,9.39,3.1,12272,31463,10682,4090,40431,10619,3500,80.0,145370,116300,1.78,0.03,0.98,2069,35,1139,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.26,31.01,9.31,3.36,33.31,9.25,3.51,13239,40009,12008,4341,42980,11931,4524,79.83,166081,132588,1.67,0.03,0.97,2220,45,1291,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.02,30.68,9.65,3.59,32.98,9.34,3.74,13575,41571,13083,4862,44685,12663,5067,80.53,173103,139395,1.82,0.07,0.9,2539,93,1257,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,9.38,35.88,11.91,2.59,24.6,9.53,6.13,14613,55911,18557,4031,38339,14849,9548,77.07,207680,160057,1.82,0.03,0.78,2917,48,1244,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,9.35,33.2,12.0,2.51,26.55,9.3,7.08,14018,49767,17992,3758,39796,13944,10604,75.72,203268,153905,1.79,0.03,0.79,2760,50,1216,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.16,28.78,8.35,3.75,37.76,8.91,3.29,11157,35038,10172,4560,45972,10853,4009,77.5,161735,125340,1.66,0.07,1.13,2076,92,1411,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,10.57,30.81,13.71,2.24,21.6,10.96,10.12,11244,32784,14585,2386,22982,11666,10769,73.62,148503,109324,1.85,0.04,0.77,2022,41,845,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.26,23.76,9.79,3.81,39.46,10.52,3.4,10932,28049,11562,4493,46588,12422,4019,73.17,166138,121559,1.83,0.04,1.0,2223,53,1218,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.56,20.25,9.53,3.6,45.13,9.33,2.61,12631,26753,12584,4759,59616,12323,3442,78.09,174333,136132,1.93,0.04,0.98,2627,58,1339,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,8.75,28.2,8.9,3.72,37.47,9.5,3.46,10122,32630,10304,4302,43354,10998,4007,77.68,153019,118865,1.72,0.03,0.9,2041,38,1069,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,8.65,33.65,9.02,3.4,31.22,9.79,4.27,10135,39410,10568,3987,36562,11461,4996,79.25,151777,120289,1.7,0.03,0.91,2043,35,1092,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.98,27.13,9.45,3.28,37.16,9.74,3.26,12795,34799,12119,4210,47658,12496,4181,78.25,168426,131801,1.67,0.04,0.97,2207,53,1283,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,11.5,15.62,10.05,3.28,50.03,7.63,1.89,11638,15805,10176,3324,50630,7717,1916,79.56,130895,104140,1.81,0.03,0.97,1889,31,1014,CIUDAD AUTONOMA DE BUENOS AIRES
