id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",Alianza Frente para la Victoria,1.65,3.83,2.71,0.49,64.72,25.94,0.66,190,442,313,56,7461,2991,76,73.12,15955,11667,0.93,0.03,0.22,108,4,26,CHACO
CHACO_2 DE ABRIL,"2 De Abril, Chaco",Alianza Frente para la Victoria,1.97,6.22,5.06,0.54,63.52,21.1,1.58,76,240,195,21,2450,814,61,72.57,5373,3899,1.05,0.0,0.03,41,0,1,CHACO
CHACO_25 DE MAYO,"25 De Mayo, Chaco",Alianza Frente para la Victoria,2.18,3.09,3.33,0.45,70.85,19.2,0.91,322,457,493,66,10485,2841,134,73.02,20446,14930,0.71,0.01,0.16,106,2,24,CHACO
CHACO_9 DE JULIO,"9 De Julio, Chaco",Alianza Frente para la Victoria,1.97,5.57,3.92,0.42,63.66,23.75,0.71,290,819,576,62,9357,3491,104,70.62,21028,14851,0.61,0.04,0.37,91,6,55,CHACO
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",Alianza Frente para la Victoria,1.5,2.51,2.81,0.55,77.09,14.85,0.7,228,382,428,83,11735,2260,106,66.19,23201,15356,0.71,0.0,0.16,109,0,25,CHACO
CHACO_BERMEJO,"Bermejo, Chaco",Alianza Frente para la Victoria,2.25,3.27,2.79,0.64,76.4,13.42,1.23,341,494,422,97,11557,2030,186,73.99,20664,15290,0.8,0.04,0.23,122,6,35,CHACO
CHACO_CHACABUCO,"Chacabuco, Chaco",Alianza Frente para la Victoria,3.3,11.8,5.22,0.83,59.19,18.24,1.43,559,1997,883,140,10019,3087,242,78.59,21808,17138,0.9,0.0,0.33,154,0,57,CHACO
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",Alianza Frente para la Victoria,3.86,8.43,4.3,0.87,60.1,20.41,2.03,1841,4021,2051,417,28679,9738,971,74.39,65036,48383,0.75,0.02,0.6,364,10,291,CHACO
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",Alianza Frente para la Victoria,1.16,5.06,2.14,0.3,68.1,22.59,0.65,66,288,122,17,3877,1286,37,66.32,8645,5733,0.54,0.0,0.16,31,0,9,CHACO
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",Alianza Frente para la Victoria,1.24,3.49,3.78,0.91,74.78,15.06,0.73,68,191,207,50,4091,824,40,70.3,7854,5521,0.74,0.04,0.13,41,2,7,CHACO
