id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",Alianza Frente para la Victoria,2.67,4.7,3.27,0.76,74.8,12.49,1.32,496,874,608,142,13916,2324,245,76.75,24956,19154,2.59,0.04,0.24,496,7,46,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",Alianza Frente para la Victoria,1.98,2.87,3.21,0.34,83.47,7.65,0.48,29,42,47,5,1222,112,7,74.4,2000,1488,0.6,0.0,1.01,9,0,15,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",Alianza Frente para la Victoria,6.09,9.74,4.67,1.01,62.78,11.95,3.75,11091,17735,8512,1833,114313,21763,6830,78.77,241349,190102,2.91,0.08,1.23,5534,155,2336,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",Alianza Frente para la Victoria,1.61,2.93,2.07,0.45,83.3,8.84,0.8,152,276,195,42,7842,832,75,69.02,13964,9638,1.65,0.01,0.66,159,1,64,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",Alianza Frente para la Victoria,2.92,5.99,5.86,0.81,69.72,13.09,1.61,635,1302,1273,176,15142,2842,349,71.68,32041,22967,4.29,0.01,1.13,986,3,259,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",Alianza Frente para la Victoria,3.09,5.08,5.12,0.82,73.35,10.86,1.67,240,395,398,64,5699,844,130,72.33,10964,7930,1.2,0.04,0.78,95,3,62,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",Alianza Frente para la Victoria,3.16,6.3,4.47,0.79,65.53,18.79,0.96,434,864,613,108,8990,2577,132,57.58,24154,13909,0.88,0.01,0.47,123,2,66,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",Alianza Frente para la Victoria,2.45,6.12,3.22,0.37,71.06,15.87,0.89,99,247,130,15,2866,640,36,68.65,5964,4094,0.98,0.0,0.51,40,0,21,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",Alianza Frente para la Victoria,2.51,4.99,5.85,0.48,70.51,14.58,1.08,213,423,496,41,5979,1236,92,71.01,12185,8653,1.4,0.0,0.6,121,0,52,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",Alianza Frente para la Victoria,2.53,7.19,4.4,1.04,72.34,10.53,1.98,1154,3284,2010,474,33045,4812,904,70.91,65643,46550,1.19,0.02,0.65,556,7,304,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",Alianza Frente para la Victoria,2.57,4.02,6.22,0.64,73.94,11.9,0.7,124,194,300,31,3567,574,34,70.39,6947,4890,0.7,0.0,0.65,34,0,32,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",Alianza Frente para la Victoria,3.76,6.22,3.95,0.79,69.78,14.53,0.97,600,993,631,126,11134,2318,154,72.69,22339,16239,0.83,0.02,0.89,135,4,144,CORRIENTES
CORRIENTES_LAVALLE,"Lavalle, Corrientes",Alianza Frente para la Victoria,1.25,3.13,2.91,0.48,74.2,17.27,0.76,173,434,403,66,10284,2394,105,74.51,19015,14169,1.48,0.04,0.68,209,5,96,CORRIENTES
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",Alianza Frente para la Victoria,2.13,3.73,2.8,0.37,74.42,15.87,0.67,114,200,150,20,3985,850,36,73.38,7433,5454,1.39,0.0,0.42,76,0,23,CORRIENTES
CORRIENTES_MERCEDES,"Mercedes, Corrientes",Alianza Frente para la Victoria,4.12,6.14,4.63,0.95,62.96,18.7,2.49,851,1269,957,196,13008,3864,515,70.7,29956,21180,1.73,0.0,0.73,366,0,154,CORRIENTES
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",Alianza Frente para la Victoria,3.21,9.23,6.71,1.03,63.58,14.93,1.32,606,1743,1268,194,12013,2821,249,73.14,26183,19149,1.06,0.01,0.27,203,1,51,CORRIENTES
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",Alianza Frente para la Victoria,3.83,6.92,4.8,0.83,69.55,12.74,1.32,991,1790,1241,215,17982,3294,340,73.32,35857,26291,0.89,0.0,0.77,234,1,203,CORRIENTES
CORRIENTES_SALADAS,"Saladas, Corrientes",Alianza Frente para la Victoria,1.93,4.76,4.35,0.46,78.39,9.17,0.95,207,510,466,49,8403,983,102,73.53,14986,11019,1.65,0.05,1.01,182,6,111,CORRIENTES
