id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
ENTRE RIOS_,", Entre Rios",Alianza Frente para la Victoria,2.75,23.2,4.73,0.83,49.32,18.42,0.75,1423,12023,2453,431,25552,9543,388,82.32,69787,57450,9.21,0.09,0.51,5290,52,295,ENTRE RIOS
ENTRE RIOS_COLON,"Colon, Entre Rios",Alianza Frente para la Victoria,3.85,18.55,4.28,1.15,55.02,16.28,0.86,1265,6094,1405,379,18071,5347,283,81.55,44507,36296,8.73,0.07,0.71,3168,27,257,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",Alianza Frente para la Victoria,3.79,12.85,3.58,1.09,70.09,7.4,1.2,3202,10856,3021,918,59199,6254,1015,78.12,115950,90580,5.72,0.14,0.89,5180,129,806,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",Alianza Frente para la Victoria,3.09,24.37,4.66,0.88,47.12,19.18,0.69,786,6204,1187,225,11993,4883,176,79.21,35654,28241,9.11,0.22,0.54,2572,62,153,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",Alianza Frente para la Victoria,2.6,12.16,4.46,0.88,51.99,26.97,0.93,926,4328,1588,314,18508,9602,331,82.65,47487,39246,8.3,0.12,0.87,3258,48,343,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",Alianza Frente para la Victoria,1.52,5.94,1.83,0.52,58.0,31.77,0.42,210,820,253,72,8011,4388,58,77.01,18777,14460,3.82,0.24,0.42,552,35,61,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",Alianza Frente para la Victoria,1.36,6.18,4.38,0.74,63.36,23.48,0.52,87,395,280,47,4051,1501,33,67.69,10710,7250,9.99,0.15,1.67,724,11,121,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",Alianza Frente para la Victoria,4.97,16.14,4.48,1.23,59.26,12.62,1.31,1330,4318,1198,328,15856,3378,350,76.18,39606,30173,10.69,0.04,0.59,3225,13,177,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",Alianza Frente para la Victoria,6.38,22.89,5.88,1.42,51.87,10.35,1.2,4011,14393,3698,891,32609,6507,757,83.26,81338,67726,6.12,0.1,0.96,4145,67,648,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",Alianza Frente para la Victoria,2.73,5.82,1.84,0.95,63.73,24.6,0.32,178,379,120,62,4148,1601,21,81.71,8934,7300,8.3,1.86,0.67,606,136,49,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",Alianza Frente para la Victoria,2.48,12.14,3.23,0.72,61.7,19.07,0.65,820,4010,1067,238,20373,6298,213,73.92,48559,35895,6.88,0.12,1.01,2471,42,363,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",Alianza Frente para la Victoria,3.09,18.66,5.78,0.85,52.78,18.06,0.78,647,3904,1210,178,11046,3779,163,80.77,29240,23617,10.85,0.1,0.44,2563,23,104,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",Alianza Frente para la Victoria,5.27,31.26,3.72,0.97,47.28,10.54,0.95,7015,41577,4949,1293,62876,14014,1267,79.12,183992,145574,7.41,0.16,1.08,10783,235,1565,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",Alianza Frente para la Victoria,2.6,14.35,8.04,0.89,56.51,16.77,0.84,225,1241,695,77,4886,1450,73,82.65,12920,10679,18.12,0.5,0.41,1935,53,44,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",Alianza Frente para la Victoria,3.75,14.9,5.63,0.84,54.53,19.66,0.68,559,2221,840,125,8131,2932,102,79.85,20340,16242,7.64,0.04,0.52,1241,7,84,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",Alianza Frente para la Victoria,5.52,23.04,5.24,1.55,51.59,11.48,1.58,2925,12204,2778,822,27328,6079,836,80.77,73707,59530,9.82,0.22,0.98,5844,131,583,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",Alianza Frente para la Victoria,2.96,26.37,3.61,0.81,50.0,15.51,0.74,567,5057,693,156,9590,2974,142,79.37,27057,21476,9.69,0.42,0.58,2081,91,125,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",Alianza Frente para la Victoria,3.17,14.93,4.69,1.31,58.89,15.61,1.4,743,3501,1101,308,13812,3661,329,71.24,35667,25409,6.66,0.19,0.84,1692,49,213,ENTRE RIOS
