id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,JUJUY
JUJUY_COCHINOCA,"Cochinoca, Jujuy",Alianza Frente para la Victoria,1.34,4.93,0.56,0.8,68.34,22.83,1.2,74,271,31,44,3760,1256,66,78.07,7507,5861,5.03,0.29,0.8,295,17,47,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",Alianza Frente para la Victoria,3.02,5.79,3.99,1.4,70.95,13.92,0.94,1219,2335,1612,563,28630,5617,379,80.28,54345,43629,6.51,0.25,0.74,2839,110,325,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",Alianza Frente para la Victoria,5.18,12.54,2.21,3.03,51.25,24.25,1.54,6485,15701,2763,3800,64181,30367,1932,78.97,171815,135675,6.34,0.13,1.22,8605,183,1658,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",Alianza Frente para la Victoria,2.28,5.14,1.0,1.3,67.48,21.5,1.3,164,369,72,93,4845,1544,93,72.8,11340,8255,11.71,0.19,1.11,967,16,92,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",Alianza Frente para la Victoria,2.92,4.49,0.81,1.52,75.6,13.77,0.88,1029,1585,286,538,26678,4860,311,76.21,50015,38114,5.74,0.83,0.84,2187,318,322,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",Alianza Frente para la Victoria,3.28,7.93,1.78,2.23,67.12,16.51,1.16,826,1998,449,561,16920,4161,293,81.8,33186,27147,6.28,0.05,0.81,1706,13,220,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",Alianza Frente para la Victoria,0.53,2.35,1.17,0.21,84.65,10.55,0.53,5,22,11,2,794,99,5,68.29,1441,984,4.57,0.0,0.1,45,0,1,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",Alianza Frente para la Victoria,2.11,4.14,1.12,0.65,67.96,23.37,0.65,49,96,26,15,1576,542,15,81.02,3050,2471,5.18,0.69,0.28,128,17,7,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",Alianza Frente para la Victoria,2.95,5.3,1.34,1.22,73.89,14.55,0.75,1009,1813,460,417,25279,4977,258,76.87,49073,37723,8.45,0.15,0.71,3186,58,266,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",Alianza Frente para la Victoria,0.77,1.68,0.83,0.35,86.79,9.07,0.51,67,146,72,30,7520,786,44,77.38,11665,9026,3.27,0.41,0.32,295,37,29,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",Alianza Frente para la Victoria,0.44,0.95,0.32,0.44,87.61,9.85,0.38,7,15,5,7,1379,155,6,70.95,2313,1641,3.47,0.3,0.3,57,5,5,JUJUY
JUJUY_SUSQUES,"Susques, Jujuy",Alianza Frente para la Victoria,0.66,2.3,0.39,0.66,73.21,21.92,0.86,10,35,6,10,1112,333,13,75.94,2107,1600,3.56,0.81,0.69,57,13,11,JUJUY
JUJUY_TILCARA,"Tilcara, Jujuy",Alianza Frente para la Victoria,1.65,5.14,1.77,0.99,64.28,25.42,0.74,98,305,105,59,3813,1508,44,82.25,7897,6495,8.19,0.09,0.38,532,6,25,JUJUY
JUJUY_TUMBAYA,"Tumbaya, Jujuy",Alianza Frente para la Victoria,1.29,5.99,1.26,0.96,65.98,23.89,0.63,39,181,38,29,1994,722,19,82.15,3939,3236,5.84,0.12,0.65,189,4,21,JUJUY
JUJUY_YAVI,"Yavi, Jujuy",Alianza Frente para la Victoria,1.68,3.71,1.03,0.57,79.92,12.24,0.86,151,333,92,51,7171,1098,77,72.99,13711,10007,9.41,0.08,0.84,942,8,84,JUJUY
