id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",Alianza Frente para la Victoria,10.57,4.33,2.98,0.97,68.01,12.36,0.78,652,267,184,60,4194,762,48,67.11,10308,6918,7.4,2.11,1.34,512,146,93,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",Alianza Frente para la Victoria,24.9,7.56,2.36,1.96,45.69,16.43,1.11,19665,5971,1861,1545,36085,12975,880,76.84,119124,91539,12.41,0.13,1.17,11362,123,1072,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",Alianza Frente para la Victoria,9.95,4.69,1.97,0.23,68.33,14.04,0.79,263,124,52,6,1806,371,21,80.04,3797,3039,12.77,0.07,0.2,388,2,6,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",Alianza Frente para la Victoria,18.79,7.11,1.24,0.61,52.22,19.6,0.43,1261,477,83,41,3504,1315,29,72.13,10410,7509,8.96,0.61,1.07,673,46,80,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",Alianza Frente para la Victoria,21.84,5.61,1.63,1.35,44.16,24.54,0.87,4558,1170,340,281,9216,5121,182,76.18,31224,23787,11.36,0.09,0.82,2703,22,194,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",Alianza Frente para la Victoria,14.58,4.76,1.01,1.2,52.5,25.11,0.82,460,150,32,38,1656,792,26,78.4,4704,3688,12.64,1.08,0.76,466,40,28,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",Alianza Frente para la Victoria,9.11,4.08,1.73,0.96,64.34,18.97,0.81,438,196,83,46,3093,912,39,74.99,7769,5826,16.86,0.0,0.64,982,0,37,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",Alianza Frente para la Victoria,13.79,1.34,1.12,0.37,57.68,25.11,0.6,185,18,15,5,774,337,8,69.92,2294,1604,15.77,0.0,0.56,253,0,9,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",Alianza Frente para la Victoria,19.98,4.15,1.48,0.6,53.94,19.27,0.6,703,146,52,21,1898,678,21,70.16,5483,3847,7.54,0.0,0.99,290,0,38,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",Alianza Frente para la Victoria,9.23,1.76,0.93,1.04,65.15,21.27,0.62,89,17,9,10,628,205,6,70.58,1574,1111,13.05,0.09,0.09,145,1,1,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",Alianza Frente para la Victoria,11.89,3.19,0.72,0.56,75.54,7.71,0.4,447,120,27,21,2841,290,15,71.14,5720,4069,7.15,0.05,0.37,291,2,15,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",Alianza Frente para la Victoria,15.72,3.54,1.45,0.3,63.49,15.21,0.3,369,83,34,7,1490,357,7,73.95,3647,2697,12.05,0.0,0.93,325,0,25,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",Alianza Frente para la Victoria,13.19,3.26,1.85,1.26,67.83,11.64,0.96,178,44,25,17,915,157,13,79.8,2129,1699,20.36,0.0,0.24,346,0,4,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",Alianza Frente para la Victoria,20.07,4.37,3.27,0.79,55.69,15.23,0.58,381,83,62,15,1057,289,11,71.74,3181,2282,16.04,0.04,0.74,366,1,17,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",Alianza Frente para la Victoria,15.7,2.21,1.52,1.17,67.45,11.48,0.47,1004,141,97,75,4313,734,30,72.3,10429,7540,14.39,0.09,0.72,1085,7,54,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",Alianza Frente para la Victoria,15.3,2.69,0.95,1.0,62.81,16.35,0.9,307,54,19,20,1260,328,18,76.73,2944,2259,10.49,0.31,0.4,237,7,9,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",Alianza Frente para la Victoria,12.62,3.56,1.75,0.79,70.17,10.45,0.66,209,59,29,13,1162,173,11,80.58,2359,1901,10.36,0.37,2.16,197,7,41,LA RIOJA
LA RIOJA_VINCHINA,"Vinchina, La Rioja",Alianza Frente para la Victoria,6.76,3.31,2.91,0.68,67.55,18.32,0.47,100,49,43,10,999,271,7,71.38,2289,1634,9.42,0.0,0.06,154,0,1,LA RIOJA
