id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",Alianza Frente para la Victoria,0.89,1.63,6.57,0.5,79.09,10.49,0.83,125,228,919,70,11069,1468,116,78.88,18001,14199,1.3,0.02,0.12,184,3,17,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",Alianza Frente para la Victoria,2.76,4.52,11.19,0.82,62.43,17.04,1.25,568,930,2300,168,12833,3502,256,76.02,27603,20985,1.67,0.0,0.37,351,0,77,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",Alianza Frente para la Victoria,1.81,2.16,5.14,0.63,76.67,12.86,0.73,482,577,1370,167,20441,3429,194,78.73,34838,27428,2.44,0.02,0.35,668,5,95,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",Alianza Frente para la Victoria,2.66,3.05,6.22,0.81,76.68,9.6,0.99,363,415,847,110,10447,1308,135,75.79,18314,13880,1.53,0.04,0.26,213,6,36,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",Alianza Frente para la Victoria,4.72,8.63,10.9,1.38,58.38,14.24,1.76,7844,14339,18113,2298,97052,23669,2923,77.24,221220,170878,1.75,0.17,0.79,2993,291,1356,MISIONES
MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",Alianza Frente para la Victoria,1.75,2.78,6.41,0.66,71.42,15.79,1.18,85,135,311,32,3464,766,57,74.94,6551,4909,1.08,0.0,0.12,53,0,6,MISIONES
MISIONES_ELDORADO,"El Dorado, Misiones",Alianza Frente para la Victoria,3.29,6.69,6.54,1.37,67.41,13.49,1.21,1272,2582,2526,529,26027,5208,468,78.26,50440,39474,1.49,0.03,0.66,589,13,260,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"Gral. Manuel Belgrano, Misiones",Alianza Frente para la Victoria,1.2,2.43,5.47,0.62,79.33,9.93,1.02,221,449,1009,114,14631,1832,188,73.98,25415,18801,1.62,0.02,0.26,305,4,48,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",Alianza Frente para la Victoria,1.51,1.89,6.31,0.86,76.48,12.07,0.89,445,556,1859,253,22540,3557,262,76.99,39311,30267,2.24,0.02,0.37,677,6,112,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",Alianza Frente para la Victoria,2.87,4.98,6.43,1.17,70.87,12.32,1.37,1054,1830,2363,429,26061,4531,505,75.99,49350,37501,1.2,0.07,0.67,451,25,252,MISIONES
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"L. General San Martin, Misiones",Alianza Frente para la Victoria,2.97,7.66,6.61,0.82,63.42,17.48,1.04,682,1758,1518,188,14555,4012,238,78.7,29877,23513,1.89,0.14,0.37,444,32,86,MISIONES
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",Alianza Frente para la Victoria,2.84,3.74,8.48,0.66,68.82,14.18,1.27,736,969,2195,171,17818,3672,329,79.9,33266,26579,2.25,0.01,0.33,598,3,88,MISIONES
MISIONES_MONTECARLO,"Montecarlo, Misiones",Alianza Frente para la Victoria,2.88,6.5,7.1,1.18,68.31,12.44,1.59,511,1153,1260,210,12123,2207,283,76.91,23485,18063,1.49,0.0,0.26,269,0,47,MISIONES
MISIONES_OBERA,"Obera, Misiones",Alianza Frente para la Victoria,2.52,5.84,7.46,0.9,66.68,15.46,1.13,1358,3154,4029,484,35990,8346,611,78.4,70647,55388,1.95,0.08,0.53,1082,43,291,MISIONES
MISIONES_SAN IGNACIO,"San Ignacio, Misiones",Alianza Frente para la Victoria,2.38,4.44,5.85,0.69,72.51,13.17,0.97,683,1271,1675,197,20778,3773,279,75.22,38775,29166,1.29,0.01,0.45,377,3,130,MISIONES
MISIONES_SAN JAVIER,"San Javier, Misiones",Alianza Frente para la Victoria,1.86,2.46,9.06,0.78,71.79,12.91,1.12,196,259,953,82,7549,1358,118,73.64,14608,10757,2.03,0.04,0.19,218,4,20,MISIONES
MISIONES_SAN PEDRO,"San Pedro, Misiones",Alianza Frente para la Victoria,0.94,1.59,4.52,0.48,81.48,10.22,0.77,107,181,516,55,9302,1167,88,74.36,15732,11699,2.29,0.0,0.13,268,0,15,MISIONES
