id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",Alianza Frente para la Victoria,5.52,11.27,4.23,2.39,65.13,9.26,2.19,247,504,189,107,2912,414,98,80.0,5836,4669,2.74,0.06,1.43,128,3,67,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",Alianza Frente para la Victoria,3.83,6.64,3.37,2.33,77.17,5.32,1.34,209,362,184,127,4208,290,73,80.28,7039,5651,1.66,0.05,1.79,94,3,101,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",Alianza Frente para la Victoria,2.99,4.7,1.62,1.71,82.92,4.53,1.54,35,55,19,20,971,53,18,78.95,1530,1208,2.65,0.0,0.41,32,0,5,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",Alianza Frente para la Victoria,4.9,6.64,1.76,1.9,74.72,8.9,1.19,401,543,144,155,6111,728,97,77.9,10792,8407,1.69,0.01,1.01,142,1,85,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",Alianza Frente para la Victoria,6.76,7.12,4.18,2.03,73.41,5.38,1.13,186,196,115,56,2021,148,31,79.38,3540,2810,1.17,0.04,0.82,33,1,23,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",Alianza Frente para la Victoria,6.51,16.29,3.39,3.79,58.51,9.41,2.1,13369,33477,6970,7780,120251,19340,4319,83.7,263465,220531,5.27,0.06,1.48,11616,139,3270,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",Alianza Frente para la Victoria,6.72,10.67,5.11,2.17,65.69,8.09,1.56,566,899,430,183,5532,681,131,78.29,11082,8676,1.54,0.03,1.35,134,3,117,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",Alianza Frente para la Victoria,9.28,18.62,4.95,3.31,49.05,12.02,2.78,1478,2967,788,527,7816,1916,443,75.31,22100,16644,1.48,0.04,2.75,246,6,457,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",Alianza Frente para la Victoria,5.11,6.09,3.29,2.08,73.79,8.17,1.48,194,231,125,79,2801,310,56,85.54,4870,4166,7.06,0.0,1.82,294,0,76,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",Alianza Frente para la Victoria,7.66,19.63,5.46,2.16,53.55,8.99,2.56,401,1028,286,113,2805,471,134,69.72,8266,5763,7.51,0.02,1.58,433,1,91,NEUQUEN
NEUQUEN_MINAS,"Minas, Neuquen",Alianza Frente para la Victoria,2.52,6.05,1.97,1.47,81.85,5.02,1.12,115,276,90,67,3735,229,51,82.49,5723,4721,2.75,0.0,0.59,130,0,28,NEUQUEN
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",Alianza Frente para la Victoria,6.54,5.36,2.48,1.51,77.79,5.52,0.78,748,613,284,173,8891,631,89,75.04,15566,11681,0.95,0.01,1.2,111,1,140,NEUQUEN
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",Alianza Frente para la Victoria,3.64,6.71,2.04,2.48,75.51,8.64,0.98,100,184,56,68,2072,237,27,80.78,3491,2820,1.28,0.04,1.38,36,1,39,NEUQUEN
NEUQUEN_PICUNCHES,"Picunches, Neuquen",Alianza Frente para la Victoria,6.95,5.85,4.96,1.43,69.78,9.07,1.97,272,229,194,56,2732,355,77,79.1,5115,4046,2.25,0.0,0.99,91,0,40,NEUQUEN
NEUQUEN_ZAPALA,"Zapala, Neuquen",Alianza Frente para la Victoria,6.29,12.73,5.56,2.28,58.76,12.47,1.91,1460,2953,1291,528,13636,2893,444,82.88,28943,23987,2.05,0.05,1.16,491,13,278,NEUQUEN
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",Alianza Frente para la Victoria,3.16,4.26,1.99,1.51,83.5,4.57,1.0,92,124,58,44,2429,133,29,82.38,3643,3001,2.57,0.0,0.5,77,0,15,NEUQUEN
