id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SALTA_ANTA,"Anta, Salta",Alianza Frente para la Victoria,1.72,2.99,3.64,0.92,78.01,11.81,0.91,466,808,985,250,21115,3197,245,72.63,37738,27409,0.86,0.03,0.36,236,8,99,SALTA
SALTA_CACHI,"Cachi, Salta",Alianza Frente para la Victoria,2.13,5.64,3.9,2.06,65.06,19.6,1.61,81,214,148,78,2469,744,61,71.49,5472,3912,2.48,0.03,0.49,97,1,19,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",Alianza Frente para la Victoria,2.48,6.34,3.03,1.37,70.92,14.75,1.12,192,491,235,106,5496,1143,87,76.79,10270,7886,0.77,0.11,0.84,61,9,66,SALTA
SALTA_CAPITAL,"Capital, Salta",Alianza Frente para la Victoria,4.39,13.18,4.76,5.32,52.59,17.93,1.82,11876,35686,12904,14419,142420,48564,4940,78.14,354457,276981,0.87,0.19,1.16,2416,530,3226,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",Alianza Frente para la Victoria,3.58,8.24,4.77,3.57,61.7,16.59,1.54,598,1377,796,597,10307,2771,258,80.41,21085,16954,0.74,0.11,0.63,125,18,107,SALTA
SALTA_CHICOANA,"Chicoana, Salta",Alianza Frente para la Victoria,3.09,6.39,4.68,2.83,66.02,15.49,1.51,349,722,529,320,7465,1751,171,79.82,14393,11489,0.86,0.06,0.66,99,7,76,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",Alianza Frente para la Victoria,3.23,4.44,3.51,2.29,73.61,11.95,0.97,752,1034,817,534,17140,2782,225,79.91,29701,23734,0.89,0.13,0.87,212,31,207,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",Alianza Frente para la Victoria,2.43,4.49,3.74,2.12,63.09,22.88,1.25,39,72,60,34,1012,367,20,78.66,2067,1626,0.98,0.0,0.37,16,0,6,SALTA
SALTA_IRUYA,"Iruya, Salta",Alianza Frente para la Victoria,1.26,2.24,2.53,0.73,83.08,9.24,0.92,26,46,52,15,1709,190,19,70.21,2961,2079,0.82,0.05,0.19,17,1,4,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",Alianza Frente para la Victoria,3.79,15.55,4.88,3.45,54.09,16.36,1.88,191,784,246,174,2727,825,95,81.61,6276,5122,0.62,0.1,0.84,32,5,43,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",Alianza Frente para la Victoria,1.83,4.59,5.18,0.87,72.77,13.87,0.9,65,163,184,31,2587,493,32,76.37,4714,3600,0.64,0.14,0.47,23,5,17,SALTA
SALTA_LA POMA,"La Poma, Salta",Alianza Frente para la Victoria,1.65,4.61,5.71,1.87,71.24,13.94,0.99,15,42,52,17,649,127,9,74.19,1267,940,2.23,0.53,0.32,21,5,3,SALTA
SALTA_LA VIÑA,"La Viña, Salta",Alianza Frente para la Victoria,2.19,6.09,4.8,1.88,67.68,15.96,1.39,99,275,217,85,3058,721,63,79.85,5797,4629,1.02,0.11,1.27,47,5,59,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",Alianza Frente para la Victoria,2.49,3.95,6.13,2.94,72.71,10.18,1.59,72,114,177,85,2099,294,46,68.32,4309,2944,1.43,0.0,0.51,42,0,15,SALTA
SALTA_METAN,"Metan, Salta",Alianza Frente para la Victoria,3.06,5.44,4.66,2.55,65.36,17.69,1.25,653,1161,995,545,13958,3778,267,74.76,29026,21701,0.82,0.1,0.66,179,22,143,SALTA
SALTA_MOLINOS,"Molinos, Salta",Alianza Frente para la Victoria,1.35,3.38,2.77,0.85,78.88,12.05,0.71,40,100,82,25,2331,356,21,74.41,4013,2986,0.84,0.0,0.2,25,0,6,SALTA
SALTA_ORAN,"Oran, Salta",Alianza Frente para la Victoria,2.58,3.37,4.54,2.98,74.55,10.48,1.5,1658,2172,2923,1916,47999,6749,969,73.44,89206,65512,0.82,0.18,0.72,537,115,474,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",Alianza Frente para la Victoria,0.48,1.19,1.0,0.3,93.54,3.08,0.41,50,123,103,31,9679,319,42,70.33,14791,10403,0.37,0.06,0.11,39,6,11,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",Alianza Frente para la Victoria,4.41,5.03,4.26,1.43,68.03,15.81,1.04,688,784,664,223,10611,2466,162,74.56,21278,15865,0.97,0.09,0.62,154,14,99,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",Alianza Frente para la Victoria,2.97,8.98,4.42,3.34,61.94,16.66,1.7,579,1752,862,651,12089,3251,332,79.32,25059,19876,0.98,0.15,0.69,194,29,137,SALTA
SALTA_SAN CARLOS,"San Carlos, Salta",Alianza Frente para la Victoria,1.42,3.68,3.17,1.36,71.52,18.14,0.71,50,130,112,48,2524,640,25,74.22,4810,3570,0.76,0.08,0.31,27,3,11,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",Alianza Frente para la Victoria,1.27,2.25,2.31,2.2,82.54,8.57,0.86,928,1643,1692,1611,60352,6265,630,71.19,103882,73956,0.56,0.09,0.48,416,63,356,SALTA
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",Alianza Frente para la Victoria,1.14,3.43,3.94,1.33,82.14,5.95,2.06,25,75,86,29,1794,130,45,59.63,3713,2214,0.86,0.05,0.45,19,1,10,SALTA
