id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",Alianza Frente para la Victoria,10.98,1.22,0.55,0.54,82.92,3.48,0.31,736,82,37,36,5559,233,21,72.5,10680,7743,12.77,0.06,0.58,989,5,45,SAN JUAN
SAN JUAN_ALBARDON,"Albardon, San Juan",Alianza Frente para la Victoria,10.86,14.8,1.32,0.81,66.94,4.48,0.79,1332,1815,162,99,8209,549,97,80.94,16224,13131,6.02,0.13,0.46,790,17,61,SAN JUAN
SAN JUAN_ANGACO,"Angaco, San Juan",Alianza Frente para la Victoria,30.44,0.85,1.2,0.37,61.53,5.39,0.22,1496,42,59,18,3024,265,11,84.08,6212,5223,5.53,0.06,0.31,289,3,16,SAN JUAN
SAN JUAN_CALINGASTA,"Calingasta, San Juan",Alianza Frente para la Victoria,18.8,2.44,0.95,0.66,75.2,1.86,0.09,849,110,43,30,3396,84,4,78.14,6195,4841,5.27,0.04,1.4,255,2,68,SAN JUAN
SAN JUAN_CAPITAL,"Capital, San Juan",Alianza Frente para la Victoria,17.08,12.6,4.53,1.59,51.39,11.26,1.54,11319,8351,3004,1054,34059,7462,1023,75.07,94876,71222,5.9,0.09,0.96,4203,66,681,SAN JUAN
SAN JUAN_CAUCETE,"Caucete, San Juan",Alianza Frente para la Victoria,12.15,2.28,1.29,0.94,76.09,6.52,0.74,1878,352,199,145,11760,1007,114,73.9,24045,17770,12.42,0.04,0.57,2207,7,101,SAN JUAN
SAN JUAN_CHIMBAS,"Chimbas, San Juan",Alianza Frente para la Victoria,15.19,4.0,1.42,0.97,73.35,4.32,0.75,5435,1430,510,347,26254,1547,268,77.18,49111,37906,4.41,0.08,1.08,1672,32,411,SAN JUAN
SAN JUAN_IGLESIA,"Iglesia, San Juan",Alianza Frente para la Victoria,13.83,2.36,1.3,1.46,74.0,6.24,0.81,510,87,48,54,2729,230,30,80.33,4988,4007,7.14,0.02,0.8,286,1,32,SAN JUAN
SAN JUAN_JACHAL,"Jachal, San Juan",Alianza Frente para la Victoria,4.57,3.02,0.77,1.18,68.39,21.42,0.66,548,362,92,141,8206,2570,79,80.35,15870,12751,4.99,0.17,0.75,636,22,95,SAN JUAN
SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",Alianza Frente para la Victoria,17.74,1.98,0.9,0.73,72.6,5.95,0.1,870,97,44,36,3561,292,5,81.73,6370,5206,4.92,0.08,0.79,256,4,41,SAN JUAN
SAN JUAN_POCITO,"Pocito, San Juan",Alianza Frente para la Victoria,12.76,2.68,1.64,1.27,75.02,5.66,0.96,2593,545,333,259,15242,1150,195,77.8,27633,21498,4.54,0.06,0.9,975,12,194,SAN JUAN
SAN JUAN_RAWSON,"Rawson, San Juan",Alianza Frente para la Victoria,17.07,4.08,1.86,1.11,69.84,5.24,0.81,9584,2288,1045,621,39211,2941,452,76.62,77918,59701,4.9,0.09,0.97,2923,55,581,SAN JUAN
SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",Alianza Frente para la Victoria,18.41,8.46,2.82,0.9,61.45,6.97,0.99,7633,3507,1170,372,25481,2891,409,79.37,56130,44552,5.87,0.07,0.99,2616,31,442,SAN JUAN
SAN JUAN_SAN MARTIN,"San Martin, San Juan",Alianza Frente para la Victoria,9.52,2.37,0.7,1.02,70.93,14.61,0.86,531,132,39,57,3958,815,48,81.26,7499,6094,7.65,0.03,0.75,466,2,46,SAN JUAN
SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",Alianza Frente para la Victoria,23.38,5.81,1.84,0.78,62.47,5.02,0.7,5780,1435,456,194,15442,1240,173,80.11,33139,26547,6.0,0.06,0.82,1592,17,218,SAN JUAN
SAN JUAN_SARMIENTO,"Sarmiento, San Juan",Alianza Frente para la Victoria,21.62,1.56,1.17,0.85,69.53,4.56,0.71,2167,156,117,85,6968,457,71,80.88,13177,10657,5.21,0.02,0.74,555,2,79,SAN JUAN
SAN JUAN_ULLUM,"Ullum, San Juan",Alianza Frente para la Victoria,42.27,0.64,0.6,0.21,53.3,2.7,0.26,985,15,14,5,1242,63,6,88.65,2757,2444,4.13,0.08,0.45,101,2,11,SAN JUAN
SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",Alianza Frente para la Victoria,39.49,0.63,0.17,0.1,56.86,2.63,0.12,1624,26,7,4,2338,108,5,83.56,5001,4179,1.34,0.0,0.26,56,0,11,SAN JUAN
SAN JUAN_ZONDA,"Zonda, San Juan",Alianza Frente para la Victoria,36.86,1.0,0.18,0.44,59.3,2.0,0.22,997,27,5,12,1604,54,6,88.08,3206,2824,3.72,0.11,0.39,105,3,11,SAN JUAN
