id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTA FE_,", Santa Fe",Alianza Frente para la Victoria,4.66,38.63,3.54,1.9,46.35,3.44,1.47,28260,234368,21470,11544,281223,20900,8921,77.09,809499,624060,1.32,0.08,1.39,8211,482,8681,SANTA FE
SANTA FE_BELGRANO,"Belgrano, Santa Fe",Alianza Frente para la Victoria,7.37,33.41,9.97,1.52,38.09,8.07,1.58,1930,8753,2612,399,9980,2114,413,79.97,33594,26865,2.14,0.05,0.28,575,14,75,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",Alianza Frente Amplio Progresista,7.25,38.4,10.82,1.94,32.14,7.57,1.88,3743,19832,5587,1004,16596,3910,972,80.01,66123,52905,1.64,0.0,0.74,866,1,394,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",Alianza Frente Amplio Progresista,5.08,41.76,5.41,1.53,38.66,5.82,1.74,4801,39504,5121,1445,36573,5504,1646,76.3,126959,96865,1.16,0.07,1.11,1128,65,1078,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",Alianza Frente para la Victoria,5.6,35.12,5.41,1.71,43.09,7.65,1.41,3036,19028,2931,929,23349,4146,764,79.88,69211,55285,1.29,0.03,0.67,713,18,371,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",Alianza Frente para la Victoria,2.32,31.45,3.56,1.15,54.28,6.26,0.98,255,3450,390,126,5954,687,108,71.59,15682,11227,1.32,0.16,0.81,148,18,91,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",Alianza Frente para la Victoria,10.18,33.88,6.45,1.25,39.36,7.38,1.5,11182,37235,7089,1371,43256,8112,1649,76.82,145880,112062,1.24,0.04,0.66,1385,43,740,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",Alianza Frente para la Victoria,2.41,28.53,6.37,0.8,48.32,12.5,1.07,2150,25408,5675,713,43025,11127,950,72.81,124853,90905,1.02,0.11,0.91,923,104,830,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",Alianza Frente para la Victoria,5.05,36.31,6.52,2.03,41.69,6.56,1.84,2015,14488,2602,808,16634,2618,734,78.58,52052,40905,1.96,0.02,0.48,802,9,195,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",Alianza Frente para la Victoria,3.67,39.85,4.77,1.89,42.62,5.02,2.18,7486,81208,9718,3852,86859,10235,4436,73.4,285448,209507,1.09,0.2,1.44,2281,417,3015,SANTA FE
