id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",Alianza Frente para la Victoria,3.14,6.92,2.23,0.91,69.99,15.98,0.83,488,1074,346,142,10869,2482,129,77.99,20184,15742,0.61,0.02,0.72,96,3,113,TUCUMAN
TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",Alianza Frente para la Victoria,1.81,4.33,2.94,0.68,83.77,6.06,0.42,389,929,630,145,17978,1300,90,77.83,27877,21697,0.75,0.01,0.32,163,3,70,TUCUMAN
TUCUMAN_CAPITAL,"Capital, Tucuman",Alianza Frente para la Victoria,6.58,15.49,3.47,2.64,54.72,15.73,1.37,20490,48242,10809,8207,170414,48977,4263,79.44,400634,318256,1.09,0.03,1.03,3474,104,3276,TUCUMAN
TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",Alianza Frente para la Victoria,3.93,8.05,3.03,1.07,67.82,15.49,0.61,1785,3657,1378,487,30804,7034,275,82.18,56266,46237,1.05,0.02,0.71,484,7,326,TUCUMAN
TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",Alianza Frente para la Victoria,3.53,6.48,2.03,1.69,76.68,8.92,0.67,3541,6491,2034,1688,76816,8935,671,82.71,123163,101871,1.04,0.03,0.59,1059,30,606,TUCUMAN
TUCUMAN_FAMAILLA,"Famailla, Tucuman",Alianza Frente para la Victoria,4.2,7.24,2.08,1.53,71.48,12.78,0.69,756,1302,374,275,12860,2299,125,80.54,22746,18319,0.88,0.11,0.8,162,20,146,TUCUMAN
TUCUMAN_GRANEROS,"Graneros, Tucuman",Alianza Frente para la Victoria,2.07,4.07,1.34,0.74,84.32,7.1,0.37,162,319,105,58,6612,557,29,77.96,10169,7928,0.98,0.01,0.09,78,1,7,TUCUMAN
TUCUMAN_LA COCHA,"La Cocha, Tucuman",Alianza Frente para la Victoria,2.54,6.12,3.06,0.64,76.04,11.18,0.42,237,571,285,60,7089,1042,39,80.93,11685,9457,0.7,0.0,0.72,66,0,68,TUCUMAN
TUCUMAN_LEALES,"Leales, Tucuman",Alianza Frente para la Victoria,2.54,4.82,1.83,1.05,79.28,10.04,0.44,795,1512,573,328,24847,3146,139,80.13,39714,31822,0.97,0.0,0.54,309,1,172,TUCUMAN
TUCUMAN_LULES,"Lules, Tucuman",Alianza Frente para la Victoria,4.33,8.11,2.3,1.91,69.98,12.6,0.77,1392,2606,739,615,22496,4052,248,83.39,39307,32779,1.08,0.02,0.82,355,8,268,TUCUMAN
TUCUMAN_MONTEROS,"Monteros, Tucuman",Alianza Frente para la Victoria,3.42,7.72,2.55,1.64,72.8,11.36,0.52,1257,2841,938,602,26788,4182,191,82.33,45301,37295,0.88,0.03,0.42,327,11,158,TUCUMAN
TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",Alianza Frente para la Victoria,2.77,5.75,2.1,0.88,77.38,10.52,0.6,841,1744,636,268,23470,3190,182,82.11,37425,30729,0.87,0.01,0.41,267,4,127,TUCUMAN
TUCUMAN_SIMOCA,"Simoca, Tucuman",Alianza Frente para la Victoria,1.8,3.93,1.69,0.78,76.39,15.16,0.26,334,731,314,145,14213,2820,49,78.74,23955,18861,0.94,0.07,0.34,177,14,64,TUCUMAN
TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",Alianza Frente para la Victoria,2.66,6.2,2.25,0.91,78.67,8.54,0.77,221,516,187,76,6546,711,64,77.09,11000,8480,1.42,0.01,0.45,120,1,38,TUCUMAN
TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",Alianza Frente para la Victoria,5.18,9.58,2.53,2.46,66.06,13.24,0.96,3214,5950,1568,1526,41012,8218,596,82.58,76892,63494,1.13,0.05,1.04,719,30,661,TUCUMAN
TUCUMAN_TRANCAS,"Trancas, Tucuman",Alianza Frente para la Victoria,2.88,5.59,2.77,0.83,73.75,13.18,1.0,247,480,238,71,6334,1132,86,78.5,11145,8749,1.11,0.02,0.71,97,2,62,TUCUMAN
TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",Alianza Frente para la Victoria,6.84,18.66,4.96,1.76,52.06,14.38,1.34,2883,7865,2092,743,21945,6062,566,83.43,51524,42985,1.07,0.03,0.83,461,12,356,TUCUMAN
