id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.47,7.72,0.78,31.56,27.01,0.19,25.4,2.27,0.26,0.34,464,801,81,3273,2801,20,2635,235,27,35,79.12,13838,10948,4.82,0.05,0.38,528,6,42
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.59,6.53,0.46,46.9,13.9,0.2,26.35,1.74,0.17,0.17,252,459,32,3294,976,14,1851,122,12,12,86.14,8768,7553,6.82,0.05,0.13,515,4,10
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.25,6.66,2.92,62.85,12.57,1.18,7.3,2.66,0.26,0.36,9143,18758,8219,176942,35392,3326,20550,7493,724,1006,80.33,373670,300177,5.09,0.25,0.87,15276,749,2599
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.68,12.95,0.94,49.7,9.64,0.23,14.73,3.34,0.34,0.44,1323,2231,162,8561,1660,40,2538,576,59,75,82.05,22395,18374,5.12,0.6,0.53,941,111,97
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.01,8.59,3.64,51.68,12.69,1.35,10.38,3.12,0.32,0.22,16303,17485,7397,105132,25826,2737,21112,6354,644,455,80.37,265216,213141,3.74,0.03,0.78,7962,72,1662
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.14,7.49,0.93,47.57,9.31,0.08,22.53,5.44,0.22,0.29,751,916,114,5819,1139,10,2756,666,27,35,81.32,16255,13218,6.78,0.23,0.44,896,31,58
BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.36,15.62,1.69,48.21,11.49,0.35,11.7,6.75,0.3,0.52,1250,5811,628,17935,4275,132,4352,2512,113,192,80.22,51695,41470,9.29,0.05,0.96,3852,20,398
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.7,12.84,4.06,44.56,11.32,1.56,14.41,6.7,0.39,0.47,5953,20686,6545,71776,18239,2506,23211,10789,628,758,76.73,226772,174004,6.08,0.06,1.29,10577,99,2237
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.43,9.01,1.32,40.4,17.66,0.05,18.19,3.48,0.12,0.33,2572,2456,360,11017,4815,14,4961,949,33,91,81.62,35992,29377,6.24,0.06,0.88,1833,18,258
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.54,12.62,1.11,52.95,6.52,1.13,10.95,6.5,0.3,0.4,1406,2353,206,9871,1215,210,2041,1211,55,74,80.1,25018,20040,6.16,0.04,0.78,1234,8,156
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.8,5.61,2.89,61.43,11.01,1.04,8.36,2.27,0.31,0.27,11588,9560,4928,104642,18755,1768,14245,3871,532,463,83.5,216575,180848,4.73,0.36,0.71,8560,659,1277
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.89,7.38,2.7,54.07,11.97,1.14,10.18,2.84,0.5,0.31,4469,3712,1357,27185,6020,574,5120,1428,252,157,77.36,70306,54389,6.25,0.57,0.75,3397,312,406
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.92,5.14,0.82,39.82,17.18,1.81,22.81,6.13,1.97,0.39,820,1075,171,8323,3592,379,4769,1282,411,82,80.82,27711,22396,6.2,0.04,0.42,1388,10,94
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.14,6.38,1.07,47.23,14.67,0.71,21.31,2.14,0.12,0.23,1634,1700,286,12580,3908,188,5677,569,32,60,82.59,34037,28110,4.65,0.03,0.57,1307,8,161
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,1.04,5.61,1.37,49.97,15.54,0.35,23.44,2.08,0.26,0.34,154,828,202,7371,2293,51,3457,307,38,50,85.73,18832,16144,7.66,0.06,0.92,1236,9,148
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.23,7.67,2.37,52.94,9.17,1.29,13.32,3.32,0.28,0.42,4787,3976,1227,27457,4756,670,6908,1721,144,217,84.26,65783,55430,5.46,0.05,0.93,3028,25,514
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.65,8.9,0.77,43.28,13.32,12.08,11.27,3,0.18,0.55,584,781,68,3798,1169,1060,989,263,16,48,85.15,11040,9401,6.19,0.03,0.43,582,3,40
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.31,18.39,0.84,40.22,18.96,0.24,13.37,2.15,0.22,0.31,718,2485,113,5436,2562,33,1807,290,30,42,82.8,17737,14687,7.41,0.04,0.52,1088,6,77
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.85,3.22,0.62,50.3,16.3,0.1,23.73,1.54,0.13,0.22,275,230,44,3593,1164,7,1695,110,9,16,81.21,9475,7695,6.99,0,0.18,538,0,14
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.34,5.91,0.73,57.33,12.22,0.32,19.88,2.92,0.11,0.24,29,500,62,4848,1033,27,1681,247,9,20,80.3,11455,9198,7.7,0.07,0.3,708,6,28
