id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.47,7.72,0.78,31.56,27.01,0.19,25.4,2.27,0.26,0.34,464,801,81,3273,2801,20,2635,235,27,35,79.12,13838,10948,4.82,0.05,0.38,528.0,6.0,42.0,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.59,6.53,0.46,46.9,13.9,0.2,26.35,1.74,0.17,0.17,252,459,32,3294,976,14,1851,122,12,12,86.14,8768,7553,6.82,0.05,0.13,515.0,4.0,10.0,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.25,6.66,2.92,62.85,12.57,1.18,7.3,2.66,0.26,0.36,9143,18758,8219,176942,35392,3326,20550,7493,724,1006,80.33,373670,300177,5.09,0.25,0.87,15276.0,749.0,2599.0,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.68,12.95,0.94,49.7,9.64,0.23,14.73,3.34,0.34,0.44,1323,2231,162,8561,1660,40,2538,576,59,75,82.05,22395,18374,5.12,0.6,0.53,941.0,111.0,97.0,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.01,8.59,3.64,51.68,12.69,1.35,10.38,3.12,0.32,0.22,16303,17485,7397,105132,25826,2737,21112,6354,644,455,80.37,265216,213141,3.74,0.03,0.78,7962.0,72.0,1662.0,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.14,7.49,0.93,47.57,9.31,0.08,22.53,5.44,0.22,0.29,751,916,114,5819,1139,10,2756,666,27,35,81.32,16255,13218,6.78,0.23,0.44,896.0,31.0,58.0,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.36,15.62,1.69,48.21,11.49,0.35,11.7,6.75,0.3,0.52,1250,5811,628,17935,4275,132,4352,2512,113,192,80.22,51695,41470,9.29,0.05,0.96,3852.0,20.0,398.0,BUENOS AIRES
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.7,12.84,4.06,44.56,11.32,1.56,14.41,6.7,0.39,0.47,5953,20686,6545,71776,18239,2506,23211,10789,628,758,76.73,226772,174004,6.08,0.06,1.29,10577.0,99.0,2237.0,BUENOS AIRES
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.43,9.01,1.32,40.4,17.66,0.05,18.19,3.48,0.12,0.33,2572,2456,360,11017,4815,14,4961,949,33,91,81.62,35992,29377,6.24,0.06,0.88,1833.0,18.0,258.0,BUENOS AIRES
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.54,12.62,1.11,52.95,6.52,1.13,10.95,6.5,0.3,0.4,1406,2353,206,9871,1215,210,2041,1211,55,74,80.1,25018,20040,6.16,0.04,0.78,1234.0,8.0,156.0,BUENOS AIRES
