id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.21,10.63,2.14,35.05,12.09,0.54,17.47,2.54,0.15,0.19,5530,3058,616,10086,3480,154,5028,730,42,56,77.3,39943,30877,2.17,3.3,1.33,669.0,1018.0,410.0,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.72,19.68,6.06,31.12,10.09,0.94,16.19,3.57,0.25,0.38,81012,136058,41882,215150,69732,6475,111925,24688,1751,2661,73.89,990289,731731,2.26,1.58,1.68,16537.0,11588.0,12272.0,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.34,17.22,4.26,34.58,10.18,0.78,15.03,3.06,0.18,0.38,16391,19692,4872,39537,11639,890,17188,3498,203,431,73.35,164492,120657,2.47,1.3,1.46,2986.0,1565.0,1765.0,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,8.43,5.8,1.4,55.8,7.02,0.35,19.42,1.48,0.17,0.12,2133,1468,354,14111,1776,89,4910,375,42,31,64.53,40243,25968,1.84,0.03,0.75,478.0,7.0,194.0,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,23.46,4.96,0.72,30.97,15.24,0.24,22.33,1.87,0.1,0.11,4377,925,135,5777,2843,44,4166,349,19,21,74.54,26290,19597,1.77,2.45,0.58,346.0,481.0,114.0,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,10.93,10.74,1.93,42.54,11.82,0.78,17.89,2.83,0.2,0.33,7960,7824,1407,30984,8606,571,13027,2060,145,243,76.92,97958,75349,1.83,0.39,1.13,1377.0,293.0,852.0,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,12.75,8.9,1.41,51.4,5.43,0.71,17.25,1.77,0.21,0.17,2026,1414,224,8164,862,113,2740,281,33,27,67.83,24335,16506,2.38,0.15,1.24,393.0,25.0,204.0,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.11,8.2,1.6,33.21,13.47,0.66,20.46,2.86,0.25,0.18,6614,2838,555,11495,4661,227,7083,991,88,62,77.5,46085,35717,1.96,0.03,1.1,699.0,12.0,392.0,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.9,12.45,1.24,31.14,21.4,0.35,15.33,2.89,0.19,0.11,9275,7753,775,19389,13322,218,9542,1798,121,69,78.63,82061,64527,1.7,1.19,0.61,1100.0,770.0,395.0,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,9.0,5.16,0.61,65.88,2.99,0.2,15.1,0.74,0.2,0.12,220,126,15,1610,73,5,369,18,5,3,59.59,4251,2533,2.45,0.04,1.03,62.0,1.0,26.0,CORDOBA
