id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.69,2.27,0.7,69.21,7.45,0.18,14.6,2.49,0.15,0.27,504,424,131,12954,1394,33,2733,466,29,50,75.47,25307,19099,1.45,0.07,0.47,277.0,14.0,90.0,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.36,0.64,0.43,76.75,4.78,0.43,14.98,0.21,0.29,0.14,19,9,6,1076,67,6,210,3,4,2,70.45,2000,1409,0.21,0.0,0.28,3.0,0.0,4.0,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,4.89,4.58,0.98,59.07,10.19,0.44,12.58,6.7,0.23,0.34,9103,8529,1825,109977,18967,824,23428,12471,436,631,79.72,243717,194303,1.98,0.39,1.8,3856.0,765.0,3491.0,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.15,1.3,0.27,72.92,7.22,0.2,15.85,0.81,0.11,0.18,115,130,27,7313,724,20,1590,81,11,18,75.69,13964,10570,4.19,0.21,0.72,443.0,22.0,76.0,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.72,2.53,0.65,63.97,13.96,0.29,12.44,3.06,0.13,0.25,627,583,149,14735,3216,66,2865,706,31,58,73.25,32392,23727,1.3,0.7,0.91,309.0,166.0,216.0,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.08,2.12,0.84,66.1,11.58,0.29,13.18,3.44,0.14,0.23,163,166,66,5176,907,23,1032,269,11,18,72.91,11314,8249,0.82,3.24,1.01,68.0,267.0,83.0,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.35,2.87,0.56,62.27,10.14,0.18,19.72,1.46,0.12,0.31,358,438,85,9493,1546,28,3006,223,19,48,65.69,24154,15866,2.92,0.09,0.91,463.0,15.0,144.0,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.66,1.04,0.32,61.43,6.25,0.12,24.47,1.07,0.1,3.52,67,42,13,2475,252,5,986,43,4,142,68.28,5964,4072,0.52,0.0,0.54,21.0,0.0,22.0,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.14,1.66,0.44,67.67,8.18,0.28,17.04,2.27,0.14,0.18,180,140,37,5702,689,24,1436,191,12,15,72.3,12185,8810,1.53,1.86,0.96,135.0,164.0,85.0,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.33,3.23,0.66,69.43,8.67,0.2,12.14,2.61,0.19,0.54,1086,1506,307,32334,4040,91,5654,1215,89,250,74.79,65993,49357,3.46,1.11,1.07,1708.0,547.0,530.0,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.72,1.67,0.66,70.17,11.21,0.13,12.13,1.99,0.21,0.11,81,79,31,3310,529,6,572,94,10,5,69.7,6947,4842,0.97,0.76,0.85,47.0,37.0,41.0,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,3.11,2.88,0.6,64.21,8.9,0.22,17.97,1.71,0.16,0.25,484,448,93,9999,1386,34,2798,266,25,39,71.38,22339,15946,1.1,0.09,1.15,175.0,15.0,184.0,CORRIENTES
