id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,JUJUY
JUJUY_COCHINOCA,"Cochinoca, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,1.95,2.39,1.76,60.47,3.86,1.76,25.14,1.76,0.09,0.82,112,137,101,3466,221,101,1441,101,5,47,75.04,8272,6207,2.45,4.01,1.19,152.0,249.0,74.0,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,5.28,4.1,3.11,59.28,7.28,0.77,16.56,2.55,0.56,0.52,2116,1642,1246,23762,2916,307,6639,1022,224,207,74.98,55635,41716,2.15,0.27,1.5,898.0,113.0,624.0,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,6.81,7.87,4.03,47.93,5.7,1.07,23.18,2.6,0.43,0.39,8527,9848,5041,60006,7135,1341,29022,3256,533,486,74.47,175937,131024,2.44,0.16,1.85,3196.0,211.0,2422.0,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,4.05,2.89,2.28,63.1,6.06,0.73,16.68,2.44,0.2,1.57,321,229,181,4999,480,58,1321,193,16,124,64.54,12890,8319,2.79,0.26,1.72,232.0,22.0,143.0,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,5.57,3.93,2.56,66.06,3.58,0.64,14.93,2.08,0.26,0.38,2152,1518,989,25516,1382,247,5768,804,102,145,74.27,53761,39926,1.79,0.15,1.32,716.0,59.0,528.0,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,5.06,4.65,3.53,59.91,4.04,1.38,18.24,2.34,0.47,0.39,1353,1242,944,16012,1079,368,4876,625,125,104,78.63,35443,27870,2.54,0.1,1.45,709.0,29.0,404.0,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,1.34,2.13,0.67,74.02,10.08,0.45,9.18,1.34,0.0,0.78,12,19,6,661,90,4,82,12,0,7,63.04,1442,909,0.66,0.55,0.55,6.0,5.0,5.0,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,3.74,3.44,1.4,62.24,2.64,0.45,24.84,0.95,0.15,0.15,75,69,28,1248,53,9,498,19,3,3,69.02,3054,2108,3.04,0.95,0.9,64.0,20.0,19.0,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,4.9,3.47,2.31,65.19,5.68,0.53,14.63,2.12,0.46,0.69,1774,1259,838,23625,2059,192,5303,770,167,251,73.6,51591,37972,2.68,0.4,1.49,1016.0,152.0,566.0,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,1.61,1.2,0.83,82.52,3.0,0.26,9.0,1.1,0.11,0.37,142,106,73,7288,265,23,795,97,10,33,73.27,12299,9012,1.18,0.06,0.77,106.0,5.0,69.0,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,0.97,0.86,0.54,78.28,1.94,0.43,15.05,1.4,0.22,0.32,9,8,5,728,18,4,140,13,2,3,41.0,2473,1014,5.72,0.1,2.47,58.0,1.0,25.0,JUJUY
JUJUY_SUSQUES,"Susques, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,2.66,2.85,1.2,65.4,2.72,0.38,23.28,0.95,0.25,0.32,42,45,19,1034,43,6,368,15,4,5,74.43,2182,1624,1.54,0.18,0.92,25.0,3.0,15.0,JUJUY
