id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,7.72,4.64,0.73,44.12,11.73,0.24,27.9,2.42,0.27,0.23,507,305,48,2899,771,16,1833,159,18,15,82.89,8478,7027,5.45,0.01,1.02,383.0,1.0,72.0,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,4.95,2.83,0.88,73.47,5.31,0.0,10.26,1.68,0.35,0.27,56,32,10,831,60,0,116,19,4,3,82.97,1421,1179,3.14,0.0,0.93,37.0,0.0,11.0,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,9.85,9.29,1.94,52.35,9.22,0.75,13.0,2.94,0.34,0.32,5963,5621,1173,31684,5582,456,7867,1780,205,196,77.51,82581,64011,3.39,0.18,1.87,2168.0,118.0,1198.0,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,8.97,2.97,0.65,48.95,14.14,0.28,20.7,3.01,0.26,0.07,387,128,28,2111,610,12,893,130,11,3,81.28,5577,4533,2.54,0.07,2.25,115.0,3.0,102.0,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,12.37,2.73,0.68,55.25,11.93,0.44,10.88,4.6,0.0,1.12,199,44,11,889,192,7,175,74,0,18,79.15,2187,1731,2.66,2.31,2.08,46.0,40.0,36.0,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.75,5.5,1.1,40.57,15.43,0.27,15.97,2.68,0.11,0.62,1296,402,80,2963,1127,20,1166,196,8,45,81.39,9402,7652,3.33,0.08,1.15,255.0,6.0,88.0,LA PAMPA
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,5.56,3.95,0.59,61.35,5.86,0.0,15.96,5.27,0.29,1.17,38,27,4,419,40,0,109,36,2,8,70.11,1047,734,1.5,2.86,2.59,11.0,21.0,19.0,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,9.5,5.39,1.06,49.48,11.55,0.44,20.03,1.97,0.25,0.34,873,495,97,4547,1061,40,1841,181,23,31,81.47,12103,9860,5.49,0.04,1.28,541.0,4.0,126.0,LA PAMPA
LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,4.99,1.29,1.66,64.7,5.91,0.55,19.04,1.29,0.18,0.37,27,7,9,350,32,3,103,7,1,2,75.2,746,561,2.67,0.0,0.89,15.0,0.0,5.0,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,10.69,6.67,1.5,36.85,15.56,0.59,23.4,3.68,0.32,0.74,563,351,79,1940,819,31,1232,194,17,39,80.91,6966,5636,5.89,0.0,0.69,332.0,0.0,39.0,LA PAMPA
