id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,12.13,2.49,0.79,66.19,5.19,0.35,10.99,1.24,0.23,0.39,692,142,45,3775,296,20,627,71,13,22,61.97,10344,6410,9.44,0.11,1.48,605.0,7.0,95.0,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.89,4.13,2.24,43.9,4.66,0.6,16.51,2.16,0.37,0.54,17339,2880,1559,30577,3246,419,11499,1502,260,377,71.39,120780,86226,17.18,0.15,1.88,14817.0,126.0,1625.0,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,11.67,1.58,0.66,69.13,3.61,0.62,11.8,0.58,0.12,0.21,281,38,16,1664,87,15,284,14,3,5,76.22,3797,2894,16.1,0.55,0.17,466.0,16.0,5.0,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,19.23,5.2,0.53,50.82,2.06,0.16,20.24,0.83,0.31,0.62,1232,333,34,3256,132,10,1297,53,20,40,69.02,10410,7185,10.01,0.0,0.82,719.0,0.0,59.0,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,15.4,3.59,1.38,43.13,3.76,0.48,29.73,1.55,0.4,0.59,2837,662,254,7945,692,88,5477,286,74,108,70.23,31746,22295,16.03,0.09,1.24,3574.0,21.0,277.0,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,13.11,2.05,0.82,54.26,2.33,0.82,23.31,2.02,0.51,0.75,383,60,24,1585,68,24,681,59,15,22,74.32,4704,3496,13.64,0.49,2.32,477.0,17.0,81.0,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,8.75,2.26,0.81,65.22,1.8,0.29,18.7,1.3,0.33,0.55,398,103,37,2968,82,13,851,59,15,25,72.6,7769,5640,18.65,0.04,0.62,1052.0,2.0,35.0,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,12.84,0.63,0.21,62.95,1.12,0.14,21.61,0.28,0.21,0.0,183,9,3,897,16,2,308,4,3,0,71.32,2294,1636,12.65,0.0,0.24,207.0,0.0,4.0,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,20.21,2.14,0.72,55.05,2.68,0.16,17.25,1.01,0.16,0.63,642,68,23,1749,85,5,548,32,5,20,67.03,5483,3675,12.65,0.0,0.9,465.0,0.0,33.0,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,7.75,0.6,0.3,67.2,0.7,0.0,22.13,1.01,0.2,0.1,77,6,3,668,7,0,220,10,2,1,68.81,1574,1083,8.13,0.0,0.09,88.0,0.0,1.0,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,9.18,1.52,0.54,79.51,1.4,0.2,6.95,0.26,0.09,0.34,321,53,19,2779,49,7,243,9,3,12,70.8,5720,4050,13.04,0.0,0.67,528.0,0.0,27.0,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,14.04,1.64,0.23,65.45,2.07,0.05,15.16,0.75,0.23,0.38,299,35,5,1394,44,1,323,16,5,8,77.37,3412,2640,18.45,0.0,0.87,487.0,0.0,23.0,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,12.85,1.24,1.33,68.66,1.58,0.58,10.95,1.58,0.33,0.91,155,15,16,828,19,7,132,19,4,11,70.08,2129,1492,18.63,0.27,0.27,278.0,4.0,4.0,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.73,0.81,0.46,58.6,2.49,0.56,11.91,0.66,0.25,0.51,466,16,9,1151,49,11,234,13,5,10,71.42,3181,2272,12.24,0.0,1.32,278.0,0.0,30.0,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.01,1.7,1.13,66.72,1.62,0.21,9.04,0.75,0.36,0.46,1102,104,69,4082,99,13,553,46,22,28,68.01,10755,7315,15.35,0.0,1.01,1123.0,0.0,74.0,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,14.9,2.43,0.81,63.77,2.11,0.27,14.09,0.92,0.32,0.38,276,45,15,1181,39,5,261,17,6,7,73.95,2944,2177,14.19,0.0,0.73,309.0,0.0,16.0,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,17.44,1.34,0.75,65.5,2.01,0.22,9.84,2.24,0.3,0.37,234,18,10,879,27,3,132,30,4,5,71.73,2359,1692,17.43,0.0,3.25,295.0,0.0,55.0,LA RIOJA
LA RIOJA_VINCHINA,"Vinchina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,6.52,1.06,0.57,69.5,3.05,0.21,17.94,0.71,0.35,0.07,92,15,8,980,43,3,253,10,5,1,69.55,2289,1592,10.49,0.0,0.94,167.0,0.0,15.0,LA RIOJA
