id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.18,8.88,2.75,61.31,8.45,1.13,10.59,4.89,0.66,1.16,7,352,109,2431,335,45,420,194,26,46,75.67,5836,4416,7.54,0.0,2.67,333.0,0.0,118.0,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.14,4.34,2.21,76.57,6.55,0.59,5.62,2.72,0.59,0.69,7,214,109,3777,323,29,277,134,29,34,77.62,7039,5464,6.13,1.3,2.29,335.0,71.0,125.0,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.93,2.68,2.37,77.92,4.23,0.72,4.75,4.75,0.31,1.34,9,26,23,755,41,7,46,46,3,13,72.48,1530,1109,10.73,0.54,1.35,119.0,6.0,15.0,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.28,4.91,2.64,70.28,6.24,0.7,10.8,2.87,0.49,0.8,22,387,208,5543,492,55,852,226,39,63,79.13,11133,8809,8.78,0.05,1.65,773.0,4.0,145.0,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.0,5.66,2.13,65.79,11.02,0.58,5.59,3.72,4.69,0.81,0,146,55,1696,284,15,144,96,121,21,79.72,3540,2822,7.37,0.11,1.17,208.0,3.0,33.0,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,2.62,11.01,5.83,52.16,8.74,1.53,11.46,5.48,0.47,0.7,5169,21759,11521,103068,17272,3032,22646,10832,929,1376,80.95,267936,216901,5.83,0.12,2.95,12650.0,257.0,6390.0,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.07,8.44,2.46,62.08,11.35,1.07,8.67,4.74,0.54,0.57,6,676,197,4972,909,86,694,380,43,46,74.18,11427,8476,3.85,0.02,1.64,326.0,2.0,139.0,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.73,12.21,4.09,45.79,12.93,1.63,13.7,7.25,0.62,1.06,113,1883,631,7065,1995,251,2113,1119,95,163,74.9,22096,16550,3.4,0.04,3.34,562.0,7.0,553.0,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.2,4.99,2.93,67.01,6.58,1.82,8.77,4.81,0.91,1.97,7,175,103,2352,231,64,308,169,32,69,83.72,4925,4123,12.68,0.02,2.16,523.0,1.0,89.0,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,1.2,12.26,3.69,40.54,16.81,2.23,13.72,7.86,0.84,0.86,60,615,185,2033,843,112,688,394,42,43,66.47,8264,5493,5.66,0.05,2.99,311.0,3.0,164.0,NEUQUEN
NEUQUEN_MINAS,"Minas, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.73,4.98,1.73,79.31,3.76,0.4,5.41,2.4,0.33,0.95,29,199,69,3167,150,16,216,96,13,38,80.05,5723,4581,12.05,0.07,0.72,552.0,3.0,33.0,NEUQUEN
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.25,5.41,2.31,70.99,6.72,0.91,8.33,3.53,0.59,0.96,24,527,225,6911,654,89,811,344,57,93,73.18,15909,11642,14.56,0.09,1.73,1695.0,11.0,201.0,NEUQUEN
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.0,4.96,2.54,73.39,5.08,0.71,9.41,3.14,0.2,0.56,0,125,64,1848,128,18,237,79,5,14,79.18,3491,2764,6.95,0.04,1.92,192.0,1.0,53.0,NEUQUEN
NEUQUEN_PICUNCHES,"Picunches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.74,4.32,1.93,66.6,10.4,0.82,8.56,5.37,0.23,1.02,26,152,68,2343,366,29,301,189,8,36,78.27,5164,4042,10.96,0.05,1.95,443.0,2.0,79.0,NEUQUEN
NEUQUEN_ZAPALA,"Zapala, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,5.73,7.89,2.28,56.04,9.53,0.98,11.26,4.32,0.53,1.44,1235,1699,491,12068,2053,210,2424,930,115,310,79.34,28943,22962,4.0,0.1,2.12,918.0,22.0,487.0,NEUQUEN
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,2.9,3.14,1.78,78.2,4.37,0.5,4.84,2.71,0.39,1.16,75,81,46,2020,113,13,125,70,10,30,79.98,3872,3097,15.82,0.16,0.61,490.0,5.0,19.0,NEUQUEN
