id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,0.79,1.28,1.47,71.78,3.22,0.35,19.76,0.83,0.13,0.38,62,100,115,5611,252,27,1545,65,10,30,72.47,11223,8133,2.16,0.06,1.66,176.0,5.0,135.0,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,4.72,6.19,2.37,57.1,6.45,1.34,17.74,3.31,0.3,0.47,1575,2064,789,19042,2151,446,5917,1105,101,158,77.12,45576,35149,1.49,1.61,2.02,525.0,565.0,711.0,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,3.08,3.77,1.41,60.22,5.9,0.83,20.97,3.13,0.28,0.41,569,695,261,11114,1089,153,3871,578,52,75,79.73,24197,19292,2.14,0.07,2.12,413.0,13.0,409.0,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,5.77,8.66,3.13,56.93,9.98,1.89,8.77,3.94,0.36,0.58,3782,5675,2053,37324,6545,1236,5752,2582,234,377,74.06,92205,68290,1.37,0.6,2.03,935.0,409.0,1386.0,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,2.52,3.3,1.0,63.11,5.52,0.3,15.85,7.49,0.24,0.68,93,122,37,2333,204,11,586,277,9,25,77.33,4922,3806,0.74,0.66,1.47,28.0,25.0,56.0,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,2.66,0.81,1.85,61.67,2.09,0.81,25.52,3.3,0.32,0.97,33,10,23,766,26,10,317,41,4,12,50.0,2546,1273,1.49,0.0,0.94,19.0,0.0,12.0,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,5.16,7.01,3.0,59.37,6.6,1.07,13.11,3.73,0.38,0.56,8343,11330,4854,95962,10664,1722,21195,6033,612,912,79.69,212718,169509,1.68,0.42,2.55,2853.0,713.0,4316.0,RIO NEGRO
RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,1.24,0.65,0.49,78.27,1.89,0.43,15.95,0.65,0.11,0.32,23,12,9,1448,35,8,295,12,2,6,64.85,2888,1873,0.64,0.0,0.59,12.0,0.0,11.0,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,4.7,5.21,1.25,65.21,6.84,0.96,12.89,2.33,0.32,0.3,396,439,105,5495,576,81,1086,196,27,25,79.05,10976,8676,1.46,0.02,1.39,127.0,2.0,121.0,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,4.72,5.29,2.54,66.84,6.02,1.14,10.11,2.46,0.29,0.6,182,204,98,2578,232,44,390,95,11,23,74.88,5291,3962,1.14,0.0,1.51,45.0,0.0,60.0,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,3.04,3.79,1.27,69.81,6.01,0.75,12.09,2.56,0.32,0.35,474,591,198,10875,936,117,1883,399,50,55,72.71,22116,16081,1.55,0.02,1.56,249.0,3.0,251.0,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,1.5,1.98,1.39,61.3,3.04,0.81,21.94,1.87,0.48,5.69,41,54,38,1671,83,22,598,51,13,155,72.49,3842,2785,0.93,0.04,1.15,26.0,1.0,32.0,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,1.7,1.92,1.7,70.93,3.39,0.45,16.97,1.47,0.34,1.13,15,17,15,627,30,4,150,13,3,10,67.01,1358,910,1.87,0.0,0.99,17.0,0.0,9.0,RIO NEGRO
