id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SALTA_ANTA,"Anta, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.2,1.77,0.85,76.11,7.04,0.21,10.55,1.91,0.23,1.14,50,448,215,19289,1783,53,2674,485,58,288,67.53,38047,25695,0.91,0.1,0.36,235.0,25.0,92.0,SALTA
SALTA_CACHI,"Cachi, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,3.31,1.56,66.73,7.82,0.33,17.11,2.02,0.49,0.63,0,121,57,2441,286,12,626,74,18,23,68.57,5470,3751,1.76,0.08,0.64,66.0,3.0,24.0,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",ALIANZA FRENTE PARA LA VICTORIA,1.98,3.22,1.26,69.99,5.31,0.38,14.85,2.42,0.22,0.37,151,246,96,5342,405,29,1133,185,17,28,76.04,10265,7805,0.92,0.04,1.26,72.0,3.0,98.0,SALTA
SALTA_CAPITAL,"Capital, Salta",ALIANZA FRENTE PARA LA VICTORIA,4.27,8.12,6.6,49.9,9.27,0.88,16.55,3.74,0.38,0.29,11150,21184,17219,130215,24177,2290,43179,9771,1003,761,75.02,357640,268313,0.95,0.38,1.41,2559.0,1017.0,3788.0,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",ALIANZA FRENTE PARA LA VICTORIA,2.93,5.02,3.64,60.96,9.1,0.52,14.38,2.62,0.48,0.34,494,846,613,10266,1533,88,2422,441,81,57,78.79,21754,17139,0.7,0.21,0.83,120.0,36.0,142.0,SALTA
SALTA_CHICOANA,"Chicoana, Salta",ALIANZA FRENTE PARA LA VICTORIA,2.15,3.5,2.89,64.79,8.41,0.4,13.59,3.27,0.46,0.55,234,381,314,7051,915,43,1479,356,50,60,77.16,14358,11079,1.07,0.05,0.65,118.0,6.0,72.0,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",ALIANZA FRENTE PARA LA VICTORIA,3.18,2.51,2.3,72.73,6.03,0.38,10.26,2.09,0.3,0.24,750,592,543,17177,1424,89,2423,493,72,56,76.49,31380,24002,0.66,0.07,0.87,158.0,16.0,209.0,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,2.27,1.59,66.4,7.48,0.18,18.7,2.58,0.74,0.06,0,37,26,1083,122,3,305,42,12,1,60.41,2743,1657,1.33,0.0,0.24,22.0,0.0,4.0,SALTA
SALTA_IRUYA,"Iruya, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,0.91,0.95,86.82,2.64,0.18,6.09,1.82,0.32,0.27,0,20,21,1910,58,4,134,40,7,6,53.8,4409,2372,0.59,6.45,0.21,14.0,153.0,5.0,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",ALIANZA FRENTE PARA LA VICTORIA,3.44,9.45,4.16,50.96,11.58,0.55,16.0,3.08,0.32,0.46,181,497,219,2681,609,29,842,162,17,24,77.79,6957,5412,0.87,0.63,1.29,47.0,34.0,70.0,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,2.39,0.67,70.71,9.3,0.29,13.2,3.0,0.0,0.44,0,82,23,2426,319,10,453,103,0,15,74.5,4709,3508,1.45,0.11,0.63,51.0,4.0,22.0,SALTA
SALTA_LA POMA,"La Poma, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,3.3,1.87,73.79,9.14,0.77,8.04,2.2,0.33,0.55,0,30,17,670,83,7,73,20,3,5,73.29,1269,930,1.18,0.54,0.65,11.0,5.0,6.0,SALTA
SALTA_LA VIÑA,"La Viña, Salta",ALIANZA FRENTE PARA LA VICTORIA,1.59,3.47,1.73,68.91,8.13,0.42,12.64,2.59,0.14,0.39,69,150,75,2983,352,18,547,112,6,17,76.26,5793,4418,1.13,0.05,0.84,50.0,2.0,37.0,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,2.63,2.67,75.42,7.19,0.94,5.61,3.65,0.68,1.2,0,70,71,2004,191,25,149,97,18,32,60.0,4485,2691,0.93,0.0,0.33,25.0,0.0,9.0,SALTA
SALTA_METAN,"Metan, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.18,3.25,2.55,62.58,8.63,0.32,19.29,2.38,0.33,0.49,36,660,519,12725,1754,66,3922,484,68,99,71.71,29312,21020,1.12,1.46,0.69,235.0,306.0,146.0,SALTA
SALTA_MOLINOS,"Molinos, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.0,2.07,0.93,82.24,3.54,0.25,9.15,1.04,0.29,0.5,0,58,26,2302,99,7,256,29,8,14,70.71,4012,2837,1.13,0.04,0.18,32.0,1.0,5.0,SALTA
SALTA_ORAN,"Oran, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.09,2.02,3.18,73.53,8.84,0.29,8.37,3.04,0.33,0.31,53,1229,1931,44665,5370,174,5083,1847,202,188,68.36,90437,61821,0.88,0.18,0.69,541.0,110.0,428.0,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.01,1.05,0.44,90.96,2.25,0.14,3.36,1.2,0.13,0.45,1,74,31,6419,159,10,237,85,9,32,36.64,19384,7103,0.51,0.04,0.1,36.0,3.0,7.0,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",ALIANZA FRENTE PARA LA VICTORIA,0.32,2.75,1.45,67.01,9.41,0.27,15.7,2.39,0.26,0.43,49,417,220,10150,1426,41,2378,362,40,65,72.76,21240,15454,1.22,0.06,0.69,189.0,10.0,107.0,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",ALIANZA FRENTE PARA LA VICTORIA,2.37,5.07,3.36,62.1,8.09,0.64,14.65,3.13,0.28,0.3,461,984,652,12059,1572,125,2846,608,55,58,77.59,25515,19798,0.97,0.21,0.73,192.0,41.0,145.0,SALTA
