id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",ALIANZA FRENTE PARA LA VICTORIA,20.33,0.98,0.78,72.66,1.16,0.54,2.8,0.65,0.0,0.1,1280,62,49,4574,73,34,176,41,0,6,64.9,10683,6933,8.6,0.07,0.53,596.0,5.0,37.0,SAN JUAN
SAN JUAN_ALBARDON,"Albardon, San Juan",ALIANZA FRENTE PARA LA VICTORIA,10.55,2.15,0.96,75.74,2.6,0.71,5.72,1.43,0.16,0.0,1076,219,98,7726,265,72,583,146,16,0,69.4,16223,11258,8.63,0.03,0.73,972.0,3.0,82.0,SAN JUAN
SAN JUAN_ANGACO,"Angaco, San Juan",ALIANZA FRENTE PARA LA VICTORIA,24.08,0.73,0.39,56.49,3.55,0.5,13.69,0.57,0.0,0.0,1052,32,17,2468,155,22,598,25,0,0,76.5,6213,4753,7.05,0.19,0.84,335.0,9.0,40.0,SAN JUAN
SAN JUAN_CALINGASTA,"Calingasta, San Juan",ALIANZA FRENTE PARA LA VICTORIA,25.18,2.22,0.4,66.15,1.96,0.45,2.86,0.69,0.09,0.0,1065,94,17,2798,83,19,121,29,4,0,75.3,6195,4665,7.97,0.04,1.31,372.0,2.0,61.0,SAN JUAN
SAN JUAN_CAPITAL,"Capital, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17.37,5.31,1.68,50.56,8.67,0.63,10.73,4.47,0.28,0.31,11267,3446,1087,32800,5627,408,6961,2897,182,201,72.22,96011,69337,5.03,0.09,1.31,3489.0,64.0,908.0,SAN JUAN
SAN JUAN_CAUCETE,"Caucete, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.51,2.77,1.0,67.58,2.28,0.97,9.37,1.49,0.02,0.01,1809,345,125,8422,284,121,1168,186,2,1,62.66,24047,15067,16.31,0.13,0.84,2458.0,19.0,127.0,SAN JUAN
SAN JUAN_CHIMBAS,"Chimbas, San Juan",ALIANZA FRENTE PARA LA VICTORIA,11.22,1.33,1.02,79.53,1.76,0.46,3.61,0.98,0.04,0.05,3987,474,362,28272,626,164,1284,350,13,16,73.72,50565,37277,3.34,0.28,1.02,1244.0,105.0,380.0,SAN JUAN
SAN JUAN_IGLESIA,"Iglesia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,15.69,2.1,0.87,69.88,1.02,1.78,8.0,0.66,0.0,0.0,598,80,33,2664,39,68,305,25,0,0,77.73,5455,4240,8.77,0.12,1.2,372.0,5.0,51.0,SAN JUAN
SAN JUAN_JACHAL,"Jachal, San Juan",ALIANZA FRENTE PARA LA VICTORIA,5.12,2.02,0.9,64.75,1.39,0.9,24.42,0.46,0.03,0.02,576,227,101,7290,157,101,2749,52,3,2,75.33,16047,12088,5.91,0.1,0.86,714.0,12.0,104.0,SAN JUAN
SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",ALIANZA FRENTE PARA LA VICTORIA,12.9,0.74,0.63,75.29,0.93,0.49,8.54,0.49,0.0,0.0,556,32,27,3245,40,21,368,21,0,0,70.48,6373,4492,3.65,0.02,0.38,164.0,1.0,17.0,SAN JUAN
SAN JUAN_POCITO,"Pocito, San Juan",ALIANZA FRENTE PARA LA VICTORIA,13.11,1.68,1.15,75.66,2.26,0.67,4.45,0.93,0.1,0.01,2542,325,222,14668,438,129,862,181,19,1,73.68,27656,20378,3.52,0.1,1.24,718.0,20.0,253.0,SAN JUAN
SAN JUAN_RAWSON,"Rawson, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17.9,1.73,1.15,69.63,2.53,0.42,4.86,1.62,0.07,0.09,9871,956,634,38410,1396,231,2682,895,37,48,74.03,79075,58542,4.34,0.23,1.21,2541.0,135.0,706.0,SAN JUAN
SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.69,3.94,0.87,65.58,4.55,0.65,6.87,2.26,0.35,0.25,5834,1563,344,26036,1805,257,2727,898,139,100,76.15,56593,43097,6.25,0.27,1.36,2693.0,115.0,586.0,SAN JUAN
SAN JUAN_SAN MARTIN,"San Martin, San Juan",ALIANZA FRENTE PARA LA VICTORIA,13.18,1.73,1.37,68.7,1.35,0.65,12.21,0.82,0.0,0.0,693,91,72,3613,71,34,642,43,0,0,77.67,7501,5826,8.55,0.07,1.12,498.0,4.0,65.0,SAN JUAN
SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,20.82,3.03,1.03,62.25,3.66,0.52,6.61,1.79,0.23,0.06,5005,728,247,14965,880,126,1588,430,56,14,74.07,34874,25831,5.45,0.13,1.36,1408.0,33.0,351.0,SAN JUAN
SAN JUAN_SARMIENTO,"Sarmiento, San Juan",ALIANZA FRENTE PARA LA VICTORIA,24.22,1.54,0.67,64.3,2.08,0.72,5.75,0.73,0.0,0.0,2391,152,66,6349,205,71,568,72,0,0,74.39,13869,10317,3.32,0.05,0.92,343.0,5.0,95.0,SAN JUAN
SAN JUAN_ULLUM,"Ullum, San Juan",ALIANZA FRENTE PARA LA VICTORIA,32.69,0.93,0.0,51.24,3.88,0.25,9.19,1.31,0.08,0.42,775,22,0,1215,92,6,218,31,2,10,81.45,3105,2529,4.98,0.04,1.23,126.0,1.0,31.0,SAN JUAN
SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",ALIANZA FRENTE PARA LA VICTORIA,35.56,0.23,0.1,57.67,0.83,1.09,4.15,0.34,0.03,0.0,1372,9,4,2225,32,42,160,13,1,0,77.23,5151,3978,2.51,0.1,0.4,100.0,4.0,16.0,SAN JUAN
SAN JUAN_ZONDA,"Zonda, San Juan",ALIANZA FRENTE PARA LA VICTORIA,26.01,2.08,0.25,59.23,0.59,0.42,7.04,3.82,0.13,0.42,613,49,6,1396,14,10,166,90,3,10,79.71,3209,2558,7.0,0.27,0.59,179.0,7.0,15.0,SAN JUAN
