id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.63,1.14,0.22,63.61,5.19,0.02,28.64,0.41,0.05,0.07,26,47,9,2612,213,1,1176,17,2,3,69.26,5992,4150,0.6,0.05,0.41,25.0,2.0,17.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.41,0.35,0.28,89.64,2.16,0.04,6.25,0.51,0.1,0.25,28,24,19,6098,147,3,425,35,7,17,66.48,10327,6865,0.7,0.0,0.2,48.0,0.0,14.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.54,0.45,0.31,93.25,2.88,0.0,1.98,0.36,0.09,0.14,30,25,17,5180,160,0,110,20,5,8,67.65,8274,5597,0.45,0.04,0.27,25.0,2.0,15.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.74,1.53,0.36,85.99,4.64,0.22,5.02,0.57,0.08,0.85,72,150,35,8418,454,22,491,56,8,83,67.5,14682,9910,0.94,0.04,0.24,93.0,4.0,24.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.89,2.14,1.3,82.17,4.84,0.42,5.82,1.05,0.14,0.23,1264,1434,871,54970,3241,280,3892,701,93,151,71.28,95905,68363,1.03,0.43,0.69,701.0,293.0,472.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.78,3.53,0.15,60.03,18.44,0.13,14.21,1.1,0.4,0.22,81,160,7,2724,837,6,645,50,18,10,77.9,5914,4607,1.13,0.0,0.37,52.0,0.0,17.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,2.68,4.3,1.7,71.58,8.47,0.52,8.58,1.65,0.17,0.34,3607,5778,2291,96245,11394,705,11543,2212,228,456,72.7,188918,137334,1.01,0.26,0.82,1389.0,359.0,1127.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.84,2.72,0.74,81.64,5.02,0.23,6.23,1.17,0.2,0.21,317,469,127,14053,865,39,1072,202,34,36,69.23,25375,17568,1.25,0.07,0.7,219.0,12.0,123.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.59,0.57,0.29,90.7,3.16,0.06,3.53,0.7,0.05,0.34,68,66,33,10422,363,7,406,80,6,39,64.35,18154,11682,1.32,0.05,0.27,154.0,6.0,32.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.35,0.35,0.28,92.02,3.87,0.17,2.04,0.54,0.08,0.31,23,23,18,5993,252,11,133,35,5,20,54.11,12191,6596,0.88,0.12,0.26,58.0,8.0,17.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.95,0.61,0.32,90.8,2.87,0.32,3.45,0.29,0.13,0.26,36,23,12,3445,109,12,131,11,5,10,70.63,5451,3850,1.06,0.13,0.26,41.0,5.0,10.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.68,0.7,0.43,90.02,5.38,0.12,1.41,0.84,0.06,0.37,46,47,29,6086,364,8,95,57,4,25,71.7,9562,6856,1.17,0.01,0.2,80.0,1.0,14.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.24,1.25,0.46,85.92,4.29,0.18,5.29,0.97,0.12,0.29,117,118,43,8089,404,17,498,91,11,27,68.18,14024,9561,1.28,0.0,0.25,122.0,0.0,24.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Matara, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.57,0.65,0.31,89.07,5.1,0.08,3.33,0.49,0.12,0.28,37,42,20,5775,331,5,216,32,8,18,64.4,10226,6586,1.23,0.05,0.27,81.0,3.0,18.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.79,1.31,0.26,73.75,3.81,0.0,18.77,0.92,0.26,0.13,6,10,2,562,29,0,143,7,2,1,63.07,1251,789,2.66,0.25,0.51,21.0,2.0,4.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.84,0.97,0.35,85.16,5.47,0.11,5.39,0.78,0.14,0.79,116,133,48,11717,753,15,741,107,19,109,65.98,21181,13975,1.12,0.11,0.32,157.0,15.0,45.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,2.05,2.17,0.36,80.8,5.07,0.43,7.96,0.83,0.09,0.23,153,162,27,6021,378,32,593,62,7,17,69.17,10955,7578,1.29,0.04,0.33,98.0,3.0,25.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.58,0.79,0.25,88.05,4.86,0.18,3.86,0.54,0.11,0.78,49,67,21,7443,411,15,326,46,9,66,60.29,14218,8572,1.04,0.06,0.29,89.0,5.0,25.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.34,1.59,0.59,79.02,9.91,0.15,6.37,0.46,0.23,0.34,64,76,28,3770,473,7,304,22,11,16,62.15,7784,4838,0.97,0.04,0.37,47.0,2.0,18.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.17,1.17,0.63,86.57,5.27,0.16,3.95,0.8,0.07,0.21,307,308,166,22788,1388,42,1039,211,19,56,69.82,38336,26766,0.89,0.09,0.68,238.0,23.0,181.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.89,5.31,0.25,53.82,22.09,0.15,14.92,1.31,0.15,0.11,52,146,7,1479,607,4,410,36,4,3,77.11,3596,2773,0.65,0.04,0.22,18.0,1.0,6.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.84,1.19,0.55,84.0,6.04,0.18,4.87,0.9,0.1,0.31,379,244,114,17267,1242,38,1002,185,20,64,70.56,29567,20862,1.07,0.04,0.36,223.0,8.0,76.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.8,0.93,0.13,90.77,3.03,0.53,2.78,0.62,0.09,0.33,36,42,6,4109,137,24,126,28,4,15,59.06,7767,4587,1.13,0.02,0.15,52.0,1.0,7.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.59,0.44,0.44,91.04,3.04,0.17,2.89,0.86,0.15,0.37,24,18,18,3689,123,7,117,35,6,15,63.19,6515,4117,1.24,0.05,0.29,51.0,2.0,12.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.62,0.62,0.22,89.82,5.6,0.06,1.73,0.67,0.17,0.5,11,11,4,1605,100,1,31,12,3,9,68.33,2649,1810,0.94,0.0,0.33,17.0,0.0,6.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.67,0.48,0.46,89.88,3.61,0.12,3.93,0.55,0.05,0.24,28,20,19,3731,150,5,163,23,2,10,72.09,5858,4223,1.3,0.05,0.36,55.0,2.0,15.0,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.19,1.91,0.36,84.08,5.68,0.15,5.33,0.94,0.12,0.24,220,354,66,15559,1051,28,986,174,22,45,69.32,27118,18797,1.24,0.02,0.29,233.0,4.0,55.0,SANTIAGO DEL ESTERO
