,id,agrupacion_ganadora,CAMBIEMOS                                                                                           _perc,FRENTE PARA LA VICTORIA                                                                             _perc,CAMBIEMOS                                                                                           _votos,FRENTE PARA LA VICTORIA                                                                             _votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,FRENTE PARA LA VICTORIA                                                                             ,48.9,51.1,4626326,4833680,82.51,11756541,9700855,1.38,0.06,1.05,133400,5581,101868
1,CATAMARCA,FRENTE PARA LA VICTORIA                                                                             ,47.04,52.96,99789,112368,75.87,284751,216031,0.81,0.03,0.96,1740,70,2064
2,CHACO,FRENTE PARA LA VICTORIA                                                                             ,40.77,59.23,276057,401056,79.81,860266,686586,0.68,0.04,0.65,4703,277,4493
3,CHUBUT,FRENTE PARA LA VICTORIA                                                                             ,41.16,58.84,129515,185142,78.37,414336,324704,0.98,0.05,2.07,3168,166,6713
4,CIUDAD AUTONOMA DE BUENOS AIRES,CAMBIEMOS                                                                                           ,64.78,35.22,1255099,682354,79.08,2547827,2014904,2.15,0.06,1.64,43220,1238,32993
5,CORDOBA,CAMBIEMOS                                                                                           ,71.51,28.49,1540018,613611,79.49,2780010,2209945,1.04,0.04,1.46,23054,930,32332
6,CORRIENTES,FRENTE PARA LA VICTORIA                                                                             ,44.63,55.37,285351,353976,80.26,808714,649099,0.51,0.04,0.96,3296,242,6234
7,ENTRE RIOS,CAMBIEMOS                                                                                           ,53.83,46.17,450998,386874,83.23,1027493,855137,0.8,0.06,1.16,6872,477,9916
8,FORMOSA,FRENTE PARA LA VICTORIA                                                                             ,36.04,63.96,115746,205436,77.49,419332,324946,0.46,0.04,0.66,1510,116,2138
9,JUJUY,CAMBIEMOS                                                                                           ,52.93,47.07,209342,186202,80.9,497409,402399,0.56,0.06,1.08,2250,248,4357
10,LA PAMPA,CAMBIEMOS                                                                                           ,50.91,49.09,107888,104013,79.34,273581,217052,0.96,0.04,1.37,2091,85,2975
11,LA RIOJA,CAMBIEMOS                                                                                           ,56.51,43.49,114092,87793,77.21,267003,206162,1.08,0.03,0.96,2230,70,1977
12,MENDOZA,CAMBIEMOS                                                                                           ,57.51,42.49,625121,461812,82.09,1362349,1118378,1.02,0.06,1.73,11406,721,19318
13,MISIONES,FRENTE PARA LA VICTORIA                                                                             ,41.96,58.04,278308,384954,79.93,841932,672922,0.65,0.03,0.76,4357,221,5082
14,NEUQUEN,FRENTE PARA LA VICTORIA                                                                             ,47.14,52.86,177350,198873,83.31,468918,390658,1.15,0.04,2.5,4509,166,9760
15,RIO NEGRO,FRENTE PARA LA VICTORIA                                                                             ,37.15,62.85,147876,250143,80.15,511894,410305,0.98,0.03,1.99,4008,117,8161
16,SALTA,FRENTE PARA LA VICTORIA                                                                             ,45.73,54.27,314944,373800,77.45,906472,702023,0.76,0.1,1.03,5343,688,7248
17,SAN JUAN,FRENTE PARA LA VICTORIA                                                                             ,40.24,59.76,172948,256875,82.86,529164,438444,0.76,0.07,1.13,3350,312,4959
18,SAN LUIS,CAMBIEMOS                                                                                           ,64.16,35.84,177183,98979,79.95,355463,284187,1.16,0.11,1.56,3287,303,4435
19,SANTA CRUZ,FRENTE PARA LA VICTORIA                                                                             ,41.63,58.37,72239,101270,75.32,235861,177649,0.74,0.04,1.55,1308,75,2757
20,SANTA FE,CAMBIEMOS                                                                                           ,55.73,44.27,1136478,902910,78.59,2677017,2104000,1.42,0.02,1.63,29931,490,34191
21,SANTIAGO DEL ESTERO,FRENTE PARA LA VICTORIA                                                                             ,27.94,72.06,154742,399189,80.3,698178,560625,0.55,0.03,0.62,3095,151,3448
22,TIERRA DEL FUEGO,FRENTE PARA LA VICTORIA                                                                             ,41.28,58.72,38332,54529,75.43,127075,95857,0.81,0.04,2.27,777,43,2176
23,TUCUMAN,FRENTE PARA LA VICTORIA                                                                             ,41.41,58.59,397559,562602,83.44,1169353,975692,0.65,0.06,0.88,6324,596,8611
