,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",CAMBIEMOS,64.6,35.4,7132,3908,79.22,14171,11226,1.19,0.01,0.45,134,1,51
1,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",CAMBIEMOS,55.72,44.28,4221,3354,84.22,9147,7704,1.6,0.01,0.06,123,1,5
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE PARA LA VICTORIA,39.72,60.28,133647,202868,83.77,412578,345606,1.37,0.05,1.21,4738,159,4194
3,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",CAMBIEMOS,56.24,43.76,11050,8598,84.05,23840,20038,1.53,0.02,0.39,306,5,79
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE PARA LA VICTORIA,47.87,52.13,104775,114096,82.52,272641,224976,1.61,0.04,1.06,3617,96,2392
5,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",CAMBIEMOS,56.68,43.32,7639,5838,81.24,17022,13829,1.53,0.01,1,212,2,138
6,BUENOS AIRES_AZUL,"Azul, Buenos Aires",CAMBIEMOS,57.09,42.91,24608,18493,80.3,55060,44214,1.02,0.04,1.46,452,17,644
7,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",CAMBIEMOS,64.83,35.17,117692,63842,80.37,233442,187615,1.57,0.07,1.6,2948,129,3004
8,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",CAMBIEMOS,66.28,33.72,20068,10208,81.9,37704,30881,1.01,0.04,0.91,312,13,280
9,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",FRENTE PARA LA VICTORIA,48.22,51.78,10535,11312,82.12,27119,22271,1.03,0.04,0.83,230,10,184
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE PARA LA VICTORIA,41.31,58.69,82728,117545,85.46,240112,205194,1.55,0.06,0.79,3178,118,1625
11,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",CAMBIEMOS,50.67,49.33,30688,29874,84.55,73621,62246,1.79,0.08,0.84,1113,48,523
12,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",CAMBIEMOS,59.16,40.84,13684,9445,81.38,28974,23580,0.98,0.05,0.88,231,12,208
13,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",CAMBIEMOS,56.75,43.25,15903,12121,82.24,35039,28816,1.19,0.06,1.51,342,16,434
14,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",CAMBIEMOS,56.76,43.24,10062,7664,84.28,21480,18103,0.92,0.03,1.14,166,5,206
15,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",CAMBIEMOS,53.53,46.47,32071,27843,84.02,73015,61345,1.14,0.04,1.15,700,26,705
16,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",CAMBIEMOS,59.08,40.92,5729,3968,82.85,11909,9867,1.14,0.01,0.58,112,1,57
