Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
190.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,63.26,36.74,79446,46149,72.61,178945,129935,1.81,0.07,1.46,2356,91,1893,CIUDAD AUTONOMA DE BUENOS AIRES
191.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,63.19,36.81,73653,42908,81.57,149400,121873,2.36,0.08,1.92,2871,99,2342,CIUDAD AUTONOMA DE BUENOS AIRES
192.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,66.02,33.98,89121,45869,81.83,172158,140881,2.27,0.13,1.78,3200,180,2511,CIUDAD AUTONOMA DE BUENOS AIRES
193.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,67.01,32.99,98838,48664,82.32,186591,153593,2.3,0.08,1.59,3535,120,2436,CIUDAD AUTONOMA DE BUENOS AIRES
194.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,75.92,24.08,126657,40180,79.32,218171,173058,2.22,0.05,1.33,3843,84,2294,CIUDAD AUTONOMA DE BUENOS AIRES
195.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,74.75,25.25,118182,39912,77.74,210581,163697,2.11,0.04,1.27,3451,71,2081,CIUDAD AUTONOMA DE BUENOS AIRES
196.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,60.47,39.53,76110,49748,79.31,166288,131884,2.57,0.05,1.95,3394,61,2571,CIUDAD AUTONOMA DE BUENOS AIRES
197.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,79.54,20.46,85537,21998,76.0,145810,110820,1.78,0.02,1.16,1976,25,1284,CIUDAD AUTONOMA DE BUENOS AIRES
198.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,60.46,39.54,71524,46782,75.38,163619,123339,2.15,0.05,1.88,2655,57,2321,CIUDAD AUTONOMA DE BUENOS AIRES
199.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,55.15,44.85,74656,60715,78.68,178099,140126,1.67,0.05,1.67,2336,73,2346,CIUDAD AUTONOMA DE BUENOS AIRES
200.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,60.61,39.39,73234,47595,79.5,158836,126267,2.4,0.06,1.85,3034,70,2334,CIUDAD AUTONOMA DE BUENOS AIRES
201.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,66.69,33.31,83555,41730,81.32,161249,131135,2.63,0.03,1.8,3450,41,2359,CIUDAD AUTONOMA DE BUENOS AIRES
202.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,61.33,38.67,81217,51208,79.5,173815,138189,2.24,0.09,1.85,3092,119,2553,CIUDAD AUTONOMA DE BUENOS AIRES
203.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,51.1,48.9,54592,52247,80.16,137456,110178,1.46,0.07,1.5,1613,75,1651,CIUDAD AUTONOMA DE BUENOS AIRES
204.0,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,59.59,40.41,68777,46649,81.69,146809,119929,2.01,0.06,1.68,2414,72,2017,CIUDAD AUTONOMA DE BUENOS AIRES
