Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
135.0,CATAMARCA_AMBATO,"Ambato, Catamarca",FRENTE PARA LA VICTORIA,41.13,58.87,1503,2151,78.71,4692,3693,0.84,0.0,0.22,31,0,8,CATAMARCA
,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,CATAMARCA
136.0,CATAMARCA_ANCASTI,"Ancasti, Catamarca",FRENTE PARA LA VICTORIA,39.1,60.9,768,1196,73.64,2693,1983,0.5,0.1,0.35,10,2,7,CATAMARCA
137.0,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",FRENTE PARA LA VICTORIA,45.91,54.09,4877,5747,74.16,14626,10846,0.99,0.02,1.04,107,2,113,CATAMARCA
138.0,CATAMARCA_BELEN,"Belen, Catamarca",FRENTE PARA LA VICTORIA,46.2,53.8,7322,8528,76.44,21134,16154,1.09,0.06,0.74,176,9,119,CATAMARCA
139.0,CATAMARCA_CAPAYAN,"Capayan, Catamarca",FRENTE PARA LA VICTORIA,40.91,59.09,3878,5602,76.2,12620,9617,0.81,0.0,0.61,78,0,59,CATAMARCA
140.0,CATAMARCA_CAPITAL,"Capital, Catamarca",CAMBIEMOS,52.03,47.97,47027,43351,75.39,122290,92190,0.73,0.03,1.2,674,31,1107,CATAMARCA
141.0,CATAMARCA_EL ALTO,"El Alto, Catamarca",FRENTE PARA LA VICTORIA,36.15,63.85,989,1747,77.33,3587,2774,0.72,0.0,0.65,20,0,18,CATAMARCA
142.0,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",FRENTE PARA LA VICTORIA,43.69,56.31,3438,4431,80.44,9926,7984,0.64,0.0,0.8,51,0,64,CATAMARCA
143.0,CATAMARCA_LA PAZ,"La Paz, Catamarca",FRENTE PARA LA VICTORIA,40.11,59.89,3823,5708,73.6,13104,9645,0.56,0.05,0.57,54,5,55,CATAMARCA
144.0,CATAMARCA_PACLIN,"Paclin, Catamarca",CAMBIEMOS,50.72,49.28,1488,1446,81.28,3633,2953,0.47,0.03,0.14,14,1,4,CATAMARCA
145.0,CATAMARCA_POMAN,"Poman, Catamarca",FRENTE PARA LA VICTORIA,40.28,59.72,2678,3970,79.83,8408,6712,0.4,0.03,0.52,27,2,35,CATAMARCA
146.0,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",FRENTE PARA LA VICTORIA,44.51,55.49,6415,7997,76.07,19266,14656,0.59,0.04,1.03,87,6,151,CATAMARCA
147.0,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",FRENTE PARA LA VICTORIA,30.66,69.34,2381,5384,79.49,9895,7866,0.61,0.01,0.66,48,1,52,CATAMARCA
148.0,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",FRENTE PARA LA VICTORIA,43.65,56.35,5087,6568,71.66,16782,12026,2.19,0.03,0.86,263,4,104,CATAMARCA
149.0,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",FRENTE PARA LA VICTORIA,48.72,51.28,8115,8542,76.63,22095,16932,0.59,0.04,0.99,100,7,168,CATAMARCA
