Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
175.0,CHUBUT_BIEDMA,"Biedma, Chubut",FRENTE PARA LA VICTORIA,42.11,57.89,20486,28166,78.84,63761,50268,1.01,0.07,2.13,506,37,1073,CHUBUT
176.0,CHUBUT_CUSHAMEN,"Cushamen, Chubut",FRENTE PARA LA VICTORIA,30.09,69.91,4758,11054,77.04,21282,16396,1.01,0.01,2.54,166,1,417,CHUBUT
177.0,CHUBUT_ESCALANTE,"Escalante, Chubut",FRENTE PARA LA VICTORIA,40.21,59.79,46433,69032,79.57,149442,118911,0.89,0.06,1.95,1062,70,2314,CHUBUT
178.0,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",FRENTE PARA LA VICTORIA,31.43,68.57,298,650,71.63,1343,962,0.42,0.0,1.04,4,0,10,CHUBUT
179.0,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",FRENTE PARA LA VICTORIA,45.96,54.04,12158,14297,74.72,36917,27585,1.56,0.02,2.52,431,5,694,CHUBUT
180.0,CHUBUT_GAIMAN,"Gaiman, Chubut",FRENTE PARA LA VICTORIA,46.16,53.84,3237,3776,79.42,9078,7210,1.01,0.06,1.66,73,4,120,CHUBUT
181.0,CHUBUT_GASTRE,"Gastre, Chubut",FRENTE PARA LA VICTORIA,23.46,76.54,156,509,55.56,1222,679,1.03,0.0,1.03,7,0,7,CHUBUT
182.0,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",FRENTE PARA LA VICTORIA,25.17,74.83,449,1335,73.09,2508,1833,0.76,0.0,1.91,14,0,35,CHUBUT
183.0,CHUBUT_MARTIRES,"Martires, Chubut",FRENTE PARA LA VICTORIA,36.43,63.57,145,253,69.42,605,420,1.67,0.0,3.57,7,0,15,CHUBUT
184.0,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",FRENTE PARA LA VICTORIA,39.59,60.41,426,650,71.88,1540,1107,0.99,0.0,1.81,11,0,20,CHUBUT
185.0,CHUBUT_RAWSON,"Rawson, Chubut",FRENTE PARA LA VICTORIA,43.42,56.58,35513,46278,79.59,106056,84406,0.93,0.04,2.12,787,36,1792,CHUBUT
186.0,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",FRENTE PARA LA VICTORIA,33.58,66.42,1172,2318,71.5,4975,3557,0.51,0.06,1.32,18,2,47,CHUBUT
187.0,CHUBUT_SARMIENTO,"Sarmiento, Chubut",FRENTE PARA LA VICTORIA,41.78,58.22,2859,3984,75.63,9258,7002,0.66,0.11,1.5,46,8,105,CHUBUT
188.0,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",FRENTE PARA LA VICTORIA,33.84,66.16,1138,2225,71.1,4841,3442,0.84,0.09,1.37,29,3,47,CHUBUT
189.0,CHUBUT_TELSEN,"Telsen, Chubut",FRENTE PARA LA VICTORIA,31.82,68.18,287,615,61.41,1508,926,0.76,0.0,1.84,7,0,17,CHUBUT
