Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
205.0,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",CAMBIEMOS,67.38,32.62,25293,12246,80.53,47907,38580,1.04,0.05,1.61,400,21,620,CORDOBA
206.0,CORDOBA_CAPITAL,"Capital, Cordoba",CAMBIEMOS,74.89,25.11,621106,208261,79.39,1074495,853021,1.07,0.07,1.64,9122,555,13977,CORDOBA
207.0,CORDOBA_COLON,"Colon, Cordoba",CAMBIEMOS,75.69,24.31,121686,39092,80.11,205752,164829,0.89,0.04,1.53,1469,68,2514,CORDOBA
208.0,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE PARA LA VICTORIA,49.84,50.16,16937,17046,73.8,46817,34552,0.67,0.04,0.93,233,13,323,CORDOBA
209.0,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",CAMBIEMOS,67.63,32.37,14341,6865,76.35,28262,21579,0.93,0.0,0.79,201,1,171,CORDOBA
210.0,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",CAMBIEMOS,61.37,38.63,53323,33559,80.67,110300,88974,1.01,0.04,1.3,895,39,1158,CORDOBA
211.0,CORDOBA_ISCHILIN,"Ischilin, Cordoba",CAMBIEMOS,61.52,38.48,12538,7841,77.71,26771,20803,0.89,0.11,1.04,185,23,216,CORDOBA
212.0,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",CAMBIEMOS,68.86,31.14,27727,12539,80.74,51116,41272,1.12,0.02,1.3,464,7,535,CORDOBA
213.0,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",CAMBIEMOS,70.95,29.05,48595,19900,80.7,86827,70069,1.55,0.0,0.69,1088,3,483,CORDOBA
214.0,CORDOBA_MINAS,"Minas, Cordoba",FRENTE PARA LA VICTORIA,47.14,52.86,1590,1783,69.05,4992,3447,0.81,0.0,1.33,28,0,46,CORDOBA
215.0,CORDOBA_POCHO,"Pocho, Cordoba",CAMBIEMOS,53.1,46.9,1593,1407,66.05,4616,3049,0.92,0.0,0.69,28,0,21,CORDOBA
216.0,CORDOBA_PUNILLA,"Punilla, Cordoba",CAMBIEMOS,72.63,27.37,87352,32923,78.16,158483,123868,0.98,0.03,1.89,1217,34,2342,CORDOBA
217.0,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",CAMBIEMOS,70.11,29.89,113382,48336,79.81,208598,166480,1.12,0.04,1.7,1872,59,2831,CORDOBA
218.0,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",CAMBIEMOS,71.69,28.31,22337,8820,81.2,39035,31698,0.83,0.0,0.88,262,1,278,CORDOBA
219.0,CORDOBA_RIO SECO,"Rio Seco, Cordoba",CAMBIEMOS,56.08,43.92,5152,4035,76.12,12288,9354,1.02,0.11,0.66,95,10,62,CORDOBA
220.0,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",CAMBIEMOS,73.33,26.67,51707,18805,82.33,87665,72174,0.92,0.0,1.39,661,1,1000,CORDOBA
221.0,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",CAMBIEMOS,71.41,28.59,16465,6591,78.05,30223,23589,1.11,0.0,1.14,263,1,269,CORDOBA
222.0,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",CAMBIEMOS,61.94,38.06,15220,9353,79.36,31726,25178,0.98,0.02,1.4,248,4,353,CORDOBA
223.0,CORDOBA_SAN JAVIER,"San Javier, Cordoba",CAMBIEMOS,56.77,43.23,20150,15341,79.41,45671,36269,0.98,0.02,1.14,355,8,415,CORDOBA
224.0,CORDOBA_SAN JUSTO,"San Justo, Cordoba",CAMBIEMOS,71.3,28.7,96535,38861,79.45,174350,138514,1.02,0.02,1.22,1409,26,1683,CORDOBA
225.0,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",CAMBIEMOS,74.03,25.97,49946,17518,80.82,85874,69407,0.95,0.04,1.8,660,31,1252,CORDOBA
226.0,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",CAMBIEMOS,55.56,44.44,1608,1286,75.34,3913,2948,1.15,0.0,0.68,34,0,20,CORDOBA
227.0,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",CAMBIEMOS,71.97,28.03,54846,21357,80.95,96330,77981,1.05,0.01,1.22,816,11,951,CORDOBA
228.0,CORDOBA_TOTORAL,"Totoral, Cordoba",CAMBIEMOS,70.84,29.16,9185,3781,82.09,16023,13154,0.67,0.01,0.75,88,1,99,CORDOBA
229.0,CORDOBA_TULUMBA,"Tulumba, Cordoba",CAMBIEMOS,56.99,43.01,4969,3750,74.27,11936,8865,0.83,0.01,0.8,74,1,71,CORDOBA
230.0,CORDOBA_UNION,"Union, Cordoba",CAMBIEMOS,67.54,32.46,46435,22315,78.07,90040,70291,1.26,0.02,0.91,887,12,642,CORDOBA
