Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
231.0,CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",FRENTE PARA LA VICTORIA,36.78,63.22,8821,15161,81.46,29769,24249,0.45,0.02,0.64,108,5,154,CORRIENTES
232.0,CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",FRENTE PARA LA VICTORIA,37.6,62.4,685,1137,80.87,2269,1835,0.38,0.0,0.33,7,0,6,CORRIENTES
233.0,CORRIENTES_CAPITAL,"Capital, Corrientes",CAMBIEMOS,53.56,46.44,123698,107262,83.03,283565,235443,0.55,0.06,1.29,1290,153,3040,CORRIENTES
234.0,CORRIENTES_CONCEPCION,"Concepcion, Corrientes",FRENTE PARA LA VICTORIA,35.14,64.86,4308,7953,76.76,16182,12421,0.52,0.0,0.77,64,0,96,CORRIENTES
235.0,CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",FRENTE PARA LA VICTORIA,42.7,57.3,11997,16099,78.37,36353,28491,0.47,0.03,0.89,134,8,253,CORRIENTES
236.0,CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",FRENTE PARA LA VICTORIA,42.86,57.14,4212,5615,78.54,12722,9992,0.56,0.01,1.08,56,1,108,CORRIENTES
237.0,CORRIENTES_ESQUINA,"Esquina, Corrientes",FRENTE PARA LA VICTORIA,39.8,60.2,8089,12235,74.79,27502,20569,0.53,0.0,0.66,109,1,135,CORRIENTES
238.0,CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",FRENTE PARA LA VICTORIA,39.32,60.68,1954,3016,73.61,6837,5033,0.52,0.0,0.74,26,0,37,CORRIENTES
239.0,CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",FRENTE PARA LA VICTORIA,41.14,58.86,4216,6033,77.65,13318,10341,0.37,0.01,0.51,38,1,53,CORRIENTES
240.0,CORRIENTES_GOYA,"Goya, Corrientes",FRENTE PARA LA VICTORIA,34.79,65.21,19880,37270,79.88,72623,58009,0.58,0.04,0.86,336,23,500,CORRIENTES
241.0,CORRIENTES_ITATI,"Itati, Corrientes",FRENTE PARA LA VICTORIA,41.8,58.2,2598,3617,74.28,8449,6276,0.37,0.0,0.61,23,0,38,CORRIENTES
242.0,CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",FRENTE PARA LA VICTORIA,41.84,58.16,8507,11826,78.69,26285,20683,0.43,0.12,1.15,89,24,237,CORRIENTES
243.0,CORRIENTES_LAVALLE,"Lavalle, Corrientes",FRENTE PARA LA VICTORIA,30.41,69.59,5727,13106,81.24,23434,19038,0.34,0.0,0.74,65,0,140,CORRIENTES
244.0,CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",FRENTE PARA LA VICTORIA,35.65,64.35,2352,4245,78.85,8445,6659,0.41,0.0,0.53,27,0,35,CORRIENTES
245.0,CORRIENTES_MERCEDES,"Mercedes, Corrientes",FRENTE PARA LA VICTORIA,43.37,56.63,11537,15063,79.21,33976,26911,0.37,0.0,0.78,99,1,211,CORRIENTES
246.0,CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",FRENTE PARA LA VICTORIA,45.43,54.57,10288,12356,78.36,29236,22909,0.69,0.01,0.46,158,2,105,CORRIENTES
247.0,CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",FRENTE PARA LA VICTORIA,39.34,60.66,12188,18795,77.0,40790,31407,0.49,0.02,0.84,154,5,265,CORRIENTES
248.0,CORRIENTES_SALADAS,"Saladas, Corrientes",FRENTE PARA LA VICTORIA,37.46,62.54,5235,8740,80.84,17512,14157,0.51,0.01,0.76,72,2,108,CORRIENTES
249.0,CORRIENTES_SAN COSME,"San Cosme, Corrientes",CAMBIEMOS,55.44,44.56,6176,4964,80.66,13989,11283,0.41,0.03,0.83,46,3,94,CORRIENTES
250.0,CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",FRENTE PARA LA VICTORIA,37.35,62.65,4791,8037,83.62,15502,12962,0.44,0.0,0.59,57,0,77,CORRIENTES
251.0,CORRIENTES_SAN MARTIN,"San Martin, Corrientes",FRENTE PARA LA VICTORIA,42.07,57.93,3256,4483,74.38,10542,7841,0.78,0.01,0.51,61,1,40,CORRIENTES
252.0,CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",FRENTE PARA LA VICTORIA,28.99,71.01,1883,4613,78.52,8356,6561,0.53,0.0,0.46,35,0,30,CORRIENTES
253.0,CORRIENTES_SAN ROQUE,"San Roque, Corrientes",FRENTE PARA LA VICTORIA,29.37,70.63,3617,8697,77.17,16121,12441,0.33,0.01,0.68,41,1,85,CORRIENTES
254.0,CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",FRENTE PARA LA VICTORIA,45.83,54.17,17075,20185,79.66,47452,37801,0.46,0.02,0.95,172,9,360,CORRIENTES
255.0,CORRIENTES_SAUCE,"Sauce, Corrientes",FRENTE PARA LA VICTORIA,39.47,60.53,2261,3468,77.31,7485,5787,0.5,0.03,0.47,29,2,27,CORRIENTES
