Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
256.0,ENTRE RIOS_COLON,"Colon, Entre Rios",CAMBIEMOS,53.25,46.75,23054,20238,83.63,52787,44148,0.78,0.04,1.11,345,19,492,ENTRE RIOS
257.0,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",FRENTE PARA LA VICTORIA,44.45,55.55,49600,61977,84.03,135161,113576,0.56,0.11,1.1,635,120,1244,ENTRE RIOS
258.0,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",CAMBIEMOS,61.5,38.5,18836,11792,80.0,39019,31214,0.79,0.01,1.07,247,4,335,ENTRE RIOS
259.0,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",CAMBIEMOS,57.46,42.54,26191,19390,84.14,55104,46364,0.62,0.02,1.04,289,11,483,ENTRE RIOS
260.0,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",FRENTE PARA LA VICTORIA,40.1,59.9,7192,10742,82.94,21871,18140,0.42,0.06,0.66,77,10,119,ENTRE RIOS
261.0,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",FRENTE PARA LA VICTORIA,40.89,59.11,4080,5898,82.22,12329,10137,0.43,0.02,1.11,44,2,113,ENTRE RIOS
262.0,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",CAMBIEMOS,56.91,43.09,19933,15093,81.59,43791,35727,0.94,0.04,0.98,336,15,350,ENTRE RIOS
263.0,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",CAMBIEMOS,58.52,41.48,44740,31708,85.47,91297,78031,0.84,0.04,1.15,654,32,897,ENTRE RIOS
264.0,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",FRENTE PARA LA VICTORIA,45.85,54.15,3982,4702,81.93,10740,8799,0.49,0.0,0.82,43,0,72,ENTRE RIOS
265.0,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",FRENTE PARA LA VICTORIA,44.06,55.94,19502,24761,80.87,55545,44922,0.55,0.02,0.9,247,8,404,ENTRE RIOS
266.0,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",CAMBIEMOS,53.56,46.44,14218,12326,83.24,32387,26960,0.88,0.03,0.63,238,9,169,ENTRE RIOS
267.0,ENTRE RIOS_PARANA,"Parana, Entre Rios",CAMBIEMOS,57.96,42.04,136632,99102,83.74,288648,241709,0.99,0.08,1.4,2396,202,3377,ENTRE RIOS
268.0,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",CAMBIEMOS,55.56,44.44,6725,5380,85.19,14481,12336,0.65,0.01,1.22,80,1,150,ENTRE RIOS
269.0,ENTRE RIOS_TALA,"Tala, Entre Rios",CAMBIEMOS,55.42,44.58,10075,8103,81.78,22684,18552,0.91,0.01,1.1,169,1,204,ENTRE RIOS
270.0,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",CAMBIEMOS,54.5,45.5,36817,30733,83.7,82611,69147,0.98,0.03,1.3,676,20,901,ENTRE RIOS
271.0,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",CAMBIEMOS,59.24,40.76,14160,9743,81.63,29755,24289,0.61,0.04,0.94,147,10,229,ENTRE RIOS
272.0,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",CAMBIEMOS,50.12,49.88,15261,15186,79.13,39283,31086,0.8,0.04,1.21,249,13,377,ENTRE RIOS
