Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,JUJUY
282.0,JUJUY_COCHINOCA,"Cochinoca, Jujuy",FRENTE PARA LA VICTORIA,41.47,58.53,2915,4115,74.08,9678,7169,0.47,0.0,1.46,34,0,105,JUJUY
283.0,JUJUY_EL CARMEN,"El Carmen, Jujuy",CAMBIEMOS,54.12,45.88,29605,25093,84.23,65873,55484,0.51,0.05,0.85,285,27,474,JUJUY
284.0,JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",CAMBIEMOS,58.9,41.1,91999,64195,82.04,194134,159264,0.69,0.07,1.16,1102,117,1851,JUJUY
285.0,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",FRENTE PARA LA VICTORIA,43.44,56.56,4539,5910,74.79,14244,10653,0.32,0.08,1.52,34,8,162,JUJUY
286.0,JUJUY_LEDESMA,"Ledesma, Jujuy",FRENTE PARA LA VICTORIA,47.73,52.27,22583,24734,79.21,60697,48078,0.47,0.09,1.02,228,44,489,JUJUY
287.0,JUJUY_PALPALA,"Palpala, Jujuy",CAMBIEMOS,57.22,42.78,19019,14221,84.41,40017,33780,0.51,0.03,1.05,173,11,356,JUJUY
288.0,JUJUY_RINCONADA,"Rinconada, Jujuy",FRENTE PARA LA VICTORIA,31.76,68.24,297,638,60.71,1573,955,0.63,0.0,1.47,6,0,14,JUJUY
289.0,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",FRENTE PARA LA VICTORIA,45.03,54.97,1310,1599,85.1,3476,2958,0.57,0.34,0.74,17,10,22,JUJUY
290.0,JUJUY_SAN PEDRO,"San Pedro, Jujuy",FRENTE PARA LA VICTORIA,48.62,51.38,22412,23686,80.88,57873,46807,0.49,0.03,0.99,228,16,465,JUJUY
291.0,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",FRENTE PARA LA VICTORIA,39.93,60.07,4274,6431,77.17,14022,10821,0.2,0.04,0.83,22,4,90,JUJUY
292.0,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",FRENTE PARA LA VICTORIA,32.39,67.61,604,1261,66.46,2841,1888,0.16,0.11,0.95,3,2,18,JUJUY
293.0,JUJUY_SUSQUES,"Susques, Jujuy",FRENTE PARA LA VICTORIA,34.34,65.66,716,1369,72.74,2924,2127,0.28,0.05,1.65,6,1,35,JUJUY
294.0,JUJUY_TILCARA,"Tilcara, Jujuy",FRENTE PARA LA VICTORIA,42.96,57.04,3193,4239,79.92,9460,7560,0.69,0.09,0.91,52,7,69,JUJUY
295.0,JUJUY_TUMBAYA,"Tumbaya, Jujuy",FRENTE PARA LA VICTORIA,42.54,57.46,1442,1948,78.87,4353,3433,0.32,0.0,0.93,11,0,32,JUJUY
296.0,JUJUY_YAVI,"Yavi, Jujuy",FRENTE PARA LA VICTORIA,39.6,60.4,4434,6763,70.32,16244,11422,0.43,0.01,1.53,49,1,175,JUJUY
