Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
297.0,LA PAMPA_ATREUCO,"Atreuco, La Pampa",CAMBIEMOS,55.22,44.78,4051,3285,81.75,9156,7485,0.8,0.0,1.19,60,0,89,LA PAMPA
298.0,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",FRENTE PARA LA VICTORIA,31.07,68.93,420,932,80.16,1724,1382,0.65,0.0,1.52,9,0,21,LA PAMPA
299.0,LA PAMPA_CAPITAL,"Capital, La Pampa",FRENTE PARA LA VICTORIA,47.73,52.27,33123,36270,78.84,90372,71247,0.99,0.07,1.54,706,48,1100,LA PAMPA
300.0,LA PAMPA_CATRILO,"Catrilo, La Pampa",CAMBIEMOS,54.49,45.51,2723,2274,83.39,6098,5085,0.81,0.0,0.92,41,0,47,LA PAMPA
301.0,LA PAMPA_CHALILEO,"Chalileo, La Pampa",FRENTE PARA LA VICTORIA,33.89,66.11,627,1223,76.46,2451,1874,0.64,0.0,0.64,12,0,12,LA PAMPA
302.0,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",CAMBIEMOS,54.54,45.46,4402,3669,81.16,10114,8209,0.78,0.0,0.9,64,0,74,LA PAMPA
303.0,LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",FRENTE PARA LA VICTORIA,34.99,65.01,302,561,72.8,1202,875,0.57,0.0,0.8,5,0,7,LA PAMPA
304.0,LA PAMPA_CONHELO,"Conhelo, La Pampa",FRENTE PARA LA VICTORIA,47.88,52.12,4543,4946,80.5,12025,9680,0.93,0.03,1.01,90,3,98,LA PAMPA
305.0,LA PAMPA_CURACO,"Curaco, La Pampa",FRENTE PARA LA VICTORIA,35.95,64.05,211,376,76.53,784,600,0.5,0.0,1.67,3,0,10,LA PAMPA
306.0,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",CAMBIEMOS,64.12,35.88,3619,2025,77.53,7449,5775,1.39,0.0,0.88,80,0,51,LA PAMPA
307.0,LA PAMPA_HUCAL,"Hucal, La Pampa",CAMBIEMOS,61.08,38.92,3387,2158,81.45,6987,5691,1.58,0.0,0.98,90,0,56,LA PAMPA
308.0,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",FRENTE PARA LA VICTORIA,36.53,63.47,61,106,66.8,250,167,0.0,0.0,0.0,0,0,0,LA PAMPA
309.0,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",CAMBIEMOS,52.1,47.9,161,148,67.61,460,311,0.64,0.0,0.0,2,0,0,LA PAMPA
310.0,LA PAMPA_LOVENTUE,"Loventue, La Pampa",FRENTE PARA LA VICTORIA,45.13,54.87,2625,3192,77.16,7645,5899,0.61,0.0,0.78,36,0,46,LA PAMPA
311.0,LA PAMPA_MARACO,"Maraco, La Pampa",CAMBIEMOS,53.33,46.67,20805,18210,80.42,50002,40210,1.04,0.04,1.89,419,15,761,LA PAMPA
312.0,LA PAMPA_PUELEN,"Puelen, La Pampa",FRENTE PARA LA VICTORIA,47.18,52.82,2646,2962,76.57,7549,5780,0.92,0.05,2.01,53,3,116,LA PAMPA
313.0,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",CAMBIEMOS,58.73,41.27,3456,2429,80.67,7446,6007,1.27,0.0,0.77,76,0,46,LA PAMPA
314.0,LA PAMPA_RANCUL,"Rancul, La Pampa",CAMBIEMOS,50.19,49.81,3441,3415,77.27,9011,6963,0.8,0.06,0.67,56,4,47,LA PAMPA
315.0,LA PAMPA_REALICO,"Realico, La Pampa",CAMBIEMOS,54.08,45.92,6000,5094,80.27,14119,11333,1.07,0.0,1.04,121,0,118,LA PAMPA
316.0,LA PAMPA_TOAY,"Toay, La Pampa",FRENTE PARA LA VICTORIA,47.39,52.61,4022,4465,79.63,10874,8659,0.68,0.01,1.29,59,1,112,LA PAMPA
317.0,LA PAMPA_TRENEL,"Trenel, La Pampa",FRENTE PARA LA VICTORIA,44.77,55.23,1668,2058,80.57,4705,3791,0.98,0.0,0.74,37,0,28,LA PAMPA
318.0,LA PAMPA_UTRACAN,"Utracan, La Pampa",CAMBIEMOS,57.03,42.97,5595,4215,76.22,13158,10029,0.72,0.11,1.36,72,11,136,LA PAMPA
