Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
319.0,LA RIOJA_ARAUCO,"Arauco, La Rioja",FRENTE PARA LA VICTORIA,46.81,53.19,4114,4675,75.76,11870,8993,1.12,0.06,1.09,101,5,98,LA RIOJA
320.0,LA RIOJA_CAPITAL,"Capital, La Rioja",CAMBIEMOS,61.74,38.26,67024,41533,78.24,141668,110842,0.89,0.03,1.14,990,32,1263,LA RIOJA
321.0,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",FRENTE PARA LA VICTORIA,45.34,54.66,1551,1870,80.9,4387,3549,2.25,0.45,0.9,80,16,32,LA RIOJA
322.0,LA RIOJA_CHAMICAL,"Chamical, La Rioja",CAMBIEMOS,54.6,45.4,4628,3848,74.13,11647,8634,1.16,0.02,0.65,100,2,56,LA RIOJA
323.0,LA RIOJA_CHILECITO,"Chilecito, La Rioja",CAMBIEMOS,62.39,37.61,17779,10719,77.74,37552,29194,1.61,0.01,0.76,471,3,222,LA RIOJA
324.0,LA RIOJA_FAMATINA,"Famatina, La Rioja",CAMBIEMOS,54.18,45.82,2202,1862,81.11,5099,4136,1.35,0.0,0.39,56,0,16,LA RIOJA
325.0,LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",FRENTE PARA LA VICTORIA,44.43,55.57,2962,3704,78.4,8699,6820,1.6,0.01,0.65,109,1,44,LA RIOJA
326.0,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",FRENTE PARA LA VICTORIA,37.81,62.19,684,1125,74.14,2486,1843,1.09,0.0,0.76,20,0,14,LA RIOJA
327.0,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",CAMBIEMOS,55.65,44.35,2438,1943,70.4,6337,4461,1.12,0.0,0.67,50,0,30,LA RIOJA
328.0,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",FRENTE PARA LA VICTORIA,41.19,58.81,549,784,80.89,1664,1346,0.3,0.0,0.67,4,0,9,LA RIOJA
329.0,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",FRENTE PARA LA VICTORIA,33.59,66.41,1451,2869,74.35,5890,4379,0.71,0.02,0.62,31,1,27,LA RIOJA
330.0,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",FRENTE PARA LA VICTORIA,41.72,58.28,1179,1647,74.08,3897,2887,1.11,0.0,1.0,32,0,29,LA RIOJA
331.0,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",FRENTE PARA LA VICTORIA,38.66,61.34,576,914,76.84,1965,1510,1.19,0.0,0.13,18,0,2,LA RIOJA
332.0,LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",FRENTE PARA LA VICTORIA,38.53,61.47,952,1519,73.66,3428,2525,1.19,0.0,0.95,30,0,24,LA RIOJA
333.0,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",FRENTE PARA LA VICTORIA,36.96,63.04,3099,5286,70.97,12032,8539,0.98,0.11,0.71,84,9,61,LA RIOJA
334.0,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",FRENTE PARA LA VICTORIA,47.54,52.46,1169,1290,78.07,3210,2506,0.72,0.04,1.12,18,1,28,LA RIOJA
335.0,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",FRENTE PARA LA VICTORIA,47.65,52.35,1087,1194,85.01,2721,2313,0.43,0.0,0.95,10,0,22,LA RIOJA
336.0,LA RIOJA_VINCHINA,"Vinchina, La Rioja",FRENTE PARA LA VICTORIA,39.06,60.94,648,1011,68.75,2451,1685,1.54,0.0,0.0,26,0,0,LA RIOJA
