Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
337.0,MENDOZA_CAPITAL,"Capital, Mendoza",CAMBIEMOS,70.05,29.95,52932,22635,78.34,99182,77703,1.12,0.04,1.59,870,34,1232,MENDOZA
338.0,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",FRENTE PARA LA VICTORIA,49.95,50.05,14643,14675,81.39,36919,30048,0.98,0.08,1.38,293,23,414,MENDOZA
339.0,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",CAMBIEMOS,65.16,34.84,78906,42195,80.57,154858,124769,1.01,0.08,1.85,1262,96,2310,MENDOZA
340.0,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",CAMBIEMOS,61.85,38.15,106588,65738,81.43,218078,177578,0.94,0.06,1.95,1667,114,3471,MENDOZA
341.0,MENDOZA_JUNIN,"Junin, Mendoza",CAMBIEMOS,60.1,39.9,15897,10552,84.06,32503,27322,1.3,0.03,1.87,354,7,512,MENDOZA
342.0,MENDOZA_LA PAZ,"La Paz, Mendoza",CAMBIEMOS,52.3,47.7,3746,3416,84.77,8591,7283,0.54,0.01,1.11,39,1,81,MENDOZA
343.0,MENDOZA_LAS HERAS,"Las Heras, Mendoza",CAMBIEMOS,54.54,45.46,65813,54856,81.45,152957,124583,1.01,0.08,2.05,1258,104,2552,MENDOZA
344.0,MENDOZA_LAVALLE,"Lavalle, Mendoza",FRENTE PARA LA VICTORIA,40.24,59.76,10143,15066,84.65,30417,25749,0.91,0.03,1.15,235,8,297,MENDOZA
345.0,MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",CAMBIEMOS,61.38,38.62,48155,30301,84.16,96021,80813,0.9,0.05,1.97,726,41,1590,MENDOZA
346.0,MENDOZA_MAIPU,"Maipu, Mendoza",CAMBIEMOS,54.68,45.32,59431,49250,84.03,133498,112173,1.11,0.07,1.93,1246,83,2163,MENDOZA
347.0,MENDOZA_MALARGÜE,"Malargüe, Mendoza",FRENTE PARA LA VICTORIA,47.83,52.17,8006,8732,77.22,22320,17235,1.8,0.05,1.03,311,8,178,MENDOZA
348.0,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",CAMBIEMOS,57.53,42.47,20227,14935,83.74,43120,36108,1.1,0.08,1.43,398,30,518,MENDOZA
349.0,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",CAMBIEMOS,56.4,43.6,11677,9027,84.27,25142,21187,0.99,0.03,1.26,209,7,267,MENDOZA
350.0,MENDOZA_SAN MARTIN,"San Martin, Mendoza",CAMBIEMOS,52.98,47.02,39219,34809,83.21,91278,75949,0.98,0.06,1.49,742,49,1130,MENDOZA
351.0,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",CAMBIEMOS,50.3,49.7,57201,56527,82.01,142559,116910,1.1,0.07,1.55,1287,80,1815,MENDOZA
352.0,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",FRENTE PARA LA VICTORIA,44.81,55.19,4994,6150,85.77,13182,11306,0.84,0.0,0.59,95,0,67,MENDOZA
353.0,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",CAMBIEMOS,55.39,44.61,17273,13910,83.86,38057,31915,0.88,0.06,1.35,281,19,432,MENDOZA
354.0,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",CAMBIEMOS,53.19,46.81,10270,9038,83.44,23667,19747,0.67,0.09,1.46,133,17,289,MENDOZA
