Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
355.0,MISIONES_25 DE MAYO,"25 De Mayo, Misiones",FRENTE PARA LA VICTORIA,29.71,70.29,4872,11527,79.38,20829,16534,0.66,0.01,0.15,109,1,25,MISIONES
356.0,MISIONES_APOSTOLES,"Apostoles, Misiones",FRENTE PARA LA VICTORIA,43.66,56.34,11179,14424,80.05,32511,26024,0.75,0.0,0.87,194,1,226,MISIONES
357.0,MISIONES_CAINGUAS,"Cainguas, Misiones",FRENTE PARA LA VICTORIA,28.3,71.7,9232,23388,81.65,40661,33201,1.27,0.01,0.47,421,4,156,MISIONES
358.0,MISIONES_CANDELARIA,"Candelaria, Misiones",FRENTE PARA LA VICTORIA,36.34,63.66,6146,10767,79.59,21527,17133,0.55,0.1,0.64,94,17,109,MISIONES
359.0,MISIONES_CAPITAL,"Capital, Misiones",CAMBIEMOS,52.92,47.08,108644,96643,80.12,260261,208523,0.53,0.02,1.0,1096,50,2090,MISIONES
360.0,MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",FRENTE PARA LA VICTORIA,34.85,65.15,1938,3623,78.34,7176,5622,0.75,0.0,0.34,42,0,19,MISIONES
361.0,MISIONES_ELDORADO,"El Dorado, Misiones",FRENTE PARA LA VICTORIA,41.53,58.47,19446,27382,80.96,58887,47677,0.53,0.22,1.03,255,104,490,MISIONES
362.0,MISIONES_GENERAL MANUEL BELGRANO,"Gral. Manuel Belgrano, Misiones",FRENTE PARA LA VICTORIA,27.99,72.01,6510,16750,74.18,31684,23503,0.56,0.02,0.46,131,5,107,MISIONES
363.0,MISIONES_GUARANI,"Guarani, Misiones",FRENTE PARA LA VICTORIA,30.69,69.31,11479,25926,78.69,48184,37916,0.81,0.01,0.53,307,4,200,MISIONES
364.0,MISIONES_IGUAZU,"Iguazu, Misiones",FRENTE PARA LA VICTORIA,43.45,56.55,20991,27323,78.04,62775,48988,0.46,0.01,0.91,225,4,445,MISIONES
365.0,MISIONES_LIBERTADOR GENERAL SAN MARTIN,"L. General San Martin, Misiones",FRENTE PARA LA VICTORIA,44.13,55.87,12270,15535,81.3,34744,28246,1.01,0.02,0.53,285,5,151,MISIONES
366.0,MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",FRENTE PARA LA VICTORIA,39.92,60.08,12217,18388,83.94,37108,31150,0.99,0.04,0.73,308,11,226,MISIONES
367.0,MISIONES_MONTECARLO,"Montecarlo, Misiones",FRENTE PARA LA VICTORIA,42.64,57.36,9013,12123,79.09,26991,21347,0.47,0.01,0.51,100,3,108,MISIONES
368.0,MISIONES_OBERA,"Obera, Misiones",FRENTE PARA LA VICTORIA,39.41,60.59,25505,39215,80.95,81022,65589,0.61,0.01,0.7,402,5,462,MISIONES
369.0,MISIONES_SAN IGNACIO,"San Ignacio, Misiones",FRENTE PARA LA VICTORIA,34.16,65.84,11708,22564,80.06,43257,34630,0.55,0.02,0.46,192,6,160,MISIONES
370.0,MISIONES_SAN JAVIER,"San Javier, Misiones",FRENTE PARA LA VICTORIA,34.16,65.84,4200,8094,77.88,16001,12462,0.67,0.01,0.67,84,1,83,MISIONES
371.0,MISIONES_SAN PEDRO,"San Pedro, Misiones",FRENTE PARA LA VICTORIA,20.77,79.23,2958,11282,78.5,18314,14377,0.78,0.0,0.17,112,0,25,MISIONES
