Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
372.0,NEUQUEN_ALUMINE,"Alumine, Neuquen",FRENTE PARA LA VICTORIA,42.35,57.65,2125,2893,80.86,6453,5218,1.23,0.06,2.55,64,3,133,NEUQUEN
373.0,NEUQUEN_AÑELO,"Añelo, Neuquen",FRENTE PARA LA VICTORIA,35.79,64.21,2808,5038,78.28,10442,8174,1.02,0.0,3.0,83,0,245,NEUQUEN
374.0,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",FRENTE PARA LA VICTORIA,21.32,78.68,256,945,78.8,1566,1234,0.81,0.32,1.54,10,4,19,NEUQUEN
375.0,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",FRENTE PARA LA VICTORIA,40.47,59.53,3859,5677,79.76,12359,9857,1.14,0.03,2.09,112,3,206,NEUQUEN
376.0,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",FRENTE PARA LA VICTORIA,36.72,63.28,1125,1939,80.94,3887,3146,0.64,0.03,1.94,20,1,61,NEUQUEN
377.0,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",FRENTE PARA LA VICTORIA,46.91,53.09,118259,133836,84.83,308798,261938,1.22,0.05,2.49,3188,121,6534,NEUQUEN
378.0,NEUQUEN_HUILICHES,"Huiliches, Neuquen",FRENTE PARA LA VICTORIA,48.24,51.76,4861,5215,81.79,12863,10521,1.37,0.0,2.86,144,0,301,NEUQUEN
379.0,NEUQUEN_LACAR,"Lacar, Neuquen",CAMBIEMOS,58.23,41.77,11326,8123,78.66,25955,20417,1.24,0.02,3.47,254,5,709,NEUQUEN
380.0,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",FRENTE PARA LA VICTORIA,42.55,57.45,1864,2517,83.95,5440,4567,1.18,0.0,2.89,54,0,132,NEUQUEN
381.0,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",CAMBIEMOS,58.01,41.99,4247,3074,77.16,9848,7599,1.17,0.05,2.43,89,4,185,NEUQUEN
382.0,NEUQUEN_MINAS,"Minas, Neuquen",FRENTE PARA LA VICTORIA,34.29,65.71,1753,3360,81.06,6540,5301,1.23,0.02,2.3,65,1,122,NEUQUEN
383.0,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",CAMBIEMOS,52.41,47.59,7781,7065,77.53,19715,15285,0.67,0.03,2.17,103,5,331,NEUQUEN
384.0,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",FRENTE PARA LA VICTORIA,35.55,64.45,1131,2050,84.32,3878,3270,0.52,0.09,2.11,17,3,69,NEUQUEN
385.0,NEUQUEN_PICUNCHES,"Picunches, Neuquen",FRENTE PARA LA VICTORIA,48.62,51.38,2111,2231,80.03,5557,4447,0.9,0.02,1.44,40,1,64,NEUQUEN
386.0,NEUQUEN_ZAPALA,"Zapala, Neuquen",CAMBIEMOS,50.02,49.98,12690,12679,83.6,31336,26196,0.87,0.06,2.23,228,15,584,NEUQUEN
387.0,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",FRENTE PARA LA VICTORIA,34.09,65.91,1154,2231,81.48,4281,3488,1.09,0.0,1.86,38,0,65,NEUQUEN
