Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
388.0,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",FRENTE PARA LA VICTORIA,22.65,77.35,1957,6683,72.91,12073,8803,0.62,0.01,1.22,55,1,107,RIO NEGRO
389.0,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",FRENTE PARA LA VICTORIA,39.69,60.31,15822,24042,79.39,51654,41009,0.83,0.03,1.93,341,13,791,RIO NEGRO
390.0,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",FRENTE PARA LA VICTORIA,36.12,63.88,7795,13783,79.91,27762,22184,0.76,0.0,1.97,168,1,437,RIO NEGRO
391.0,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",FRENTE PARA LA VICTORIA,38.6,61.4,31362,49880,77.43,108491,84009,1.16,0.04,2.1,972,35,1760,RIO NEGRO
392.0,RIO NEGRO_CONESA,"Conesa, Rio Negro",FRENTE PARA LA VICTORIA,36.14,63.86,1497,2645,76.14,5562,4235,0.61,0.0,1.58,26,0,67,RIO NEGRO
393.0,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",FRENTE PARA LA VICTORIA,23.52,76.48,527,1714,75.86,3028,2297,1.31,0.17,0.96,30,4,22,RIO NEGRO
394.0,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",FRENTE PARA LA VICTORIA,37.76,62.24,75843,124988,82.7,250689,207316,0.97,0.03,2.12,2020,61,4404,RIO NEGRO
395.0,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",FRENTE PARA LA VICTORIA,20.34,79.66,434,1700,71.37,3032,2164,0.55,0.0,0.83,12,0,18,RIO NEGRO
396.0,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",FRENTE PARA LA VICTORIA,37.35,62.65,3466,5815,79.78,11950,9534,1.19,0.0,1.47,113,0,140,RIO NEGRO
397.0,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",FRENTE PARA LA VICTORIA,35.87,64.13,1813,3242,78.18,6628,5182,0.75,0.0,1.7,39,0,88,RIO NEGRO
398.0,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",FRENTE PARA LA VICTORIA,32.95,67.05,6356,12936,77.26,25604,19782,1.05,0.01,1.42,207,2,281,RIO NEGRO
399.0,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",FRENTE PARA LA VICTORIA,30.55,69.45,877,1994,71.34,4097,2923,0.55,0.0,1.23,16,0,36,RIO NEGRO
400.0,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",FRENTE PARA LA VICTORIA,14.98,85.02,127,721,65.48,1324,867,1.04,0.0,1.15,9,0,10,RIO NEGRO
