Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,SALTA
,SALTA_RIVADAVIA,"Rivadavia, Salta",,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,SALTA
401.0,SALTA_ANTA,"Anta, Salta",FRENTE PARA LA VICTORIA,33.63,66.37,11290,22278,74.16,45752,33930,0.57,0.08,0.41,194,28,140,SALTA
402.0,SALTA_CACHI,"Cachi, Salta",FRENTE PARA LA VICTORIA,43.81,56.19,2053,2633,73.55,6481,4767,0.73,0.17,0.8,35,8,38,SALTA
403.0,SALTA_CAFAYATE,"Cafayate, Salta",FRENTE PARA LA VICTORIA,33.52,66.48,3065,6079,78.52,11841,9297,0.59,0.14,0.91,55,13,85,SALTA
404.0,SALTA_CAPITAL,"Capital, Salta",CAMBIEMOS,54.27,45.73,172449,145286,80.34,404948,325336,0.87,0.12,1.35,2822,393,4386,SALTA
405.0,SALTA_CERRILLOS,"Cerrillos, Salta",FRENTE PARA LA VICTORIA,47.72,52.28,11315,12398,83.17,29002,24121,0.65,0.21,0.83,156,51,201,SALTA
406.0,SALTA_CHICOANA,"Chicoana, Salta",FRENTE PARA LA VICTORIA,45.99,54.01,6069,7127,81.53,16401,13371,0.51,0.04,0.76,68,6,101,SALTA
407.0,SALTA_GENERAL GUEMES,"General Guemes, Salta",FRENTE PARA LA VICTORIA,38.32,61.68,10789,17364,79.18,36200,28662,0.6,0.06,1.12,171,18,320,SALTA
408.0,SALTA_GUACHIPAS,"Guachipas, Salta",FRENTE PARA LA VICTORIA,48.93,51.07,938,979,80.04,2435,1949,0.87,0.05,0.72,17,1,14,SALTA
409.0,SALTA_IRUYA,"Iruya, Salta",FRENTE PARA LA VICTORIA,24.89,75.11,274,827,73.02,1527,1115,0.27,0.0,0.99,3,0,11,SALTA
410.0,SALTA_LA CALDERA,"La Caldera, Salta",CAMBIEMOS,53.86,46.14,4225,3619,82.62,9681,7998,1.0,0.05,0.88,80,4,70,SALTA
411.0,SALTA_LA CANDELARIA,"La Candelaria, Salta",FRENTE PARA LA VICTORIA,38.35,61.65,1587,2551,79.16,5282,4181,0.5,0.0,0.53,21,0,22,SALTA
412.0,SALTA_LA POMA,"La Poma, Salta",FRENTE PARA LA VICTORIA,38.65,61.35,383,608,74.78,1364,1020,0.88,0.1,1.86,9,1,19,SALTA
413.0,SALTA_LA VIÑA,"La Viña, Salta",FRENTE PARA LA VICTORIA,44.58,55.42,2284,2839,78.11,6661,5203,0.73,0.0,0.81,38,0,42,SALTA
414.0,SALTA_LOS ANDES,"Los Andes, Salta",FRENTE PARA LA VICTORIA,36.44,63.56,1372,2393,74.14,5197,3853,0.93,0.03,1.32,36,1,51,SALTA
415.0,SALTA_METAN,"Metan, Salta",FRENTE PARA LA VICTORIA,47.24,52.76,11432,12767,75.84,32423,24591,0.69,0.04,0.86,170,11,211,SALTA
416.0,SALTA_MOLINOS,"Molinos, Salta",FRENTE PARA LA VICTORIA,34.74,65.26,1112,2089,73.73,4382,3231,0.4,0.0,0.53,13,0,17,SALTA
417.0,SALTA_ORAN,"Oran, Salta",FRENTE PARA LA VICTORIA,41.19,58.81,30606,43691,71.19,106110,75535,0.84,0.06,0.73,636,47,555,SALTA
418.0,SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",FRENTE PARA LA VICTORIA,39.29,60.71,7166,11072,77.34,23985,18550,0.84,0.06,0.79,155,11,146,SALTA
419.0,SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",FRENTE PARA LA VICTORIA,48.67,51.33,11906,12557,80.99,30771,24921,0.59,0.15,1.1,147,37,274,SALTA
420.0,SALTA_SAN CARLOS,"San Carlos, Salta",FRENTE PARA LA VICTORIA,30.45,69.55,1111,2538,73.88,5003,3696,0.62,0.03,0.62,23,1,23,SALTA
421.0,SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",FRENTE PARA LA VICTORIA,27.47,72.53,23518,62105,71.63,121026,86696,0.57,0.07,0.6,494,57,522,SALTA
