Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
422.0,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",FRENTE PARA LA VICTORIA,30.33,69.67,2906,6675,81.36,11870,9657,0.36,0.02,0.4,35,2,39,SAN JUAN
423.0,SAN JUAN_ALBARDON,"Albardon, San Juan",FRENTE PARA LA VICTORIA,32.6,67.4,5248,10852,86.44,18945,16376,0.73,0.07,0.89,119,11,146,SAN JUAN
424.0,SAN JUAN_ANGACO,"Angaco, San Juan",FRENTE PARA LA VICTORIA,36.35,63.65,2049,3588,83.6,6859,5734,0.61,0.1,0.98,35,6,56,SAN JUAN
425.0,SAN JUAN_CALINGASTA,"Calingasta, San Juan",FRENTE PARA LA VICTORIA,32.19,67.81,1818,3829,78.79,7356,5796,0.85,0.0,1.73,49,0,100,SAN JUAN
426.0,SAN JUAN_CAPITAL,"Capital, San Juan",CAMBIEMOS,57.68,42.32,42731,31355,81.23,93083,75614,0.84,0.08,1.1,636,62,830,SAN JUAN
427.0,SAN JUAN_CAUCETE,"Caucete, San Juan",FRENTE PARA LA VICTORIA,37.32,62.68,8225,13814,79.36,28263,22429,0.86,0.09,0.78,194,20,176,SAN JUAN
428.0,SAN JUAN_CHIMBAS,"Chimbas, San Juan",FRENTE PARA LA VICTORIA,31.08,68.92,15291,33914,84.47,59484,50249,0.7,0.09,1.29,352,45,647,SAN JUAN
429.0,SAN JUAN_IGLESIA,"Iglesia, San Juan",FRENTE PARA LA VICTORIA,39.43,60.57,2002,3075,79.31,6516,5168,0.83,0.0,0.93,43,0,48,SAN JUAN
430.0,SAN JUAN_JACHAL,"Jachal, San Juan",FRENTE PARA LA VICTORIA,31.74,68.26,4624,9943,82.46,18059,14892,0.84,0.01,1.33,125,2,198,SAN JUAN
431.0,SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",FRENTE PARA LA VICTORIA,33.45,66.55,2286,4549,84.82,8267,7012,1.57,0.21,0.74,110,15,52,SAN JUAN
432.0,SAN JUAN_POCITO,"Pocito, San Juan",FRENTE PARA LA VICTORIA,29.39,70.61,8738,20993,83.65,36300,30364,0.92,0.04,1.12,280,13,340,SAN JUAN
433.0,SAN JUAN_RAWSON,"Rawson, San Juan",FRENTE PARA LA VICTORIA,37.62,62.38,27297,45255,82.49,89859,74121,0.72,0.06,1.35,530,41,998,SAN JUAN
434.0,SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",FRENTE PARA LA VICTORIA,46.79,53.21,25581,29092,84.3,66201,55806,0.74,0.11,1.19,412,59,662,SAN JUAN
435.0,SAN JUAN_SAN MARTIN,"San Martin, San Juan",FRENTE PARA LA VICTORIA,31.83,68.17,2214,4742,85.3,8279,7062,0.68,0.04,0.78,48,3,55,SAN JUAN
436.0,SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",FRENTE PARA LA VICTORIA,44.63,55.37,14477,17958,83.23,39763,33094,0.75,0.08,1.16,249,25,385,SAN JUAN
437.0,SAN JUAN_SARMIENTO,"Sarmiento, San Juan",FRENTE PARA LA VICTORIA,32.6,67.4,4379,9052,83.9,16270,13651,0.62,0.03,0.96,85,4,131,SAN JUAN
438.0,SAN JUAN_ULLUM,"Ullum, San Juan",FRENTE PARA LA VICTORIA,19.28,80.72,649,2718,87.86,3872,3402,0.47,0.09,0.47,16,3,16,SAN JUAN
439.0,SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",FRENTE PARA LA VICTORIA,34.0,66.0,1573,3053,78.84,5935,4679,0.34,0.0,0.79,16,0,37,SAN JUAN
440.0,SAN JUAN_ZONDA,"Zonda, San Juan",FRENTE PARA LA VICTORIA,26.24,73.76,860,2418,83.81,3983,3338,0.48,0.03,1.29,16,1,43,SAN JUAN
