Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
457.0,SANTA FE_BELGRANO,"Belgrano, Santa Fe",CAMBIEMOS,66.43,33.57,19711,9963,80.65,37827,30508,2.18,0.0,0.55,666,0,168,SANTA FE
458.0,SANTA FE_CASEROS,"Caseros, Santa Fe",CAMBIEMOS,67.24,32.76,37297,18171,80.71,71026,57325,1.89,0.0,1.34,1086,1,770,SANTA FE
459.0,SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",CAMBIEMOS,66.86,33.14,74784,37065,80.09,143375,114822,1.19,0.01,1.39,1371,9,1593,SANTA FE
460.0,SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",CAMBIEMOS,52.52,47.48,30653,27714,81.7,73536,60078,1.71,0.01,1.13,1026,8,677,SANTA FE
461.0,SANTA FE_GARAY,"Garay, Santa Fe",FRENTE PARA LA VICTORIA,48.1,51.9,6303,6801,74.56,17986,13411,1.09,0.01,1.19,146,1,160,SANTA FE
462.0,SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",CAMBIEMOS,62.21,37.79,77965,47355,79.03,162428,128362,1.37,0.0,0.99,1764,6,1272,SANTA FE
463.0,SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",CAMBIEMOS,52.6,47.4,57929,52212,79.03,141389,111733,0.55,0.01,0.86,614,14,964,SANTA FE
464.0,SANTA FE_IRIONDO,"Iriondo, Santa Fe",CAMBIEMOS,57.61,42.39,25352,18652,79.36,57200,45395,2.21,0.01,0.85,1003,3,385,SANTA FE
465.0,SANTA FE_LA CAPITAL,"La Capital, Santa Fe",CAMBIEMOS,53.83,46.17,169489,145369,76.81,423118,324990,1.24,0.04,1.84,4039,118,5975,SANTA FE
466.0,SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",CAMBIEMOS,70.06,29.94,47037,20099,80.99,85119,68934,1.28,0.01,1.32,881,6,911,SANTA FE
467.0,SANTA FE_9 DE JULIO,"Nueve De Julio, Santa Fe",CAMBIEMOS,55.57,44.43,9979,7979,73.46,24760,18189,0.51,0.03,0.74,92,5,134,SANTA FE
468.0,SANTA FE_ROSARIO,"Rosario, Santa Fe",CAMBIEMOS,51.85,48.15,399874,371311,78.61,1020070,801830,1.64,0.03,2.15,13131,276,17238,SANTA FE
469.0,SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",CAMBIEMOS,58.2,41.8,24701,17744,75.83,56947,43181,1.0,0.0,0.71,430,1,305,SANTA FE
470.0,SANTA FE_SAN JAVIER,"San Javier, Santa Fe",CAMBIEMOS,50.68,49.32,9687,9426,76.09,25667,19529,0.93,0.01,1.19,182,1,233,SANTA FE
471.0,SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",CAMBIEMOS,55.53,44.47,28563,22871,78.49,67202,52747,1.46,0.02,1.02,768,9,536,SANTA FE
472.0,SANTA FE_SAN JUSTO,"San Justo, Santa Fe",CAMBIEMOS,61.8,38.2,16484,10187,77.01,35404,27266,1.12,0.01,1.05,305,3,287,SANTA FE
473.0,SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",CAMBIEMOS,53.37,46.63,58070,50738,81.22,138235,112277,1.49,0.02,1.58,1674,25,1770,SANTA FE
474.0,SANTA FE_SAN MARTIN,"San Martin, Santa Fe",CAMBIEMOS,66.22,33.78,26960,13751,79.21,52801,41824,1.26,0.0,1.4,529,0,584,SANTA FE
475.0,SANTA FE_VERA,"Vera, Santa Fe",CAMBIEMOS,50.22,49.78,15640,15502,73.61,42927,31599,0.71,0.01,0.72,224,4,229,SANTA FE
