Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
476.0,SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",FRENTE PARA LA VICTORIA,45.14,54.86,2403,2920,81.12,6599,5353,0.34,0.0,0.22,18,0,12,SANTIAGO DEL ESTERO
477.0,SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",FRENTE PARA LA VICTORIA,15.81,84.19,1487,7921,78.3,12060,9443,0.26,0.0,0.11,25,0,10,SANTIAGO DEL ESTERO
478.0,SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",FRENTE PARA LA VICTORIA,12.53,87.47,917,6399,77.9,9465,7373,0.43,0.01,0.33,32,1,24,SANTIAGO DEL ESTERO
479.0,SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",FRENTE PARA LA VICTORIA,17.53,82.47,2306,10851,77.93,16967,13222,0.37,0.0,0.12,49,0,16,SANTIAGO DEL ESTERO
480.0,SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",FRENTE PARA LA VICTORIA,30.03,69.97,27267,63524,81.0,113661,92060,0.59,0.04,0.75,546,36,687,SANTIAGO DEL ESTERO
481.0,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",FRENTE PARA LA VICTORIA,48.65,51.35,2952,3116,82.55,7417,6123,0.49,0.0,0.41,30,0,25,SANTIAGO DEL ESTERO
482.0,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",FRENTE PARA LA VICTORIA,36.65,63.35,66424,114803,83.05,221647,184077,0.65,0.03,0.87,1194,60,1596,SANTIAGO DEL ESTERO
483.0,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",FRENTE PARA LA VICTORIA,25.7,74.3,5865,16956,79.15,29292,23186,0.72,0.03,0.83,166,7,192,SANTIAGO DEL ESTERO
484.0,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",FRENTE PARA LA VICTORIA,17.11,82.89,2646,12816,77.26,20156,15572,0.45,0.0,0.26,70,0,40,SANTIAGO DEL ESTERO
485.0,SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",FRENTE PARA LA VICTORIA,9.73,90.27,935,8677,73.89,13064,9653,0.19,0.03,0.21,18,3,20,SANTIAGO DEL ESTERO
486.0,SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",FRENTE PARA LA VICTORIA,14.3,85.7,745,4464,80.61,6512,5249,0.4,0.08,0.29,21,4,15,SANTIAGO DEL ESTERO
487.0,SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",FRENTE PARA LA VICTORIA,13.26,86.74,1133,7412,76.6,11218,8593,0.34,0.02,0.2,29,2,17,SANTIAGO DEL ESTERO
488.0,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",FRENTE PARA LA VICTORIA,18.68,81.32,1772,7713,78.63,12153,9556,0.48,0.05,0.21,46,5,20,SANTIAGO DEL ESTERO
489.0,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",FRENTE PARA LA VICTORIA,25.76,74.24,3263,9405,77.5,16519,12802,0.52,0.0,0.53,66,0,68,SANTIAGO DEL ESTERO
490.0,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",FRENTE PARA LA VICTORIA,37.8,62.2,316,520,72.84,1160,845,0.71,0.0,0.36,6,0,3,SANTIAGO DEL ESTERO
491.0,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",FRENTE PARA LA VICTORIA,22.98,77.02,4445,14895,78.8,24731,19488,0.46,0.02,0.29,89,3,56,SANTIAGO DEL ESTERO
492.0,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",FRENTE PARA LA VICTORIA,25.92,74.08,2527,7221,78.1,12600,9841,0.4,0.0,0.55,39,0,54,SANTIAGO DEL ESTERO
493.0,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",FRENTE PARA LA VICTORIA,16.51,83.49,2065,10442,78.04,16087,12554,0.14,0.04,0.2,17,5,25,SANTIAGO DEL ESTERO
494.0,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",FRENTE PARA LA VICTORIA,29.46,70.54,1736,4157,75.35,7915,5964,0.7,0.0,0.49,42,0,29,SANTIAGO DEL ESTERO
495.0,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",FRENTE PARA LA VICTORIA,18.94,81.06,6429,27523,78.28,43960,34412,0.5,0.04,0.8,172,13,275,SANTIAGO DEL ESTERO
496.0,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",CAMBIEMOS,51.97,48.03,1674,1547,81.93,3963,3247,0.65,0.06,0.09,21,2,3,SANTIAGO DEL ESTERO
497.0,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",FRENTE PARA LA VICTORIA,24.15,75.85,6617,20784,79.4,34867,27684,0.58,0.01,0.43,161,2,120,SANTIAGO DEL ESTERO
498.0,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",FRENTE PARA LA VICTORIA,14.98,85.02,902,5119,73.2,8288,6067,0.46,0.0,0.3,28,0,18,SANTIAGO DEL ESTERO
499.0,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",FRENTE PARA LA VICTORIA,12.78,87.22,683,4660,77.76,6896,5362,0.19,0.0,0.17,10,0,9,SANTIAGO DEL ESTERO
500.0,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",FRENTE PARA LA VICTORIA,15.81,84.19,368,1960,77.31,3041,2351,0.81,0.0,0.17,19,0,4,SANTIAGO DEL ESTERO
501.0,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",FRENTE PARA LA VICTORIA,13.47,86.53,700,4496,77.53,6756,5238,0.61,0.0,0.19,32,0,10,SANTIAGO DEL ESTERO
502.0,SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",FRENTE PARA LA VICTORIA,24.61,75.39,6165,18888,81.16,31184,25310,0.59,0.03,0.4,149,8,100,SANTIAGO DEL ESTERO
