Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
506.0,TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",FRENTE PARA LA VICTORIA,35.65,64.35,6977,12592,83.26,23747,19772,0.34,0.04,0.65,67,7,129,TUCUMAN
507.0,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",FRENTE PARA LA VICTORIA,23.96,76.04,6321,20059,82.23,32349,26600,0.38,0.03,0.42,100,8,112,TUCUMAN
508.0,TUCUMAN_CAPITAL,"Capital, Tucuman",CAMBIEMOS,52.25,47.75,183504,167721,81.84,438056,358500,0.88,0.08,1.08,3146,272,3857,TUCUMAN
509.0,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",FRENTE PARA LA VICTORIA,36.04,63.96,18869,33488,84.45,62769,53009,0.4,0.05,0.78,211,26,415,TUCUMAN
510.0,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",FRENTE PARA LA VICTORIA,32.16,67.84,39351,83022,84.63,146500,123978,0.55,0.07,0.68,677,83,845,TUCUMAN
511.0,TUCUMAN_FAMAILLA,"Famailla, Tucuman",FRENTE PARA LA VICTORIA,32.69,67.31,7215,14853,81.02,27736,22471,0.84,0.08,0.88,189,17,197,TUCUMAN
512.0,TUCUMAN_GRANEROS,"Graneros, Tucuman",FRENTE PARA LA VICTORIA,21.17,78.83,1911,7114,82.41,11018,9080,0.41,0.01,0.19,37,1,17,TUCUMAN
513.0,TUCUMAN_LA COCHA,"La Cocha, Tucuman",FRENTE PARA LA VICTORIA,30.71,69.29,3919,8843,84.87,15189,12891,0.26,0.03,0.71,34,4,91,TUCUMAN
514.0,TUCUMAN_LEALES,"Leales, Tucuman",FRENTE PARA LA VICTORIA,26.72,73.28,10083,27659,84.34,45258,38170,0.41,0.04,0.68,155,14,259,TUCUMAN
515.0,TUCUMAN_LULES,"Lules, Tucuman",FRENTE PARA LA VICTORIA,40.33,59.67,16441,24324,84.98,48711,41397,0.53,0.04,0.96,220,16,396,TUCUMAN
516.0,TUCUMAN_MONTEROS,"Monteros, Tucuman",FRENTE PARA LA VICTORIA,27.96,72.04,12035,31005,85.09,50997,43394,0.35,0.05,0.41,152,23,179,TUCUMAN
517.0,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",FRENTE PARA LA VICTORIA,29.11,70.89,11277,27461,85.09,45942,39093,0.39,0.04,0.48,153,16,186,TUCUMAN
518.0,TUCUMAN_SIMOCA,"Simoca, Tucuman",FRENTE PARA LA VICTORIA,25.51,74.49,5643,16474,82.64,26944,22266,0.26,0.02,0.38,59,5,85,TUCUMAN
519.0,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",FRENTE PARA LA VICTORIA,27.07,72.93,2803,7553,82.45,12777,10534,0.69,0.03,0.97,73,3,102,TUCUMAN
520.0,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",FRENTE PARA LA VICTORIA,42.76,57.24,35897,48051,85.02,100777,85683,0.73,0.1,1.19,628,85,1022,TUCUMAN
521.0,TUCUMAN_TRANCAS,"Trancas, Tucuman",FRENTE PARA LA VICTORIA,35.58,64.42,3964,7176,81.98,13816,11327,0.41,0.04,1.2,47,4,136,TUCUMAN
522.0,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",CAMBIEMOS,55.43,44.57,31349,25207,86.16,66767,57527,0.65,0.02,1.01,376,12,583,TUCUMAN
