id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA CAMBIEMOS,50.58,0.85,1.28,28,2.42,16.86,5093,86,129,2820,244,1698,79.26,13189,10454,3.47,0,0.2,363,0,21
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA CAMBIEMOS,42.36,0.83,1.59,38,1.97,15.25,3120,61,117,2799,145,1123,85.72,8859,7594,2.96,0.01,0.04,225,1,3
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.44,1.02,4.68,42.96,2.89,22.01,85736,3317,15167,139341,9388,71369,79.79,419609,334826,2.3,0.07,0.77,7691,233,2584
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA CAMBIEMOS,39.83,0.96,1.58,33.9,2.83,20.9,7825,189,310,6659,555,4106,84.61,24018,20322,3.12,0.01,0.2,635,2,41
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.08,0.75,4.29,39.08,3.29,19.51,72078,1634,9351,85151,7161,42503,76.86,289664,222642,1.63,0.06,0.45,3632,135,997
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA CAMBIEMOS,43.75,1.19,2.9,33.33,2.56,16.26,5383,147,357,4101,315,2001,83.6,15595,13037,5.23,0.08,0.31,682,10,41
BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA CAMBIEMOS,39.11,0.99,2.45,31.22,5.43,20.8,15948,404,997,12730,2214,8481,78.84,53978,42558,3.32,0.02,0.85,1411,10,363
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA CAMBIEMOS,45.12,1.31,4.84,23.96,4.68,20.08,79469,2316,8527,42199,8247,35369,77.25,235463,181891,2.15,0.06,0.96,3908,104,1752
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA CAMBIEMOS,46.67,1.49,1.86,26.17,1.61,22.2,13209,423,526,7408,455,6283,81.85,35567,29110,2.36,0.01,0.4,686,4,116
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.24,0.9,2.78,38.6,1.56,22.92,6994,189,584,8121,328,4823,82.69,26387,21819,3.07,0.02,0.49,670,4,106
