id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.9,0.75,4.26,26.4,4.0,13.69,64042,944,5362,33224,5032,17227,72.07,177581,127987,1.04,0.03,0.61,1330,44,782,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.85,0.9,4.63,24.32,5.32,18.97,54657,1077,5521,28989,6340,22613,81.23,149400,121356,1.13,0.01,0.64,1372,12,775,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.33,0.72,4.15,22.64,5.59,16.57,69511,994,5736,31277,7717,22887,81.3,172852,140533,1.08,0.02,0.62,1515,31,865,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,52.8,0.64,4.21,22.23,5.61,14.51,79573,967,6340,33512,8461,21867,81.96,186939,153213,1.06,0.02,0.55,1625,30,838,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,64.19,0.51,3.34,16.25,5.57,10.15,108146,851,5627,27379,9382,17104,78.67,217133,170820,0.91,0.03,0.43,1553,45,733,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,63.77,0.45,3.27,17.44,5.35,9.72,101461,722,5201,27749,8515,15463,76.98,209538,161308,0.88,0.03,0.45,1423,43,731,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.75,0.69,5.32,26.52,6.26,15.46,58425,883,6792,33868,7990,19746,78.67,165594,130269,1.23,0.02,0.72,1601,26,938,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,69.39,0.44,2.65,14.28,4.53,8.71,74463,470,2843,15324,4862,9345,74.61,145461,108535,0.69,0.04,0.41,749,39,440,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.25,0.85,5.12,27.09,4.87,16.83,54513,1023,6168,32631,5862,20276,74.86,163967,122747,1.14,0.04,0.68,1395,43,836,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,41.63,0.84,4.78,31.71,3.76,17.29,56567,1146,6491,43089,5110,23489,78.4,176724,138553,1.15,0.04,0.73,1599,50,1012,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.51,0.74,5.45,26.45,6.0,15.86,55601,900,6654,32314,7331,19383,78.98,157450,124353,1.12,0.03,0.6,1394,34,742,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,51.54,0.59,4.73,22.21,6.37,14.56,66087,754,6071,28479,8169,18665,80.86,161249,130378,1.11,0.02,0.52,1445,25,683,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.48,0.81,4.57,26.05,5.08,18.02,60598,1083,6084,34708,6772,24008,79.07,171726,135790,1.15,0.08,0.64,1559,109,869,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,35.99,0.97,3.89,35.17,2.93,21.04,38600,1041,4176,37714,3144,22568,79.3,137805,109277,1.1,0.02,0.73,1204,27,803,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,41.76,1.0,4.19,27.42,4.33,21.3,48582,1164,4878,31898,5036,24774,81.24,145763,118412,1.12,0.03,0.61,1321,37,722,CIUDAD AUTONOMA DE BUENOS AIRES
