id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,26.45,0.57,0.66,57.64,0.87,13.81,883,19,22,1924,29,461,81.81,4465,3653,8.38,0.11,0.14,306,4,5,CATAMARCA
CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,42.86,0.21,0.05,51.97,0.67,4.24,828,4,1,1004,13,82,83.0,2464,2045,4.65,0.15,0.73,95,3,15,CATAMARCA
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.81,0.76,1.72,47.64,0.76,9.3,3868,74,167,4629,74,904,79.29,13266,10518,6.99,0.03,0.61,735,3,64,CATAMARCA
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.99,0.33,0.33,47.44,0.11,5.79,413,3,3,426,1,52,78.4,1199,940,4.26,0.0,0.21,40,0,2,CATAMARCA
CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,38.9,0.49,0.85,50.99,0.49,8.28,5983,75,131,7841,76,1273,80.37,20120,16170,4.3,0.05,0.54,695,8,88,CATAMARCA
CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,32.02,0.73,0.89,49.38,0.65,16.33,2691,61,75,4150,55,1372,77.63,11325,8792,3.29,0.56,0.57,289,49,50,CATAMARCA
CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.41,1.25,2.47,38.04,1.37,21.46,28463,1005,1988,30579,1104,17247,75.63,111073,84006,3.24,0.15,0.92,2718,126,776,CATAMARCA
CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,33.98,0.56,0.51,55.47,0.86,8.62,792,13,12,1293,20,201,83.84,2965,2486,6.07,0.04,0.12,151,1,3,CATAMARCA
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.25,0.85,0.31,43.51,1.24,14.84,2306,50,18,2556,73,872,81.31,7700,6261,5.05,0.24,0.88,316,15,55,CATAMARCA
CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,31.34,2.75,1.3,53.97,0.54,10.09,1445,127,60,2488,25,465,59.38,8287,4921,5.69,0.14,0.49,280,7,24,CATAMARCA
CATAMARCA_PACLIN,"Paclin, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.77,0.43,0.04,48.89,0.83,4.03,1158,11,1,1237,21,102,81.52,3312,2700,5.96,0.07,0.26,161,2,7,CATAMARCA
CATAMARCA_POMAN,"Poman, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.36,0.33,0.91,55.48,0.58,7.34,2067,19,53,3243,34,429,84.17,7238,6092,3.51,0.08,0.46,214,5,28,CATAMARCA
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,30.63,1.1,1.68,47.09,2.84,16.66,4352,156,239,6691,404,2367,80.63,18822,15177,5.59,0.08,0.71,848,12,108,CATAMARCA
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,22.05,0.79,0.82,66.48,0.76,9.09,1444,52,54,4354,50,595,79.43,8728,6933,5.02,0.04,0.48,348,3,33,CATAMARCA
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.23,1.67,0.8,48.54,0.43,9.33,4327,184,88,5354,47,1029,75.88,15258,11578,3.94,0.29,0.52,456,33,60,CATAMARCA
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,36.73,0.7,1.49,44.31,0.86,15.92,5509,105,223,6645,129,2387,76.85,20740,15939,5.03,0.15,0.73,801,24,116,CATAMARCA
