id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA CAMBIEMOS,46.38,3.65,2.87,23.96,1.97,21.17,16855,1328,1043,8707,717,7695,80.16,46342,37149,1.22,0.02,0.92,455,7,342,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA CAMBIEMOS,60.05,1.64,4.54,16.74,1.9,15.12,492124,13452,37219,137192,15551,123923,78.94,1062470,838709,1.29,0.05,0.95,10817,427,8004,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",ALIANZA CAMBIEMOS,58.65,1.79,3.4,16.39,1.61,18.16,93406,2854,5408,26099,2570,28912,79.74,205249,163656,1.66,0.03,1.0,2716,54,1637,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,33.15,1.63,2.02,39.03,1.34,22.83,10660,525,648,12548,431,7341,73.96,44326,32782,1.31,0.03,0.58,428,11,190,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA CAMBIEMOS,45.14,5.31,1.11,21.69,1.54,25.21,9916,1166,244,4764,338,5537,78.78,28211,22226,0.9,0.0,0.27,200,1,60,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA CAMBIEMOS,44.67,2.11,2.71,29.1,2.21,19.2,39005,1845,2366,25414,1926,16766,80.18,110649,88720,0.89,0.03,0.65,790,29,579,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA CAMBIEMOS,39.96,1.72,1.95,29.51,1.56,25.31,8065,347,394,5955,314,5108,76.95,26771,20599,1.27,0.01,0.73,262,3,151,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA CAMBIEMOS,46.45,3.62,1.7,19.36,1.61,27.27,18961,1478,693,7904,657,11131,81.31,51116,41560,1.16,0.01,0.59,483,6,247,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA CAMBIEMOS,46.95,1.9,1.81,19.84,1.8,27.69,32392,1310,1251,13687,1245,19104,81.1,86461,70121,1.24,0.01,0.36,871,8,253,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,28.66,1.8,1.46,36.58,0.97,30.52,941,59,48,1201,32,1002,71.83,4683,3364,1.84,0.0,0.56,62,0,19,CORDOBA
