id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.69,0.48,0.86,56.89,0.94,16.16,5808,112,202,13384,220,3802,80.24,29769,23888,1.0,0.03,0.47,240,7,113,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,25.32,0.05,0.05,66.99,0.6,6.98,468,1,1,1238,11,129,81.75,2269,1855,0.22,0.0,0.16,4,0,3,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,37.77,0.51,1.48,41.81,1.37,17.06,84205,1126,3290,93217,3058,38037,81.18,281230,228310,1.5,0.06,0.8,3417,136,1824,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.87,0.6,0.64,58.77,0.75,12.36,3254,73,77,7116,91,1497,75.97,16182,12294,0.98,0.0,0.54,120,0,66,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.0,0.64,1.29,50.63,1.04,14.41,8558,170,344,13538,278,3853,75.77,36003,27280,1.35,0.08,0.54,369,23,147,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.42,0.14,0.44,48.74,0.84,17.42,2976,13,40,4474,77,1599,75.77,12372,9374,1.18,0.06,0.83,111,6,78,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.89,0.6,0.93,54.49,0.85,14.24,5706,119,184,10761,168,2812,72.94,27502,20059,1.05,0.01,0.47,211,3,95,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.24,0.46,0.5,56.84,0.5,17.46,1158,22,24,2716,24,834,71.26,6837,4872,1.25,0.0,0.68,61,0,33,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.66,0.53,0.79,56.93,0.52,11.58,2925,52,78,5615,51,1142,75.09,13318,10000,0.87,0.13,0.37,87,13,37,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.41,0.33,0.76,60.32,1.0,13.18,13370,182,417,33038,547,7221,77.09,72623,55986,1.46,0.05,0.66,817,26,368,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,33.04,0.19,0.58,56.12,0.75,9.32,2035,12,36,3457,46,574,73.65,8449,6223,0.58,0.0,0.43,36,0,27,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.06,0.55,1.04,51.9,0.93,17.53,5696,111,211,10537,188,3558,78.37,26579,20831,1.5,0.07,0.97,313,14,203,CORRIENTES
CORRIENTES_LAVALLE,"Lavalle, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.35,0.34,0.39,66.86,0.62,7.44,4413,61,71,12115,112,1348,78.72,23434,18447,1.17,0.03,0.57,216,5,106,CORRIENTES
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.69,0.29,0.47,59.4,0.35,10.8,1884,19,31,3900,23,709,78.57,8445,6635,0.72,0.05,0.27,48,3,18,CORRIENTES
CORRIENTES_MERCEDES,"Mercedes, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,33.68,0.48,1.08,52.35,1.09,11.32,8677,123,279,13487,281,2917,77.99,33976,26499,2.3,0.04,0.44,609,10,116,CORRIENTES
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,30.85,0.72,1.08,45.35,1.09,20.91,6685,155,233,9827,237,4530,76.36,28886,22056,1.43,0.0,0.33,316,0,73,CORRIENTES
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.83,0.9,1.23,53.27,1.0,16.78,7866,264,362,15619,292,4919,73.87,40393,29840,1.16,0.02,0.56,345,7,166,CORRIENTES
CORRIENTES_SALADAS,"Saladas, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,25.28,0.44,0.57,59.5,0.77,13.44,3500,61,79,8236,107,1860,80.61,17512,14117,1.35,0.03,0.57,190,4,80,CORRIENTES
CORRIENTES_SAN COSME,"San Cosme, Corrientes",ALIANZA CAMBIEMOS,42.0,0.55,0.93,41.43,0.87,14.22,4541,59,101,4479,94,1537,78.46,13989,10976,0.97,0.04,0.5,106,4,55,CORRIENTES
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.43,0.46,0.73,58.83,0.65,14.9,2851,54,85,6864,76,1738,76.36,15502,11837,0.99,0.01,0.43,117,1,51,CORRIENTES
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,31.4,0.61,0.64,53.7,0.68,12.96,2204,43,45,3769,48,910,69.92,10192,7126,1.19,0.08,0.22,85,6,16,CORRIENTES
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.11,0.46,0.73,64.79,0.61,9.31,1628,31,49,4375,41,629,79.2,8707,6896,1.67,0.0,0.41,115,0,28,CORRIENTES
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,22.06,0.28,0.69,67.88,0.41,8.68,2655,34,83,8169,49,1045,75.57,16121,12182,0.76,0.02,0.42,93,3,51,CORRIENTES
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,31.27,1.16,1.32,48.05,1.06,17.13,11426,424,483,17558,389,6261,78.19,47802,37374,1.52,0.02,0.69,568,6,259,CORRIENTES
CORRIENTES_SAUCE,"Sauce, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.89,0.36,0.76,56.61,0.54,11.84,1656,20,42,3137,30,656,75.11,7485,5622,1.03,0.0,0.41,58,0,23,CORRIENTES
