id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,34.15,1.02,1.95,36.71,2.0,24.17,12760,382,730,13715,746,9032,84.08,47536,39969,5.81,0.04,0.67,2324,14,266,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,28.43,0.96,1.93,45.6,1.54,21.54,29532,993,2000,47364,1600,22374,84.01,129563,108849,3.66,0.04,0.89,3979,42,965,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA CAMBIEMOS,45.8,1.11,1.49,33.41,1.59,16.6,13418,325,436,9786,467,4862,81.33,37472,30477,3.26,0.04,0.58,994,13,176,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA CAMBIEMOS,47.88,0.69,1.26,37.65,0.99,11.52,21081,302,556,16576,438,5074,86.3,53189,45900,3.4,0.06,0.62,1561,26,286,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,38.38,0.5,1.57,50.36,1.01,8.17,6781,89,278,8898,179,1443,85.64,21850,18712,5.08,0.11,0.38,951,21,72,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,23.13,1.29,1.32,51.5,0.61,22.15,2102,117,120,4679,55,2013,81.91,11628,9525,3.88,0.03,0.69,370,3,66,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA CAMBIEMOS,43.1,1.17,1.91,33.33,1.52,18.97,14408,392,639,11142,508,6341,82.94,42265,35054,3.95,0.01,0.67,1385,5,234,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA CAMBIEMOS,37.97,1.17,2.08,32.99,2.61,23.18,28305,875,1549,24589,1945,17282,85.81,90220,77414,2.97,0.05,0.68,2297,42,530,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,33.27,0.66,0.97,49.86,0.83,14.41,2840,56,83,4256,71,1230,85.41,10390,8874,3.31,0.03,0.46,294,3,41,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,37.36,0.72,0.94,47.65,0.96,12.37,15028,290,377,19168,385,4976,82.78,50996,42215,3.96,0.08,0.68,1672,33,286,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",ALIANZA CAMBIEMOS,38.11,0.76,0.97,36.06,1.27,22.84,8559,170,218,8099,286,5129,85.54,28114,24048,6.19,0.07,0.34,1489,17,81,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",ALIANZA CAMBIEMOS,41.45,1.05,1.9,33.27,3.21,19.12,83714,2112,3844,67191,6486,38618,84.21,249883,210437,3.08,0.06,0.89,6478,121,1873,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,35.19,0.93,1.2,40.38,1.25,21.04,3920,104,134,4498,139,2344,86.44,13816,11942,5.94,0.07,0.72,709,8,86,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",ALIANZA CAMBIEMOS,41.03,1.08,1.43,37.53,1.55,17.38,6847,181,238,6263,259,2900,83.91,21104,17709,5.13,0.03,0.6,909,5,107,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,35.79,1.15,2.51,36.12,2.73,21.7,21752,696,1528,21956,1661,13192,84.53,75057,63447,3.33,0.05,0.81,2114,34,514,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",ALIANZA CAMBIEMOS,45.53,0.81,1.07,38.41,1.77,12.4,9646,172,227,8137,376,2627,85.7,25907,22203,3.94,0.05,0.6,875,10,133,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.59,0.66,1.7,34.03,1.15,37.86,7011,188,485,9703,329,10795,81.87,36372,29779,3.56,0.04,0.65,1061,13,194,ENTRE RIOS
