id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
JUJUY_COCHINOCA,"Cochinoca, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.09,0.36,1.37,42.05,0.73,46.4,609,24,92,2818,49,3110,79.88,8991,7182,5.95,0.07,0.67,427,5,48,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),15.6,0.4,1.42,36.82,0.46,45.3,7800,202,709,18412,232,22654,86.58,60764,52609,4.03,0.11,0.81,2120,56,424,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.11,0.69,3.87,31.75,1.08,39.49,34866,1048,5835,47909,1636,59577,83.1,191425,159074,4.07,0.14,0.94,6479,227,1497,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.54,0.6,1.69,41.9,0.95,45.33,958,60,170,4209,95,4553,78.66,13802,10856,6.48,0.05,0.94,704,5,102,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),12.52,0.44,1.55,41.99,0.35,43.15,5085,178,631,17052,141,17522,81.87,51987,42560,3.69,0.11,0.78,1572,45,334,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),16.44,0.34,2.79,31.16,0.76,48.5,5248,110,892,9949,243,15484,86.19,38983,33601,4.17,0.03,0.79,1401,10,264,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,6.16,0.25,0.75,60.5,0.25,32.08,49,2,6,481,2,255,73.67,1185,873,7.56,0.23,1.15,66,2,10,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,14.92,0.51,1.11,49.81,0.54,33.11,470,16,35,1569,17,1043,86.47,3761,3252,1.94,0.77,0.43,63,25,14,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,15.36,0.27,1.09,43.68,0.5,39.1,6963,122,492,19801,225,17725,83.71,56021,46896,2.55,0.11,0.68,1197,52,319,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,10.59,0.4,0.36,56.15,0.41,32.09,922,35,31,4890,36,2795,84.12,10740,9035,2.63,0.4,0.58,238,36,52,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,3.91,0.0,0.37,55.06,0.28,40.38,85,0,8,1196,6,877,79.21,2853,2260,3.27,0.27,0.35,74,6,8,JUJUY
JUJUY_SUSQUES,"Susques, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,10.38,1.33,0.46,61.91,1.8,24.12,179,23,8,1068,31,416,84.83,2189,1857,6.25,0.43,0.43,116,8,8,JUJUY
JUJUY_TILCARA,"Tilcara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,10.11,0.26,1.68,47.89,1.03,39.02,727,19,121,3444,74,2806,83.36,9102,7587,4.34,0.29,0.59,329,22,45,JUJUY
JUJUY_TUMBAYA,"Tumbaya, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,11.3,0.18,1.27,52.82,1.08,33.35,375,6,42,1753,36,1107,85.72,4055,3476,3.86,0.23,0.43,134,8,15,JUJUY
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,36.18,0.0,0.0,50.14,0.28,13.39,127,0,0,176,1,47,86.47,414,358,0.0,0.28,1.68,0,1,6,JUJUY
JUJUY_YAVI,"Yavi, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.55,0.29,1.36,43.88,0.53,44.38,1046,32,149,4805,58,4860,76.4,15921,12164,8.43,0.18,1.37,1025,22,167,JUJUY
