id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA CAMBIEMOS,41.48,1.17,1.44,37.67,2.77,15.46,3113,88,108,2827,208,1160,86.69,9156,7937,4.88,0.04,0.54,387,3,43,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,15.98,0.72,1.8,61.13,4.22,16.16,178,8,20,681,47,180,85.57,1379,1180,4.75,0.0,0.85,56,0,10,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,31.94,1.66,3.8,37.94,3.69,20.97,21388,1112,2544,25405,2468,14041,79.2,89325,70746,4.21,0.08,1.06,2981,59,748,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,38.29,1.45,1.25,41.68,0.79,16.55,1900,72,62,2068,39,821,87.11,6043,5264,5.0,0.27,0.47,263,14,25,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,14.72,2.31,1.41,62.21,1.03,18.32,229,36,22,968,16,285,85.0,2106,1790,12.12,0.22,0.73,217,4,13,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA CAMBIEMOS,40.56,1.79,1.25,36.13,1.73,18.53,3142,139,97,2799,134,1435,86.02,9773,8407,6.76,0.02,1.08,568,2,91,LA PAMPA
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.12,1.54,1.43,62.24,0.33,17.34,156,14,13,567,3,158,83.53,1202,1004,9.16,0.0,0.1,92,0,1,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,36.08,1.35,1.34,42.79,1.46,16.98,3682,138,137,4367,149,1733,84.57,12715,10753,4.47,0.01,0.6,481,1,65,LA PAMPA
LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,16.49,0.31,0.77,57.47,0.31,24.65,107,2,5,373,2,160,87.88,784,689,3.92,0.87,1.02,27,6,7,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA CAMBIEMOS,50.8,0.92,1.54,26.77,1.64,18.33,2937,53,89,1548,95,1060,81.31,7449,6057,4.49,0.0,0.05,272,0,3,LA PAMPA
LA PAMPA_HUCAL,"Hucal, La Pampa",ALIANZA CAMBIEMOS,40.5,0.9,1.47,32.24,1.89,23.01,2255,50,82,1795,105,1281,84.04,6987,5872,4.67,0.09,0.43,274,5,25,LA PAMPA
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,36.19,0.0,0.48,55.71,0.0,7.62,76,0,1,117,0,16,86.8,250,217,3.23,0.0,0.0,7,0,0,LA PAMPA
LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,26.51,1.73,0.29,54.18,0.29,17.0,92,6,1,188,1,59,79.13,460,364,4.67,0.0,0.0,17,0,0,LA PAMPA
LA PAMPA_LOVENTUE,"Loventue, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,28.28,1.42,1.83,46.92,1.62,19.93,1637,82,106,2716,94,1154,87.25,7312,6380,8.29,0.14,0.83,529,9,53,LA PAMPA
LA PAMPA_MARACO,"Maraco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,29.25,2.58,2.64,33.94,3.02,28.56,11049,974,999,12822,1141,10789,81.79,49311,40331,5.23,0.14,0.97,2109,57,391,LA PAMPA
