id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,29.12,1.56,1.08,45.62,0.74,21.88,2352,126,87,3685,60,1767,73.68,11295,8322,2.08,0.1,0.77,173,8,64,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",ALIANZA CAMBIEMOS,35.28,3.38,1.91,31.35,1.25,26.83,37897,3628,2052,33674,1343,28818,79.19,139981,110846,2.16,0.05,0.88,2398,58,978,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.12,1.27,1.33,48.88,0.47,23.94,819,43,45,1660,16,813,79.17,4387,3473,1.73,0.0,0.49,60,0,17,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,30.33,3.75,1.01,38.62,1.03,25.25,2484,307,83,3163,84,2068,74.55,11314,8435,2.3,0.0,0.62,194,0,52,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",ALIANZA CAMBIEMOS,34.56,3.24,2.08,31.14,1.21,27.77,9619,901,578,8669,338,7731,78.13,36876,28810,2.74,0.03,0.61,789,9,176,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,15.49,1.73,1.63,41.49,0.97,38.69,637,71,67,1706,40,1591,83.25,5099,4245,2.73,0.14,0.26,116,6,11,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,27.55,2.22,1.42,44.85,1.03,22.92,1761,142,91,2867,66,1465,76.69,8699,6671,3.7,0.07,0.4,247,5,27,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.01,3.06,0.6,54.92,0.84,22.57,300,51,10,915,14,376,68.99,2486,1715,2.57,0.0,0.29,44,0,5,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,29.81,3.5,0.94,38.39,0.76,26.59,1296,152,41,1669,33,1156,70.04,6412,4491,2.87,0.0,0.33,129,0,15,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.71,0.46,0.62,55.37,0.39,19.46,307,6,8,717,5,252,79.99,1664,1331,2.4,0.0,0.3,32,0,4,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,15.28,3.38,0.54,59.19,0.45,21.17,651,144,23,2522,19,902,73.68,5890,4340,1.43,0.0,0.39,62,0,17,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.45,4.63,0.61,54.64,0.86,14.81,682,129,17,1524,24,413,73.52,3897,2865,2.06,0.0,0.59,59,0,17,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.93,2.97,1.28,58.77,1.11,16.95,325,51,22,1009,19,291,81.4,2301,1873,8.22,0.0,0.11,154,0,2,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,20.08,4.25,0.76,52.67,0.56,21.68,501,106,19,1314,14,541,75.2,3428,2578,2.91,0.12,0.19,75,3,5,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,20.03,7.53,1.87,48.3,0.82,21.45,1683,633,157,4058,69,1802,72.16,12032,8682,2.48,0.1,0.65,215,9,56,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.61,1.75,0.87,45.42,0.51,27.84,513,38,19,987,11,605,77.32,2893,2237,2.37,0.04,0.45,53,1,10,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,25.15,1.82,1.4,41.03,1.07,29.53,540,39,30,881,23,634,81.18,2721,2209,1.9,0.05,0.86,42,1,19,LA RIOJA
LA RIOJA_VINCHINA,"Vinchina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,28.58,2.27,1.1,51.24,0.88,15.94,391,31,15,701,12,218,66.01,2145,1416,3.39,0.0,0.0,48,0,0,LA RIOJA
