id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.03,0.14,0.18,84.91,0.15,3.6,1754,23,28,13508,24,572,82.56,20129,16618,4.04,0.05,0.17,672,9,28,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",ALIANZA FRENTE PARA LA VICTORIA,21.05,0.51,0.72,60.45,0.75,16.52,5221,127,179,14992,186,4097,82.88,31817,26371,5.32,0.0,0.62,1404,1,164,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.49,0.49,0.47,76.12,0.69,10.74,3617,153,149,23955,217,3380,83.1,40308,33496,5.63,0.03,0.39,1885,9,131,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",ALIANZA FRENTE PARA LA VICTORIA,15.66,0.37,0.54,70.58,0.49,12.35,2474,59,85,11147,78,1951,83.32,20117,16762,5.1,0.05,0.63,855,8,105,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",ALIANZA FRENTE PARA LA VICTORIA,29.33,0.42,1.55,44.39,2.12,22.19,57024,816,3008,86287,4119,43137,80.53,255470,205730,4.53,0.06,0.92,9317,122,1900,MISIONES
MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",ALIANZA FRENTE PARA LA VICTORIA,28.21,0.24,0.56,62.6,0.64,7.75,1550,13,31,3439,35,426,81.4,7176,5841,5.2,0.0,0.74,304,0,43,MISIONES
MISIONES_ELDORADO,"El Dorado, Misiones",ALIANZA FRENTE PARA LA VICTORIA,27.98,0.37,1.18,59.63,1.51,9.34,12689,167,533,27039,684,4235,83.42,57886,48287,5.13,0.17,0.8,2476,80,384,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"Gral. Manuel Belgrano, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.53,0.34,0.51,83.02,0.41,4.18,2778,83,124,20003,98,1007,81.87,31332,25653,5.66,0.05,0.37,1452,12,96,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",ALIANZA FRENTE PARA LA VICTORIA,12.02,0.24,0.38,80.28,0.77,6.31,4298,87,136,28716,276,2258,80.89,47902,38749,7.03,0.06,0.59,2723,25,230,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",ALIANZA FRENTE PARA LA VICTORIA,21.86,0.41,1.07,63.52,1.5,11.64,10302,191,503,29930,709,5485,81.33,62138,50538,5.85,0.02,0.9,2955,10,453,MISIONES
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"L. General San Martin, Misiones",ALIANZA FRENTE PARA LA VICTORIA,27.84,0.33,0.64,60.4,0.83,9.97,7620,90,175,16535,226,2728,84.18,34044,28658,3.72,0.06,0.69,1067,18,199,MISIONES
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",ALIANZA FRENTE PARA LA VICTORIA,20.92,0.55,0.46,65.45,0.89,11.74,6130,161,134,19180,260,3441,85.3,36766,31362,5.96,0.0,0.6,1868,1,187,MISIONES
MISIONES_MONTECARLO,"Montecarlo, Misiones",ALIANZA FRENTE PARA LA VICTORIA,29.56,0.35,0.82,57.32,0.89,11.06,5694,68,157,11042,172,2130,81.47,25002,20369,4.81,0.09,0.53,980,19,107,MISIONES
MISIONES_OBERA,"Obera, Misiones",ALIANZA FRENTE PARA LA VICTORIA,22.86,0.27,0.58,61.95,0.91,13.43,14076,169,356,38152,562,8270,82.5,78299,64595,3.96,0.06,0.64,2555,39,416,MISIONES
MISIONES_SAN IGNACIO,"San Ignacio, Misiones",ALIANZA FRENTE PARA LA VICTORIA,19.07,0.21,0.34,71.28,0.95,8.15,6537,73,116,24430,324,2794,83.1,42902,35652,3.48,0.02,0.37,1239,6,133,MISIONES
MISIONES_SAN JAVIER,"San Javier, Misiones",ALIANZA FRENTE PARA LA VICTORIA,15.75,0.18,0.26,76.12,0.08,7.62,1817,21,30,8783,9,879,83.32,14596,12161,4.56,0.01,0.55,554,1,67,MISIONES
MISIONES_SAN PEDRO,"San Pedro, Misiones",ALIANZA FRENTE PARA LA VICTORIA,9.65,0.14,0.3,85.58,0.72,3.61,1319,19,41,11701,98,494,83.26,17343,14439,5.13,0.01,0.17,741,2,24,MISIONES
