id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,24.44,2.57,4.09,41.66,2.77,24.46,1208,127,202,2059,137,1209,81.43,6698,5454,7.99,0.11,1.28,436,6,70,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,21.48,2.24,3.7,47.27,1.23,24.09,1630,170,281,3587,93,1828,78.3,10442,8176,5.11,0.01,2.05,418,1,168,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,10.46,4.44,5.73,59.23,2.27,17.87,106,45,58,600,23,181,74.14,1566,1161,11.37,0.0,1.38,132,0,16,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.77,2.14,4.44,44.81,1.72,27.12,1790,194,402,4057,156,2455,79.74,12359,9855,7.14,0.07,0.91,704,7,90,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.33,3.09,3.37,45.14,1.62,30.46,475,90,98,1313,47,886,80.47,3887,3128,6.11,0.06,0.83,191,2,26,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,28.54,1.63,5.99,35.15,2.89,25.8,70996,4063,14891,87416,7180,64181,84.57,307056,259662,2.72,0.08,1.41,7058,208,3669,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,25.87,2.28,4.79,33.55,2.59,30.91,2544,224,471,3299,255,3039,82.08,12863,10558,5.31,0.08,1.49,561,8,157,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",ALIANZA CAMBIEMOS,40.1,1.89,6.12,26.14,3.52,22.24,7733,364,1180,5042,678,4289,78.44,25955,20360,2.89,0.06,2.32,589,12,473,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.62,3.75,4.05,40.5,1.85,30.23,732,140,151,1511,69,1128,83.81,5091,4267,10.8,0.0,1.76,461,0,75,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",ALIANZA CAMBIEMOS,39.98,1.36,3.97,29.72,3.74,21.22,2788,95,277,2073,261,1480,78.63,9508,7476,5.18,0.19,1.35,387,14,101,NEUQUEN
NEUQUEN_MINAS,"Minas, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,14.86,2.75,3.71,49.77,2.32,26.6,633,117,158,2120,99,1133,79.16,6540,5177,16.52,0.02,1.18,855,1,61,NEUQUEN
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),22.58,3.08,2.11,31.16,1.54,39.53,3310,451,310,4569,226,5795,78.05,19715,15387,3.5,0.09,1.12,539,14,173,NEUQUEN
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,20.74,2.0,2.79,49.0,1.25,24.22,632,61,85,1493,38,738,84.12,3878,3262,4.94,0.0,1.66,161,0,54,NEUQUEN
NEUQUEN_PICUNCHES,"Picunches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,23.98,2.35,2.22,41.95,1.21,28.28,949,93,88,1660,48,1119,79.71,5511,4393,9.01,0.0,0.91,396,0,40,NEUQUEN
NEUQUEN_ZAPALA,"Zapala, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,29.44,1.81,4.9,35.23,2.07,26.54,7364,453,1226,8812,519,6639,83.56,31680,26471,4.2,0.07,1.24,1111,19,328,NEUQUEN
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.63,2.14,2.73,51.3,1.25,25.95,505,65,83,1558,38,788,81.99,4281,3510,12.76,0.03,0.68,448,1,24,NEUQUEN
