id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,12.4,1.39,1.93,65.66,1.65,16.97,1052,118,164,5569,140,1439,72.11,12073,8706,1.79,0.0,0.78,156,0,68,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.69,1.18,3.26,41.73,3.55,27.59,9057,472,1300,16657,1415,11011,79.37,51307,40720,0.9,0.05,1.03,368,20,420,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.25,1.18,3.24,49.41,1.92,21.99,4763,253,693,10576,411,4707,81.76,27423,22422,3.25,0.0,1.29,729,1,289,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,24.68,1.44,5.67,41.97,3.87,22.36,19862,1159,4561,33778,3118,17996,77.64,107465,83441,2.33,0.04,1.18,1945,34,988,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,19.62,1.18,3.05,49.95,2.06,24.15,818,49,127,2083,86,1007,76.5,5562,4255,1.13,0.0,0.87,48,0,37,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,13.18,2.61,4.63,64.96,1.44,13.18,293,58,103,1444,32,293,74.83,3028,2266,0.97,0.0,0.93,22,0,21,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.89,1.48,3.76,44.34,2.51,25.03,45638,2950,7489,88413,5015,49915,82.6,250705,207094,2.24,0.04,1.43,4634,81,2959,RIO NEGRO
RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,8.66,2.06,1.87,69.68,1.31,16.42,185,44,40,1489,28,351,71.8,3032,2177,1.38,0.0,0.46,30,0,10,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.98,2.07,2.24,48.0,2.47,22.24,2091,188,204,4367,225,2023,82.04,11950,9804,5.39,0.44,1.38,528,43,135,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,21.82,1.65,2.88,50.55,3.39,19.7,1112,84,147,2576,173,1004,78.64,6628,5212,1.32,0.02,0.88,69,1,46,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,16.19,1.05,2.46,49.68,1.94,28.68,3106,201,471,9530,372,5502,77.28,25265,19526,0.81,0.01,0.95,158,1,185,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,18.98,1.32,1.28,59.7,2.37,16.35,505,35,34,1588,63,435,71.39,3778,2697,0.56,0.0,0.82,15,0,22,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,17.58,3.06,1.27,66.37,1.4,10.32,138,24,10,521,11,81,67.01,1258,843,6.29,0.0,0.59,53,0,5,RIO NEGRO
