id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SALTA_ANTA,"Anta, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.71,0.97,1.13,60.02,0.75,16.43,6505,304,355,18854,237,5160,72.12,44174,31859,1.01,0.08,0.31,321,25,98,SALTA
SALTA_CACHI,"Cachi, Salta",ALIANZA FRENTE PARA LA VICTORIA,19.13,1.22,1.63,46.53,0.96,30.53,879,56,75,2138,44,1403,72.64,6481,4708,1.89,0.04,0.47,89,2,22,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.72,0.81,2.13,51.37,1.18,23.79,1877,73,193,4655,107,2156,76.15,12190,9283,1.49,0.1,0.81,138,9,75,SALTA
SALTA_CAPITAL,"Capital, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.27,0.71,3.52,28.9,1.31,41.29,76749,2258,11142,91387,4156,130577,79.02,408099,322489,0.82,0.14,0.97,2636,453,3131,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),18.57,0.68,2.27,34.26,0.89,43.33,4337,158,530,8003,209,10122,81.91,29004,23756,0.88,0.13,0.66,209,32,156,SALTA
SALTA_CHICOANA,"Chicoana, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),17.97,0.87,1.83,37.05,0.78,41.51,2385,115,243,4918,103,5511,80.8,16751,13534,0.96,0.39,0.56,130,53,76,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.82,0.89,2.37,46.11,0.87,33.93,4511,255,677,13153,248,9679,78.73,36894,29046,1.05,0.15,0.6,306,43,174,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),15.0,0.84,1.79,40.53,0.78,41.06,251,14,30,678,13,687,81.78,2086,1706,1.58,0.06,0.29,27,1,5,SALTA
SALTA_IRUYA,"Iruya, Salta",ALIANZA FRENTE PARA LA VICTORIA,9.19,0.19,0.74,69.45,0.09,20.33,99,2,8,748,1,219,71.38,1527,1090,0.73,0.0,0.46,8,0,5,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.61,0.75,2.85,31.16,1.4,37.24,1996,56,214,2337,105,2793,81.64,9331,7618,0.83,0.04,0.67,63,3,51,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.73,0.66,0.68,50.77,0.85,28.3,767,27,28,2079,35,1159,78.11,5282,4126,0.46,0.15,0.15,19,6,6,SALTA
SALTA_LA POMA,"La Poma, Salta",ALIANZA FRENTE PARA LA VICTORIA,11.48,1.46,2.43,45.91,0.68,38.04,118,15,25,472,7,391,77.35,1364,1055,1.42,0.0,1.14,15,0,12,SALTA
SALTA_LA VIÑA,"La Viña, Salta",ALIANZA FRENTE PARA LA VICTORIA,17.44,0.67,1.83,42.86,0.58,36.63,879,34,92,2160,29,1846,79.56,6448,5130,1.13,0.06,0.57,58,3,29,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.81,1.64,2.76,49.37,1.97,30.44,505,60,101,1805,72,1113,73.33,5197,3811,1.92,1.55,0.6,73,59,23,SALTA
SALTA_METAN,"Metan, Salta",ALIANZA FRENTE PARA LA VICTORIA,28.15,0.96,1.85,41.47,0.92,26.65,6784,232,445,9992,221,6422,74.76,32772,24501,0.97,0.06,0.62,238,14,153,SALTA
SALTA_MOLINOS,"Molinos, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.27,1.06,1.06,60.33,0.8,21.47,475,33,33,1877,25,668,72.11,4382,3160,1.27,0.13,0.16,40,4,5,SALTA
SALTA_ORAN,"Oran, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.03,0.81,3.03,47.53,0.82,27.78,14947,602,2264,35460,611,20729,70.83,107166,75910,1.07,0.09,0.55,814,68,415,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",ALIANZA FRENTE PARA LA VICTORIA,3.62,0.95,0.6,86.52,0.58,7.73,384,101,64,9182,62,820,66.38,16176,10737,0.77,0.21,0.17,83,23,18,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.88,0.81,1.67,49.21,0.9,26.53,3769,147,301,8882,162,4788,76.79,23886,18343,1.07,0.05,0.48,197,9,88,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),17.35,0.79,2.16,32.71,0.93,46.05,4114,188,512,7757,220,10920,79.59,30417,24210,1.23,0.14,0.69,297,35,167,SALTA
SALTA_SAN CARLOS,"San Carlos, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.15,1.0,1.7,59.36,0.95,21.84,607,40,68,2378,38,875,71.39,5670,4048,0.64,0.12,0.27,26,5,11,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.15,0.76,2.11,61.77,0.8,21.41,11015,639,1772,51757,674,17937,69.69,121745,84840,0.69,0.06,0.48,583,52,411,SALTA
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",ALIANZA FRENTE PARA LA VICTORIA,11.51,1.3,1.3,58.79,0.84,26.25,150,17,17,766,11,342,64.49,2053,1324,1.06,0.0,0.53,14,0,7,SALTA
