id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.37,5.82,0.89,56.36,1.33,26.23,854,530,81,5137,121,2391,80.38,11865,9537,3.85,0.19,0.4,367,18,38,SAN JUAN
SAN JUAN_ALBARDON,"Albardon, San Juan",ALIANZA FRENTE PARA LA VICTORIA,16.71,3.8,1.14,53.78,4.53,20.05,2336,531,160,7520,633,2803,84.58,17600,14886,5.62,0.08,0.36,837,12,54,SAN JUAN
SAN JUAN_ANGACO,"Angaco, San Juan",ALIANZA FRENTE PARA LA VICTORIA,22.7,2.35,0.97,52.06,0.99,20.93,1219,126,52,2795,53,1124,83.82,6819,5716,5.6,0.09,0.38,320,5,22,SAN JUAN
SAN JUAN_CALINGASTA,"Calingasta, San Juan",ALIANZA FRENTE PARA LA VICTORIA,10.76,5.03,0.89,57.7,0.55,25.07,592,277,49,3176,30,1380,80.83,7356,5946,6.56,0.05,0.82,390,3,49,SAN JUAN
SAN JUAN_CAPITAL,"Capital, San Juan",ALIANZA CAMBIEMOS,38.66,2.19,1.77,32.12,2.27,22.98,26898,1526,1229,22346,1581,15990,80.51,90470,72841,3.61,0.1,0.79,2626,73,572,SAN JUAN
SAN JUAN_CAUCETE,"Caucete, San Juan",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),13.71,6.64,0.79,38.0,0.61,40.26,2824,1367,162,7829,125,8295,81.73,27593,22551,7.97,0.16,0.51,1798,35,116,SAN JUAN
SAN JUAN_CHIMBAS,"Chimbas, San Juan",ALIANZA FRENTE PARA LA VICTORIA,15.6,2.46,1.44,55.25,1.46,23.79,7148,1126,658,25310,669,10897,82.27,59155,48668,4.73,0.18,0.97,2303,87,470,SAN JUAN
SAN JUAN_IGLESIA,"Iglesia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.86,2.29,1.09,51.56,1.18,29.03,695,107,51,2412,55,1358,81.32,6516,5299,10.42,0.02,1.28,552,1,68,SAN JUAN
SAN JUAN_JACHAL,"Jachal, San Juan",ALIANZA FRENTE PARA LA VICTORIA,12.01,3.33,2.87,44.59,7.03,30.17,1571,436,375,5832,919,3945,82.49,16980,14007,5.28,0.04,1.31,739,6,184,SAN JUAN
SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",ALIANZA FRENTE PARA LA VICTORIA,8.08,5.63,0.58,50.51,0.46,34.75,532,371,38,3326,30,2288,87.79,8267,7258,8.54,0.18,0.55,620,13,40,SAN JUAN
SAN JUAN_POCITO,"Pocito, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.37,2.9,1.59,60.54,1.02,19.57,4029,814,447,16972,286,5488,82.73,36300,30030,5.53,0.14,0.97,1661,43,290,SAN JUAN
SAN JUAN_RAWSON,"Rawson, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17.0,2.87,1.68,49.9,1.39,27.16,11580,1957,1144,33994,946,18506,81.77,88123,72061,4.44,0.14,0.88,3200,98,636,SAN JUAN
SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,26.51,3.29,1.61,39.1,1.83,27.65,13680,1700,830,20176,942,14267,83.72,65174,54562,4.54,0.14,0.76,2476,76,415,SAN JUAN
SAN JUAN_SAN MARTIN,"San Martin, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.99,5.92,0.95,56.35,1.6,25.21,675,400,64,3809,108,1704,86.24,8615,7430,8.33,0.07,0.62,619,5,46,SAN JUAN
SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,21.72,4.21,1.25,41.34,1.2,30.28,6681,1295,383,12714,369,9314,83.74,39126,32766,5.19,0.17,0.78,1700,55,255,SAN JUAN
SAN JUAN_SARMIENTO,"Sarmiento, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.84,5.47,1.32,52.13,0.6,25.63,1744,643,155,6125,71,3012,82.33,15226,12536,5.34,0.11,0.81,670,14,102,SAN JUAN
SAN JUAN_ULLUM,"Ullum, San Juan",ALIANZA FRENTE PARA LA VICTORIA,8.97,4.18,0.32,61.47,3.28,21.78,279,130,10,1911,102,677,87.68,3872,3395,4.51,0.09,3.83,153,3,130,SAN JUAN
SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",ALIANZA FRENTE PARA LA VICTORIA,7.81,7.81,0.49,50.5,0.51,32.87,382,382,24,2469,25,1607,84.68,5935,5026,2.37,0.08,0.28,119,4,14,SAN JUAN
SAN JUAN_ZONDA,"Zonda, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.45,9.81,0.45,49.32,0.36,30.61,313,325,15,1634,12,1014,87.07,3983,3468,3.34,0.12,1.01,116,4,35,SAN JUAN
