id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTA FE_BELGRANO,"Belgrano, Santa Fe",ALIANZA CAMBIEMOS,44.27,1.53,1.59,27.61,3.46,21.53,12917,447,464,8055,1010,6282,80.25,37477,30077,2.56,0.02,0.41,771,7,124,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",ALIANZA CAMBIEMOS,43.52,2.22,2.67,23.11,4.14,24.33,23932,1223,1471,12710,2276,13379,80.28,70676,56739,2.27,0.02,0.79,1288,12,448,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",ALIANZA CAMBIEMOS,45.38,1.27,1.94,25.27,3.25,22.9,49888,1397,2128,27787,3572,25172,79.78,141971,113270,2.02,0.01,0.91,2287,12,1027,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,31.93,1.87,2.84,34.71,3.67,24.98,18300,1074,1630,19895,2101,14319,80.93,73181,59222,2.4,0.1,0.71,1420,60,423,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,28.54,0.93,1.49,45.59,2.99,20.45,3578,117,187,5715,375,2564,73.77,17986,13269,4.24,0.14,1.15,563,18,152,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",ALIANZA CAMBIEMOS,41.74,3.2,2.1,27.38,3.04,22.53,51508,3954,2591,33785,3753,27801,78.25,162076,126824,2.05,0.01,0.65,2599,7,826,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,38.45,0.7,1.36,39.98,2.15,17.36,39395,719,1398,40962,2200,17787,76.39,138463,105765,2.29,0.01,0.82,2420,12,872,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",ALIANZA CAMBIEMOS,36.37,1.77,2.41,31.15,4.3,24.01,15803,771,1046,13535,1867,10431,78.92,57200,45143,3.17,0.16,0.41,1429,74,187,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,33.0,1.17,2.59,33.28,4.89,25.08,101736,3605,7974,102611,15065,77332,76.11,421922,321124,2.39,0.17,1.42,7674,552,4575,SANTA FE
SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",ALIANZA CAMBIEMOS,48.07,1.39,1.36,22.2,3.32,23.66,31654,917,893,14617,2188,15580,80.56,84768,68293,2.81,0.0,0.77,1919,1,524,SANTA FE
SANTA FE_9 DE JULIO,"Nueve De Julio, Santa Fe",ALIANZA CAMBIEMOS,39.96,0.87,0.88,37.59,2.67,18.03,7040,153,155,6623,470,3177,73.63,24760,18232,2.59,0.01,0.76,473,2,139,SANTA FE
SANTA FE_ROSARIO,"Rosario, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,31.06,1.53,3.66,31.94,4.46,27.35,235635,11585,27785,242313,33874,207512,77.98,1013581,790379,2.58,0.06,1.37,20373,478,10824,SANTA FE
SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",ALIANZA CAMBIEMOS,40.7,0.88,1.21,34.02,2.9,20.28,16831,364,502,14066,1200,8387,75.83,56596,42915,3.05,0.0,0.59,1311,1,253,SANTA FE
SANTA FE_SAN JAVIER,"San Javier, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,34.82,0.8,1.16,44.45,2.52,16.26,6504,150,216,8304,470,3037,75.06,26017,19528,3.45,0.01,0.88,674,2,171,SANTA FE
SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",ALIANZA CAMBIEMOS,35.25,1.31,1.9,34.71,3.53,23.31,17603,652,950,17333,1761,11640,78.48,66496,52185,3.18,0.39,0.73,1660,203,383,SANTA FE
SANTA FE_SAN JUSTO,"San Justo, Santa Fe",ALIANZA CAMBIEMOS,42.68,0.96,1.48,31.92,3.3,19.66,11045,248,382,8259,854,5088,76.59,35064,26857,2.84,0.01,0.8,763,4,214,SANTA FE
SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,31.33,1.58,2.44,32.74,3.48,28.43,33237,1674,2590,34739,3693,30160,80.59,136481,109995,2.55,0.0,0.99,2806,4,1092,SANTA FE
SANTA FE_SAN MARTIN,"San Martin, Santa Fe",ALIANZA CAMBIEMOS,43.58,1.5,1.81,24.7,3.52,24.9,17690,608,733,10026,1429,10106,79.0,53154,41994,2.29,0.0,1.04,962,2,438,SANTA FE
SANTA FE_VERA,"Vera, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,34.35,0.91,1.22,43.13,2.46,17.93,10062,266,356,12633,721,5251,72.05,42224,30423,3.04,0.01,0.68,926,2,206,SANTA FE
