id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,38.95,0.34,0.36,54.49,0.47,5.41,2082,18,19,2913,25,289,81.5,6599,5378,0.46,0.0,0.13,25,0,7,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.13,0.32,0.35,81.6,0.36,9.24,742,29,32,7447,33,843,80.86,11356,9182,0.57,0.0,0.04,52,0,4,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.77,0.44,0.42,85.26,0.17,6.93,504,33,31,6345,13,516,79.37,9465,7512,0.53,0.0,0.4,40,0,30,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.68,0.61,0.81,79.13,0.6,8.17,1408,80,107,10429,79,1077,79.24,16789,13304,0.77,0.0,0.17,102,0,22,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,12.64,0.42,1.79,54.69,0.91,29.55,11585,386,1642,50119,831,27078,82.42,113661,93681,1.63,0.06,0.5,1523,52,465,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,37.77,0.51,0.64,47.3,0.75,13.03,2302,31,39,2883,46,794,83.43,7417,6188,1.13,0.1,0.27,70,6,17,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,19.58,0.45,2.31,51.64,1.48,24.53,35083,815,4143,92509,2646,43937,82.87,220948,183105,1.49,0.03,0.65,2729,61,1182,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,12.43,0.51,1.33,63.87,1.21,20.64,2899,119,311,14898,283,4814,81.17,29292,23776,1.36,0.04,0.5,323,9,120,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.27,0.46,0.62,79.47,0.56,10.62,1231,69,92,11823,83,1580,76.45,19806,15142,1.58,0.01,0.15,240,2,22,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,3.79,0.35,0.58,87.07,0.4,7.81,369,34,56,8469,39,760,74.45,13198,9826,0.73,0.07,0.2,72,7,20,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,5.59,0.49,0.88,80.58,0.45,12.0,260,23,41,3748,21,558,80.49,5870,4725,1.19,0.0,0.38,56,0,18,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.67,0.4,0.46,82.6,0.5,9.37,578,35,40,7157,43,812,78.17,11218,8769,0.94,0.01,0.24,82,1,21,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.42,0.61,0.32,76.45,0.52,11.68,996,58,31,7309,50,1117,79.62,12153,9676,0.99,0.0,0.2,96,0,19,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,15.8,0.49,0.82,67.83,0.65,14.4,1954,61,101,8387,80,1781,77.94,16169,12602,1.39,0.2,0.3,175,25,38,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,30.46,0.36,0.12,63.35,0.49,5.22,251,3,1,522,4,43,72.33,1160,839,1.19,0.0,0.6,10,0,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,13.4,0.48,0.62,72.75,0.53,12.22,2609,93,120,14162,104,2378,80.02,24731,19790,1.41,0.05,0.18,280,9,35,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,17.17,0.49,0.71,69.44,0.49,11.7,1726,49,71,6979,49,1176,80.53,12600,10147,0.66,0.03,0.27,67,3,27,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.64,0.49,0.4,79.41,0.36,8.69,1314,61,49,9802,45,1073,77.53,16087,12473,0.9,0.02,0.11,112,3,14,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,17.24,0.6,0.79,65.9,0.72,14.74,999,35,46,3818,42,854,76.67,7663,5875,1.0,0.0,0.37,59,0,22,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.26,0.47,1.36,71.72,0.72,17.47,2888,164,476,25069,250,6108,80.45,44312,35648,1.2,0.1,0.65,427,35,231,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",ALIANZA CAMBIEMOS,42.74,0.44,1.03,40.8,0.97,14.02,1366,14,33,1304,31,448,81.38,3963,3225,0.84,0.0,0.06,27,0,2,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,11.92,0.52,0.87,70.51,0.69,15.5,3298,145,240,19513,191,4289,80.7,34867,28136,1.27,0.02,0.35,357,5,98,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.9,0.41,0.36,82.86,0.28,7.19,546,25,22,5082,17,441,74.77,8288,6197,0.87,0.02,0.15,54,1,9,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.65,0.54,0.6,83.52,0.37,8.32,344,28,31,4319,19,430,75.75,6896,5224,0.9,0.0,0.11,47,0,6,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.69,0.56,0.47,81.35,0.73,10.19,155,13,11,1884,17,236,77.05,3041,2343,1.02,0.0,0.13,24,0,3,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.37,0.35,0.54,83.41,0.35,8.99,345,19,29,4520,19,487,81.32,6756,5494,1.09,0.04,0.24,60,2,13,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,14.46,0.56,1.02,70.78,0.75,12.43,3603,140,254,17633,188,3096,81.4,31184,25384,1.49,0.01,0.35,379,3,88,SANTIAGO DEL ESTERO
