,id,agrupacion_ganadora,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA COMPROMISO FEDERAL                                                                          _perc,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA FRENTE POPULAR                                                                              _perc,ALIANZA PROGRESISTAS                                                                                _perc,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _perc,MOVIMIENTO AL SOCIALISMO                                                                            _perc,MOVIMIENTO DE ACCION VECINAL                                                                        _perc,MST - NUEVA IZQUIERDA                                                                               _perc,PARTIDO POPULAR                                                                                     _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA COMPROMISO FEDERAL                                                                          _votos,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,ALIANZA FRENTE POPULAR                                                                              _votos,ALIANZA PROGRESISTAS                                                                                _votos,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _votos,MOVIMIENTO AL SOCIALISMO                                                                            _votos,MOVIMIENTO DE ACCION VECINAL                                                                        _votos,MST - NUEVA IZQUIERDA                                                                               _votos,PARTIDO POPULAR                                                                                     _votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,28.99,1.14,3.52,39.49,0.49,4.36,20.7,0.5,0.16,0.41,0.25,2375617,93207,288626,3235947,40135,357590,1696229,40925,12946,33275,20647,73.2,11866173,8686139,4.88,0.05,0.72,423574,4674,62747
1,CATAMARCA,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,31.49,0.61,1.13,51.59,0.44,1.08,12.62,0.24,0.21,0.36,0.23,48940,955,1756,80173,678,1681,19618,374,319,559,358,66.92,248695,166428,5.6,0.12,0.9,9324,197,1496
2,CHACO,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,26.11,0.67,1.91,54.65,0.53,1.51,12.67,0.52,0.21,0.32,0.9,155598,4012,11365,325645,3162,8976,75498,3123,1270,1892,5345,71.37,859801,613647,2.16,0.1,0.63,13256,638,3867
3,CHUBUT,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,23.12,1.22,2.31,47.32,0.95,2.99,19.03,0.88,0.4,1.06,0.73,52845,2787,5269,108162,2177,6826,43498,2011,910,2433,1668,69.46,412757,286688,17.91,0.2,2.16,51347,571,6184
4,CIUDAD AUTONOMA DE BUENOS AIRES,ALIANZA CAMBIEMOS                                                                                   ,48.89,1.18,4.55,23.25,0.58,6.75,13.38,0.53,0.1,0.57,0.22,881902,21339,82127,419325,10403,121789,241410,9552,1808,10273,3928,73.48,2521892,1853175,1.84,0.06,0.76,34120,1065,14134
5,CORDOBA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,35.38,3.0,3.69,14.66,0.48,2.33,38.79,0.41,0.3,0.53,0.43,675208,57253,70427,279711,9072,44424,740321,7789,5733,10136,8281,70.62,2787699,1968802,1.65,0.23,1.19,32498,4561,23388
6,CORRIENTES,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,29.48,0.56,0.95,50.24,0.23,1.05,16.08,0.4,0.27,0.27,0.47,168539,3185,5429,287266,1307,6025,91962,2287,1555,1522,2660,73.16,806708,590227,2.1,0.05,0.98,12418,268,5804
7,ENTRE RIOS,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,34.89,1.01,1.44,39.45,0.48,3.39,17.73,0.5,0.17,0.62,0.31,246201,7145,10193,278357,3365,23908,125091,3539,1185,4375,2205,77.4,1020751,790104,9.45,0.13,1.12,74698,1014,8828
8,FORMOSA,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,16.69,0.5,1.59,60.14,0.05,1.09,17.52,0.44,0.22,0.29,1.46,48780,1457,4659,175774,141,3190,51203,1300,651,841,4279,71.73,421070,302027,2.37,0.08,0.78,7148,240,2364
9,JUJUY,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,23.18,0.74,3.91,41.68,0.53,1.42,26.94,0.49,0.21,0.54,0.36,85224,2707,14381,153246,1962,5225,99064,1803,761,1989,1315,76.41,503217,384531,3.0,0.13,1.26,11534,494,4826
