id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA CAMBIEMOS,47.96,0.76,0.85,33.37,0.14,3.85,12.34,0.24,0.09,0.11,0.28,5054,80,90,3517,15,406,1300,25,9,12,30,78.63,14241,11198,5.56,0.06,0.27,623,7,30
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.17,0.3,0.87,44.34,0.19,2.52,12.14,0.27,0.1,0.09,0.01,2737,21,61,3098,13,176,848,19,7,6,1,81.05,9209,7464,6.2,0.01,0.17,463,1,13
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,22.1,1.18,3.95,48.47,0.48,4.49,17.74,0.61,0.18,0.5,0.31,65807,3519,11747,144325,1417,13364,52816,1802,545,1482,920,74.52,424226,316130,4.89,0.06,0.87,15448,175,2763
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.84,0.73,0.88,39.49,0.13,3.88,15.51,0.18,0.07,0.13,0.15,6533,122,148,6643,22,653,2609,30,12,22,26,76.68,23322,17883,5.63,0.01,0.31,1006,2,55
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.6,0.96,4.24,40.13,0.56,5.04,18.99,0.56,0.14,0.54,0.24,58301,1958,8645,81788,1141,10276,38711,1136,284,1094,484,72.28,293544,212168,3.35,0.05,0.54,7105,102,1143
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA CAMBIEMOS,40.2,0.64,2.7,37.37,1.55,3.51,13.46,0.17,0.11,0.16,0.13,4480,71,301,4164,173,391,1500,19,12,18,14,74.74,16377,12240,8.56,0.02,0.38,1048,3,46
BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA CAMBIEMOS,36.2,0.84,2.21,34.33,0.18,10.42,14.81,0.36,0.14,0.23,0.28,13824,322,842,13108,69,3977,5654,137,54,88,108,74.98,55030,41263,6.21,0.05,1.21,2562,19,499
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA CAMBIEMOS,38.65,1.36,5.13,24.92,0.68,8.08,19.65,0.59,0.19,0.5,0.26,65416,2298,8675,42178,1143,13681,33248,992,320,842,442,74.08,242698,179794,4.62,0.05,1.2,8311,82,2166
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA CAMBIEMOS,44.58,2.96,1.69,27.77,0.81,2.46,18.73,0.4,0.07,0.22,0.32,12028,800,456,7492,218,663,5053,108,19,59,86,76.8,37315,28657,5.2,0.03,0.61,1490,10,175
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.77,1.36,2.71,39.37,0.21,2.3,24.56,0.23,0.1,0.2,0.21,5452,258,514,7461,39,435,4655,43,19,37,39,74.1,27086,20072,4.6,0.36,0.62,923,72,125
