id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA CAMBIEMOS,47.96,0.76,0.85,33.37,0.14,3.85,12.34,0.24,0.09,0.11,0.28,5054,80,90,3517,15,406,1300,25,9,12,30,78.63,14241,11198,5.56,0.06,0.27,623,7,30,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.17,0.3,0.87,44.34,0.19,2.52,12.14,0.27,0.1,0.09,0.01,2737,21,61,3098,13,176,848,19,7,6,1,81.05,9209,7464,6.2,0.01,0.17,463,1,13,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,22.1,1.18,3.95,48.47,0.48,4.49,17.74,0.61,0.18,0.5,0.31,65807,3519,11747,144325,1417,13364,52816,1802,545,1482,920,74.52,424226,316130,4.89,0.06,0.87,15448,175,2763,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.84,0.73,0.88,39.49,0.13,3.88,15.51,0.18,0.07,0.13,0.15,6533,122,148,6643,22,653,2609,30,12,22,26,76.68,23322,17883,5.63,0.01,0.31,1006,2,55,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.6,0.96,4.24,40.13,0.56,5.04,18.99,0.56,0.14,0.54,0.24,58301,1958,8645,81788,1141,10276,38711,1136,284,1094,484,72.28,293544,212168,3.35,0.05,0.54,7105,102,1143,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA CAMBIEMOS,40.2,0.64,2.7,37.37,1.55,3.51,13.46,0.17,0.11,0.16,0.13,4480,71,301,4164,173,391,1500,19,12,18,14,74.74,16377,12240,8.56,0.02,0.38,1048,3,46,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA CAMBIEMOS,36.2,0.84,2.21,34.33,0.18,10.42,14.81,0.36,0.14,0.23,0.28,13824,322,842,13108,69,3977,5654,137,54,88,108,74.98,55030,41263,6.21,0.05,1.21,2562,19,499,BUENOS AIRES
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA CAMBIEMOS,38.65,1.36,5.13,24.92,0.68,8.08,19.65,0.59,0.19,0.5,0.26,65416,2298,8675,42178,1143,13681,33248,992,320,842,442,74.08,242698,179794,4.62,0.05,1.2,8311,82,2166,BUENOS AIRES
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA CAMBIEMOS,44.58,2.96,1.69,27.77,0.81,2.46,18.73,0.4,0.07,0.22,0.32,12028,800,456,7492,218,663,5053,108,19,59,86,76.8,37315,28657,5.2,0.03,0.61,1490,10,175,BUENOS AIRES
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.77,1.36,2.71,39.37,0.21,2.3,24.56,0.23,0.1,0.2,0.21,5452,258,514,7461,39,435,4655,43,19,37,39,74.1,27086,20072,4.6,0.36,0.62,923,72,125,BUENOS AIRES
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.2,1.38,4.1,46.86,0.66,3.33,20.99,0.54,0.18,0.53,0.23,38198,2479,7382,84430,1185,6002,37820,981,329,949,412,76.69,250625,192200,5.68,0.03,0.55,10913,65,1055,BUENOS AIRES
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.29,1.12,4.29,40.08,1.12,4.54,20.49,0.78,0.25,0.58,0.44,13657,582,2230,20822,582,2358,10645,407,132,301,230,74.51,75534,56279,7.11,0.06,0.52,4004,34,295,BUENOS AIRES
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",ALIANZA CAMBIEMOS,42.33,0.8,1.37,37.26,0.9,3.16,13.26,0.18,0.13,0.28,0.32,8856,168,286,7796,189,661,2775,38,28,59,66,76.36,29462,22498,6.27,0.04,0.69,1410,10,156,BUENOS AIRES
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,42.17,0.71,1.43,43.04,0.24,2.02,9.79,0.21,0.11,0.11,0.17,10296,173,348,10507,58,494,2391,52,27,27,41,75.49,34151,25779,4.53,0.01,0.75,1168,3,194,BUENOS AIRES
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA CAMBIEMOS,40.42,0.72,1.9,38.77,0.44,2.29,14.43,0.35,0.16,0.3,0.22,5730,102,269,5496,62,325,2046,50,23,43,31,78.2,21296,16654,13.89,0.08,0.91,2313,13,151,BUENOS AIRES
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA CAMBIEMOS,38.82,1.56,3.43,32.41,0.49,3.02,19.07,0.43,0.18,0.34,0.25,19595,786,1733,16359,245,1525,9627,215,89,171,127,74.36,73590,54721,6.75,0.07,0.95,3691,37,521,BUENOS AIRES
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.67,0.83,1.19,33.75,1.68,8.25,21.83,0.33,0.11,0.06,0.31,2481,65,93,2644,132,646,1710,26,9,5,24,72.61,12004,8716,9.81,0.0,0.3,855,0,26,BUENOS AIRES
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",ALIANZA CAMBIEMOS,40.9,1.32,1.76,37.46,0.18,4.06,13.31,0.26,0.2,0.21,0.33,5413,175,233,4958,24,537,1762,34,26,28,44,74.36,18732,13930,4.84,0.02,0.14,674,3,19,BUENOS AIRES
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",ALIANZA CAMBIEMOS,43.91,0.45,2.73,37.54,0.04,1.74,13.16,0.19,0.09,0.06,0.09,3430,35,213,2933,3,136,1028,15,7,5,7,84.1,9841,8276,5.27,0.0,0.34,436,0,28,BUENOS AIRES
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.4,0.79,0.71,45.18,0.12,1.39,16.99,0.11,0.07,0.11,0.14,2877,66,59,3779,10,116,1421,9,6,9,12,71.9,12471,8967,6.56,0.01,0.16,588,1,14,BUENOS AIRES
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.26,0.26,2.25,48.17,0.17,1.81,7.67,0.15,0.09,0.06,0.11,2079,14,119,2551,9,96,406,8,5,3,6,76.9,7356,5657,5.71,0.05,0.62,323,3,35,BUENOS AIRES
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.44,1.04,3.02,47.25,0.35,2.43,16.32,0.37,0.17,0.27,0.34,8311,304,882,13808,103,711,4769,108,50,78,99,75.3,40796,30721,4.03,0.06,0.78,1239,18,241,BUENOS AIRES
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.69,1.53,1.5,41.22,0.23,4.93,13.49,0.81,0.14,0.24,0.22,10116,434,425,11682,66,1396,3823,229,41,68,61,75.22,39558,29755,3.86,0.03,0.85,1150,10,254,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",ALIANZA CAMBIEMOS,38.58,0.7,2.39,27.03,0.85,5.08,24.43,0.38,0.12,0.24,0.2,8217,149,510,5756,180,1083,5204,80,25,51,43,77.31,30684,23723,9.8,0.03,0.4,2324,7,94,BUENOS AIRES
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.13,0.95,2.3,37.44,0.7,2.79,27.6,0.44,0.17,0.25,0.23,11013,387,933,15198,284,1134,11203,180,68,100,92,77.16,55776,43038,5.29,0.03,0.36,2276,15,155,BUENOS AIRES
BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.58,1.28,2.07,44.16,0.52,7.09,12.72,0.14,0.1,0.18,0.16,4480,182,294,6265,74,1006,1805,20,14,25,22,74.41,20081,14943,4.59,0.03,0.43,686,5,65,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA CAMBIEMOS,44.38,0.89,1.59,32.23,0.24,4.73,15.01,0.34,0.2,0.14,0.25,4036,81,145,2931,22,430,1365,31,18,13,23,77.15,13266,10235,10.65,0.01,0.48,1090,1,49,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA CAMBIEMOS,51.47,0.85,1.95,28.94,0.19,3.69,11.92,0.22,0.16,0.13,0.47,7270,120,275,4088,27,521,1684,31,23,19,67,78.54,19951,15669,9.52,0.01,0.33,1491,2,51,BUENOS AIRES
